unix,date,symbol,open,high,low,close,Volume USDC,Volume WETH
1751216400,2025-06-29 17:00:00,USDC/WETH,0.999720,0.999991,0.999720,0.999800,572569.514157,0.000000
1751220000,2025-06-29 18:00:00,USDC/WETH,0.999800,1.000029,0.999787,0.999916,449545.559316,0.000000
1751223600,2025-06-29 19:00:00,USDC/WETH,0.999916,1.000078,0.999748,0.999840,417043.783921,0.000000
1751227200,2025-06-29 20:00:00,USDC/WETH,0.999840,0.999956,0.999793,0.999924,315828.904009,0.000000
1751230800,2025-06-29 21:00:00,USDC/WETH,0.999924,1.000001,0.999761,0.999849,1865538.384279,0.000000
1751234400,2025-06-29 22:00:00,USDC/WETH,0.999849,0.999977,0.999609,0.999910,5394098.667504,0.000000
1751238000,2025-06-29 23:00:00,USDC/WETH,0.999910,1.000032,0.999725,0.999887,3407403.440084,0.000000
1751241600,2025-06-30 00:00:00,USDC/WETH,0.999887,1.000031,0.999790,0.999853,2681848.458429,0.000000
1751245200,2025-06-30 01:00:00,USDC/WETH,0.999853,0.999987,0.999756,0.999838,1367736.452940,0.000000
1751248800,2025-06-30 02:00:00,USDC/WETH,0.999838,0.999929,0.999763,0.999849,831299.816535,0.000000
1751252400,2025-06-30 03:00:00,USDC/WETH,0.999849,1.000016,0.999708,0.999851,966051.845949,0.000000
1751256000,2025-06-30 04:00:00,USDC/WETH,0.999851,0.999973,0.999816,0.999894,644975.074249,0.000000
1751259600,2025-06-30 05:00:00,USDC/WETH,0.999894,0.999993,0.999753,0.999788,611284.059549,0.000000
1751263200,2025-06-30 06:00:00,USDC/WETH,0.999788,0.999962,0.999737,0.999892,2589722.387299,0.000000
1751266800,2025-06-30 07:00:00,USDC/WETH,0.999892,1.000092,0.999783,0.999871,1955891.830091,0.000000
1751270400,2025-06-30 08:00:00,USDC/WETH,0.999871,1.000009,0.999687,0.999893,1233826.038188,0.000000
1751274000,2025-06-30 09:00:00,USDC/WETH,0.999893,0.999976,0.999789,0.999887,3420668.289858,0.000000
1751277600,2025-06-30 10:00:00,USDC/WETH,0.999887,0.999988,0.999795,0.999868,1081425.305463,0.000000
1751281200,2025-06-30 11:00:00,USDC/WETH,0.999868,0.999983,0.999678,0.999934,970060.925740,0.000000
1751284800,2025-06-30 12:00:00,USDC/WETH,0.999934,0.999993,0.999803,0.999922,1063501.471605,0.000000
1751288400,2025-06-30 13:00:00,USDC/WETH,0.999922,1.000043,0.999773,0.999864,2277706.142148,0.000000
1751292000,2025-06-30 14:00:00,USDC/WETH,0.999864,1.000230,0.999672,0.999930,2860546.447266,0.000000
1751295600,2025-06-30 15:00:00,USDC/WETH,0.999930,1.000391,0.999818,0.999942,4097828.993817,0.000000
1751299200,2025-06-30 16:00:00,USDC/WETH,0.999942,1.000333,0.999858,1.000050,2077270.480600,0.000000
1751302800,2025-06-30 17:00:00,USDC/WETH,1.000050,1.000247,0.999831,1.000023,3164421.864893,0.000000
1751306400,2025-06-30 18:00:00,USDC/WETH,1.000023,1.000361,0.999857,0.999945,2253692.428336,0.000000
1751310000,2025-06-30 19:00:00,USDC/WETH,0.999945,1.000242,0.999787,0.999787,3033901.204135,0.000000
1751313600,2025-06-30 20:00:00,USDC/WETH,0.999787,1.000260,0.999787,1.000023,1625208.963554,0.000000
1751317200,2025-06-30 21:00:00,USDC/WETH,1.000023,1.000251,0.999783,0.999909,1607910.924821,0.000000
1751320800,2025-06-30 22:00:00,USDC/WETH,0.999909,1.000308,0.999832,1.000057,1401523.321959,0.000000
1751324400,2025-06-30 23:00:00,USDC/WETH,1.000057,1.000268,0.999881,1.000007,773419.746117,0.000000
