unix,open,high,low,close,WBTC Volume,WETH Volume,return,log_return,SMA_24,volatility_24
1751515200,108247.713954,109057.771868,108247.713954,109001.703016,0.057256,2.410634,-0.003024,-0.003028,0.000000,0.000000
1751511600,108812.028108,109112.281164,108247.713954,108247.713954,0.117201,4.900370,-0.006917,-0.006941,0.000000,0.000000
1751508000,109284.274926,109284.274926,108608.510410,108812.028108,0.673382,28.302077,0.005213,0.005200,0.000000,0.000000
1751504400,108910.954677,109284.274926,108443.090420,109284.274926,0.376383,15.887912,0.004340,0.004331,0.000000,0.000000
1751500800,108804.692658,109174.025513,108503.413176,108910.954677,0.542718,22.831012,-0.003416,-0.003422,0.000000,0.000000
1751497200,108590.484809,109288.355824,108372.009143,108804.692658,1.353824,56.897017,-0.000976,-0.000976,0.000000,0.000000
1751493600,109552.506733,109796.888168,108590.484809,108590.484809,1.347485,56.519132,-0.001969,-0.001971,0.000000,0.000000
1751490000,108931.615569,109552.506733,108761.023909,109552.506733,0.112095,4.743374,0.008859,0.008820,0.000000,0.000000
1751486400,109383.921125,109543.922621,108931.615569,108931.615569,0.576474,24.255679,-0.005668,-0.005684,0.000000,0.000000
1751482800,109335.320710,109560.735810,109188.704066,109383.921125,1.645969,69.543235,0.004152,0.004144,0.000000,0.000000
1751479200,108472.755026,109641.207411,108472.755026,109335.320710,0.294493,12.436983,-0.000444,-0.000444,0.000000,0.000000
1751475600,109265.044731,109534.178852,108472.755026,108472.755026,2.392519,100.243395,-0.007889,-0.007920,0.000000,0.000000
1751472000,107948.204001,110012.440446,107948.204001,109265.044731,14.938597,630.479163,0.007304,0.007277,0.000000,0.000000
1751468400,107808.190003,108551.654897,107808.190003,107948.204001,6.053561,252.409694,-0.012052,-0.012125,0.000000,0.000000
1751464800,108057.237645,108057.237645,107588.770165,107808.190003,2.313964,96.358044,-0.001297,-0.001298,0.000000,0.000000
1751461200,107192.581585,108057.237645,107163.649380,108057.237645,0.065163,2.719778,0.002310,0.002307,0.000000,0.000000
1751457600,107039.480923,107243.329189,106659.478360,107192.581585,0.638580,26.439877,-0.008002,-0.008034,0.000000,0.000000
1751454000,107915.435179,108248.965593,106985.767822,107039.480923,0.349248,14.439685,-0.001428,-0.001429,0.000000,0.000000
1751450400,107685.819554,107915.435179,107232.246054,107915.435179,0.644636,26.870634,0.008183,0.008150,0.000000,0.000000
1751446800,107624.033253,107729.478872,107624.033253,107685.819554,0.249777,10.389385,-0.002128,-0.002130,0.000000,0.000000
