unix,date,symbol,open,high,low,close,Volume WETH,Volume USDC
1751216400,2025-06-29 17:00:00,WETH/USDC,2436.339342,3248.804727,2428.689801,2436.110855,567147.758405,0.000000
1751220000,2025-06-29 18:00:00,WETH/USDC,2436.110855,4878.393824,2434.765363,2438.210877,540347.340794,0.000000
1751223600,2025-06-29 19:00:00,WETH/USDC,2438.210877,2925.570607,2425.059126,2439.200667,390528.924018,0.000000
1751227200,2025-06-29 20:00:00,WETH/USDC,2439.200667,3249.493576,2434.486607,2437.885359,243005.202623,0.000000
1751230800,2025-06-29 21:00:00,WETH/USDC,2437.885359,4870.622005,2417.777084,2437.997020,2253720.581396,0.000000
1751234400,2025-06-29 22:00:00,WETH/USDC,2437.997020,4879.694769,2432.833278,2482.385839,6873574.474423,0.000000
1751238000,2025-06-29 23:00:00,WETH/USDC,2482.385839,3340.058338,2440.113853,2502.556216,4150536.842433,0.000000
1751241600,2025-06-30 00:00:00,WETH/USDC,2502.556216,3126.918131,2497.840043,2515.375783,3185310.242167,0.000000
1751245200,2025-06-30 01:00:00,WETH/USDC,2515.375783,3352.255892,2499.008858,2512.241574,1906937.946272,0.000000
1751248800,2025-06-30 02:00:00,WETH/USDC,2512.241574,2925.858352,2445.562076,2505.502457,703433.304941,0.000000
1751252400,2025-06-30 03:00:00,WETH/USDC,2505.502457,5007.974125,2499.701005,2503.186071,699102.019295,0.000000
1751256000,2025-06-30 04:00:00,WETH/USDC,2503.186071,2709.562052,2492.174583,2500.318068,670484.963146,0.000000
1751259600,2025-06-30 05:00:00,WETH/USDC,2500.318068,3749.620006,2495.825894,2501.140603,654600.524340,0.000000
1751263200,2025-06-30 06:00:00,WETH/USDC,2501.140603,5000.997292,2423.985555,2483.334557,2511980.740571,0.000000
1751266800,2025-06-30 07:00:00,WETH/USDC,2483.334557,2837.245512,2475.733614,2485.223904,1768654.407715,0.000000
1751270400,2025-06-30 08:00:00,WETH/USDC,2485.223904,3303.939929,2463.812517,2474.479187,1317806.132068,0.000000
1751274000,2025-06-30 09:00:00,WETH/USDC,2474.479187,4947.894471,2396.832145,2464.136698,1682070.326407,0.000000
1751277600,2025-06-30 10:00:00,WETH/USDC,2464.136698,2470.000063,2448.045583,2458.952852,843194.652493,0.000000
1751281200,2025-06-30 11:00:00,WETH/USDC,2458.952852,3693.163397,2447.123030,2461.888868,1112750.129621,0.000000
1751284800,2025-06-30 12:00:00,WETH/USDC,2461.888868,3692.145332,2456.880543,2462.092160,971346.661251,0.000000
1751288400,2025-06-30 13:00:00,WETH/USDC,2462.092160,2545.901573,2406.268529,2461.101438,2188998.937315,0.000000
1751292000,2025-06-30 14:00:00,WETH/USDC,2461.101438,3693.398909,2445.868311,2458.512272,4319641.701100,0.000000
1751295600,2025-06-30 15:00:00,WETH/USDC,2458.512272,4914.849259,2449.047280,2470.739502,4698105.897602,0.000000
1751299200,2025-06-30 16:00:00,WETH/USDC,2470.739502,3294.169865,2465.007979,2472.806945,2377486.298959,0.000000
1751302800,2025-06-30 17:00:00,WETH/USDC,2472.806945,3302.455876,2451.627198,2478.332205,2886658.637948,0.000000
1751306400,2025-06-30 18:00:00,WETH/USDC,2478.332205,3308.168249,2476.723092,2483.132005,2649796.558236,0.000000
1751310000,2025-06-30 19:00:00,WETH/USDC,2483.132005,2532.852504,2461.449777,2497.435914,3943578.700732,0.000000
1751313600,2025-06-30 20:00:00,WETH/USDC,2497.435914,3004.414420,2490.634369,2504.732379,2381265.915260,0.000000
1751317200,2025-06-30 21:00:00,WETH/USDC,2504.732379,3748.365303,2489.855411,2497.051422,1831813.568705,0.000000
1751320800,2025-06-30 22:00:00,WETH/USDC,2497.051422,3742.846153,2454.125840,2492.089242,1555862.082635,0.000000
1751324400,2025-06-30 23:00:00,WETH/USDC,2492.089242,3113.995329,2474.320095,2489.491236,709185.977366,0.000000
1751328000,2025-07-01 00:00:00,WETH/USDC,2489.491236,4977.666770,2484.210752,2491.333010,1945088.444052,0.000000
1751331600,2025-07-01 01:00:00,WETH/USDC,2491.333010,2801.298495,2488.797711,2490.821292,1239428.020606,0.000000
1751335200,2025-07-01 02:00:00,WETH/USDC,2490.821292,2496.159594,2459.175392,2488.921335,978663.825842,0.000000
1751338800,2025-07-01 03:00:00,WETH/USDC,2488.921335,2508.754501,2484.354601,2488.744194,691432.893464,0.000000
1751342400,2025-07-01 04:00:00,WETH/USDC,2488.744194,4967.570941,2314.714626,2475.254550,1434340.883729,0.000000
1751346000,2025-07-01 05:00:00,WETH/USDC,2475.254550,3087.584432,2465.888733,2466.569930,1721144.280518,0.000000
1751349600,2025-07-01 06:00:00,WETH/USDC,2466.569930,2772.312966,2460.293131,2460.845159,495321.706403,0.000000
1751353200,2025-07-01 07:00:00,WETH/USDC,2460.845159,4926.518629,2453.964052,2466.144511,1825030.855777,0.000000
1751356800,2025-07-01 08:00:00,WETH/USDC,2466.144511,3279.808761,2455.568346,2458.024388,766967.615796,0.000000
1751360400,2025-07-01 09:00:00,WETH/USDC,2458.024388,2762.123624,2448.167118,2454.693546,890758.013252,0.000000
1751364000,2025-07-01 10:00:00,WETH/USDC,2454.693546,4918.111441,2452.914693,2454.780619,1148577.822654,0.000000
1751367600,2025-07-01 11:00:00,WETH/USDC,2454.780619,2681.059139,2448.888532,2451.886850,1056632.646801,0.000000
1751371200,2025-07-01 12:00:00,WETH/USDC,2451.886850,3263.212871,2436.447224,2446.806584,1417220.904096,0.000000
1751374800,2025-07-01 13:00:00,WETH/USDC,2446.806584,2596.715423,2438.016868,2445.076051,2599020.841282,0.000000
1751378400,2025-07-01 14:00:00,WETH/USDC,2445.076051,3263.331529,2430.561545,2434.744816,4307911.560026,0.000000
1751382000,2025-07-01 15:00:00,WETH/USDC,2434.744816,2672.336783,2415.330211,2428.340144,2060204.136877,0.000000
1751385600,2025-07-01 16:00:00,WETH/USDC,2428.340144,2434.527073,2418.444973,2426.324996,1698094.439606,0.000000
1751389200,2025-07-01 17:00:00,WETH/USDC,2426.324996,2431.038787,2420.037999,2428.457154,1177931.521163,0.000000
