unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1751328000,2025-07-01 00:00:00,AAVE/USD,274.380000,274.380000,274.380000,274.380000,0.000000,0.000000
1751324400,2025-06-30 23:00:00,AAVE/USD,275.210000,276.470000,274.380000,274.380000,5.060846,1388.594925
1751320800,2025-06-30 22:00:00,AAVE/USD,274.230000,276.100000,272.930000,276.100000,78.293247,21616.765505
1751317200,2025-06-30 21:00:00,AAVE/USD,279.880000,279.880000,272.940000,274.350000,45.335811,12437.879652
1751313600,2025-06-30 20:00:00,AAVE/USD,283.190000,284.220000,280.880000,280.880000,72.425390,20342.843509
1751310000,2025-06-30 19:00:00,AAVE/USD,274.710000,283.310000,274.710000,283.200000,264.516009,74910.933720
1751306400,2025-06-30 18:00:00,AAVE/USD,274.900000,274.930000,272.900000,273.490000,32.100914,8779.278940
1751302800,2025-06-30 17:00:00,AAVE/USD,273.000000,275.010000,273.000000,274.390000,41.876715,11490.551941
1751299200,2025-06-30 16:00:00,AAVE/USD,275.360000,276.560000,272.770000,273.550000,73.854937,20203.017962
1751295600,2025-06-30 15:00:00,AAVE/USD,270.710000,276.380000,270.370000,276.380000,1336.965584,369510.548106
1751292000,2025-06-30 14:00:00,AAVE/USD,272.680000,272.980000,269.310000,269.310000,3.563111,959.581423
1751288400,2025-06-30 13:00:00,AAVE/USD,269.740000,272.180000,269.740000,271.700000,42.555379,11562.296553
1751284800,2025-06-30 12:00:00,AAVE/USD,269.720000,269.730000,268.940000,268.940000,3.439756,925.088054
1751281200,2025-06-30 11:00:00,AAVE/USD,271.580000,271.710000,270.010000,270.760000,57.606101,15597.428004
1751277600,2025-06-30 10:00:00,AAVE/USD,270.100000,270.860000,269.730000,270.860000,23.482456,6360.458138
1751274000,2025-06-30 09:00:00,AAVE/USD,270.230000,270.890000,269.250000,270.450000,51.345211,13886.312245
1751270400,2025-06-30 08:00:00,AAVE/USD,273.320000,273.410000,269.620000,269.620000,34.796412,9381.808692
1751266800,2025-06-30 07:00:00,AAVE/USD,271.580000,273.730000,271.410000,273.650000,39.517618,10813.996259
1751263200,2025-06-30 06:00:00,AAVE/USD,275.500000,275.500000,270.660000,271.390000,40.064017,10872.973549
1751259600,2025-06-30 05:00:00,AAVE/USD,274.460000,275.260000,273.750000,274.840000,112.170570,30828.959332
1751256000,2025-06-30 04:00:00,AAVE/USD,275.720000,276.890000,274.320000,274.460000,50.961790,13986.972914
1751252400,2025-06-30 03:00:00,AAVE/USD,276.080000,277.100000,275.300000,275.820000,46.647753,12866.383114
1751248800,2025-06-30 02:00:00,AAVE/USD,278.340000,279.260000,275.250000,275.250000,53.894420,14834.438987
1751245200,2025-06-30 01:00:00,AAVE/USD,279.560000,281.030000,278.400000,278.400000,78.843457,21950.018457
1751241600,2025-06-30 00:00:00,AAVE/USD,278.850000,279.820000,277.570000,279.020000,75.816276,21154.257385
1751238000,2025-06-29 23:00:00,AAVE/USD,279.180000,280.770000,277.480000,278.780000,82.360793,22960.541870
1751234400,2025-06-29 22:00:00,AAVE/USD,271.860000,279.900000,271.860000,278.150000,68.233293,18979.090409
1751230800,2025-06-29 21:00:00,AAVE/USD,273.510000,273.510000,271.850000,271.850000,50.708311,13785.054381
1751227200,2025-06-29 20:00:00,AAVE/USD,274.630000,274.630000,274.530000,274.530000,1.693484,464.912108
1751223600,2025-06-29 19:00:00,AAVE/USD,276.150000,277.620000,275.410000,275.420000,263.420755,72551.344461
1751220000,2025-06-29 18:00:00,AAVE/USD,274.160000,276.890000,274.160000,276.890000,37.138324,10283.230638
1751216400,2025-06-29 17:00:00,AAVE/USD,273.470000,275.120000,272.630000,274.170000,290.738870,79711.876070
1751212800,2025-06-29 16:00:00,AAVE/USD,271.930000,273.220000,270.640000,273.220000,119.273378,32587.872384
1751209200,2025-06-29 15:00:00,AAVE/USD,272.110000,273.530000,271.610000,271.630000,10.796167,2932.562956
1751205600,2025-06-29 14:00:00,AAVE/USD,271.250000,274.050000,271.230000,272.890000,45.037422,12290.262147
1751202000,2025-06-29 13:00:00,AAVE/USD,273.240000,274.810000,271.490000,271.640000,113.870991,30931.915965
1751198400,2025-06-29 12:00:00,AAVE/USD,271.980000,273.180000,270.050000,273.180000,48.965223,13376.319633
1751194800,2025-06-29 11:00:00,AAVE/USD,269.260000,272.960000,268.280000,272.530000,39.537606,10775.183676
1751191200,2025-06-29 10:00:00,AAVE/USD,268.390000,271.220000,267.960000,268.770000,153.694595,41308.496239
1751187600,2025-06-29 09:00:00,AAVE/USD,267.840000,269.020000,267.140000,268.100000,54.910861,14721.601853
1751184000,2025-06-29 08:00:00,AAVE/USD,264.770000,269.030000,263.800000,269.030000,116.356083,31303.276945
1751180400,2025-06-29 07:00:00,AAVE/USD,261.830000,264.470000,261.820000,264.450000,101.832042,26929.483626
1751176800,2025-06-29 06:00:00,AAVE/USD,258.680000,260.560000,258.650000,260.520000,2.643233,688.615033
1751173200,2025-06-29 05:00:00,AAVE/USD,257.790000,257.790000,257.780000,257.780000,0.600000,154.668000
1751169600,2025-06-29 04:00:00,AAVE/USD,257.980000,257.980000,257.190000,257.190000,10.384423,2670.769664
1751166000,2025-06-29 03:00:00,AAVE/USD,257.550000,257.550000,257.530000,257.530000,7.579145,1951.857212
1751162400,2025-06-29 02:00:00,AAVE/USD,258.840000,258.840000,258.290000,258.290000,8.739204,2257.248880
1751158800,2025-06-29 01:00:00,AAVE/USD,259.240000,259.240000,258.860000,258.860000,0.249100,64.482026
1751155200,2025-06-29 00:00:00,AAVE/USD,260.420000,260.420000,260.420000,260.420000,0.064100,16.692922
1751151600,2025-06-28 23:00:00,AAVE/USD,261.500000,261.520000,261.500000,261.520000,32.215744,8425.061387
1751148000,2025-06-28 22:00:00,AAVE/USD,260.030000,260.970000,260.030000,260.970000,13.664532,3566.033026
1751144400,2025-06-28 21:00:00,AAVE/USD,258.650000,259.040000,257.810000,257.810000,4.770519,1229.887398
1751140800,2025-06-28 20:00:00,AAVE/USD,257.910000,258.090000,257.850000,258.090000,39.222680,10122.981355
1751137200,2025-06-28 19:00:00,AAVE/USD,257.010000,258.060000,256.940000,258.060000,1.876194,484.170740
1751133600,2025-06-28 18:00:00,AAVE/USD,257.290000,257.380000,256.520000,256.580000,11.989905,3076.369738
1751130000,2025-06-28 17:00:00,AAVE/USD,255.500000,258.450000,255.500000,258.410000,22.646454,5852.070209
1751126400,2025-06-28 16:00:00,AAVE/USD,257.490000,258.420000,255.860000,255.860000,15.258381,3904.009406
1751122800,2025-06-28 15:00:00,AAVE/USD,255.790000,256.980000,255.790000,256.980000,20.251121,5204.133010
1751119200,2025-06-28 14:00:00,AAVE/USD,254.190000,254.420000,253.810000,254.420000,60.986253,15516.122427
1751115600,2025-06-28 13:00:00,AAVE/USD,253.540000,253.620000,253.410000,253.410000,12.278100,3111.393321
1751112000,2025-06-28 12:00:00,AAVE/USD,254.270000,254.270000,254.270000,254.270000,0.835785,212.514925
1751108400,2025-06-28 11:00:00,AAVE/USD,256.430000,256.430000,256.430000,256.430000,0.000000,0.000000
1751104800,2025-06-28 10:00:00,AAVE/USD,256.430000,256.430000,256.430000,256.430000,0.000000,0.000000
1751101200,2025-06-28 09:00:00,AAVE/USD,254.230000,256.450000,254.060000,256.430000,53.797148,13795.202767
1751097600,2025-06-28 08:00:00,AAVE/USD,256.600000,256.800000,254.400000,254.410000,4.050743,1030.549410
1751094000,2025-06-28 07:00:00,AAVE/USD,255.840000,256.540000,255.230000,256.540000,4.226460,1084.255966
1751090400,2025-06-28 06:00:00,AAVE/USD,256.300000,256.380000,255.540000,255.560000,11.386187,2909.853919
1751086800,2025-06-28 05:00:00,AAVE/USD,256.340000,256.340000,256.340000,256.340000,0.000000,0.000000
1751083200,2025-06-28 04:00:00,AAVE/USD,256.720000,256.720000,256.300000,256.340000,3.036823,778.459218
1751079600,2025-06-28 03:00:00,AAVE/USD,256.860000,257.310000,256.860000,257.310000,3.138074,807.457852
1751076000,2025-06-28 02:00:00,AAVE/USD,257.220000,257.220000,257.220000,257.220000,1.500000,385.830000
1751072400,2025-06-28 01:00:00,AAVE/USD,257.660000,257.900000,256.190000,256.190000,5.702500,1460.923475
1751068800,2025-06-28 00:00:00,AAVE/USD,259.740000,259.750000,258.960000,258.960000,2.889518,748.269711
1751065200,2025-06-27 23:00:00,AAVE/USD,259.430000,259.580000,259.430000,259.580000,1.314238,341.149921
1751061600,2025-06-27 22:00:00,AAVE/USD,258.200000,258.850000,258.020000,258.020000,3.278100,845.815362
1751058000,2025-06-27 21:00:00,AAVE/USD,257.860000,258.840000,257.860000,258.360000,4.500000,1162.620000
1751054400,2025-06-27 20:00:00,AAVE/USD,256.850000,257.310000,255.620000,256.400000,853.217906,218765.071111
1751050800,2025-06-27 19:00:00,AAVE/USD,254.420000,257.310000,254.420000,257.310000,17.618907,4533.520847
1751047200,2025-06-27 18:00:00,AAVE/USD,257.930000,258.010000,253.390000,254.050000,35.487749,9015.662565
1751043600,2025-06-27 17:00:00,AAVE/USD,263.020000,263.730000,258.290000,258.300000,32.151053,8304.616928
1751040000,2025-06-27 16:00:00,AAVE/USD,265.330000,266.780000,263.800000,264.850000,135.308039,35836.334224
1751036400,2025-06-27 15:00:00,AAVE/USD,260.070000,265.060000,260.070000,265.060000,35.313213,9360.120346
1751032800,2025-06-27 14:00:00,AAVE/USD,260.410000,261.400000,259.620000,260.100000,18.140926,4718.454764
1751029200,2025-06-27 13:00:00,AAVE/USD,258.760000,260.420000,258.490000,260.240000,24.544880,6387.559579
1751025600,2025-06-27 12:00:00,AAVE/USD,261.280000,261.300000,258.550000,258.550000,6.280518,1623.827929
1751022000,2025-06-27 11:00:00,AAVE/USD,262.100000,262.100000,262.100000,262.100000,0.000000,0.000000
1751018400,2025-06-27 10:00:00,AAVE/USD,262.870000,262.960000,261.180000,262.100000,36.339835,9524.670725
1751014800,2025-06-27 09:00:00,AAVE/USD,259.600000,262.640000,259.070000,262.410000,242.016300,63507.497223
1751011200,2025-06-27 08:00:00,AAVE/USD,258.060000,260.750000,258.050000,260.560000,70.302855,18318.111961
1751007600,2025-06-27 07:00:00,AAVE/USD,258.230000,259.440000,256.020000,256.390000,52.282178,13404.627679
1751004000,2025-06-27 06:00:00,AAVE/USD,257.460000,258.560000,257.450000,258.560000,1.500000,387.840000
1751000400,2025-06-27 05:00:00,AAVE/USD,259.350000,259.750000,257.430000,257.810000,89.292895,23020.601260
1750996800,2025-06-27 04:00:00,AAVE/USD,259.070000,259.070000,259.050000,259.050000,0.400000,103.620000
1750993200,2025-06-27 03:00:00,AAVE/USD,256.500000,256.500000,256.180000,256.180000,25.238380,6465.568114
1750989600,2025-06-27 02:00:00,AAVE/USD,254.970000,254.970000,254.970000,254.970000,0.000000,0.000000
1750986000,2025-06-27 01:00:00,AAVE/USD,249.290000,254.970000,249.290000,254.970000,11.378114,2901.077813
1750982400,2025-06-27 00:00:00,AAVE/USD,250.830000,250.830000,250.830000,250.830000,8.520000,2137.071600
1750978800,2025-06-26 23:00:00,AAVE/USD,251.420000,251.420000,251.420000,251.420000,0.000000,0.000000
1750975200,2025-06-26 22:00:00,AAVE/USD,251.210000,251.460000,250.910000,251.420000,53.488370,13448.045915
1750971600,2025-06-26 21:00:00,AAVE/USD,254.290000,254.290000,249.570000,249.570000,31.783622,7932.238503
1750968000,2025-06-26 20:00:00,AAVE/USD,253.350000,257.750000,253.350000,257.750000,241.917685,62354.283198
1750964400,2025-06-26 19:00:00,AAVE/USD,250.740000,250.740000,250.740000,250.740000,0.000000,0.000000
1750960800,2025-06-26 18:00:00,AAVE/USD,250.700000,252.600000,250.410000,250.740000,791.045550,198346.761302
1750957200,2025-06-26 17:00:00,AAVE/USD,251.730000,251.990000,250.620000,250.700000,471.610277,118232.696554
1750953600,2025-06-26 16:00:00,AAVE/USD,253.000000,253.000000,251.740000,252.160000,3.010000,759.001600
1750950000,2025-06-26 15:00:00,AAVE/USD,254.060000,254.950000,251.690000,254.180000,8.843001,2247.714030
1750946400,2025-06-26 14:00:00,AAVE/USD,252.910000,253.960000,252.900000,253.960000,4.629900,1175.809404
1750942800,2025-06-26 13:00:00,AAVE/USD,254.200000,255.540000,252.200000,252.340000,46.508164,11735.870149
1750939200,2025-06-26 12:00:00,AAVE/USD,255.670000,256.320000,255.020000,255.040000,44.686537,11396.854409
1750935600,2025-06-26 11:00:00,AAVE/USD,256.720000,256.720000,256.420000,256.440000,12.163864,3119.301238
1750932000,2025-06-26 10:00:00,AAVE/USD,258.100000,259.180000,258.100000,259.180000,5.620562,1456.737181
1750928400,2025-06-26 09:00:00,AAVE/USD,260.900000,260.900000,257.670000,257.670000,42.783901,11024.127719
1750924800,2025-06-26 08:00:00,AAVE/USD,262.900000,263.820000,262.760000,262.990000,19.637664,5164.509216
1750921200,2025-06-26 07:00:00,AAVE/USD,262.630000,262.630000,262.630000,262.630000,8.520000,2237.607600
1750917600,2025-06-26 06:00:00,AAVE/USD,260.250000,261.720000,260.230000,260.260000,59.362872,15449.781124
1750914000,2025-06-26 05:00:00,AAVE/USD,259.210000,260.000000,259.190000,260.000000,1.753436,455.893409
1750910400,2025-06-26 04:00:00,AAVE/USD,260.440000,260.850000,258.890000,258.890000,30.242225,7829.409687
1750906800,2025-06-26 03:00:00,AAVE/USD,263.690000,263.770000,260.500000,261.610000,39.043480,10214.164701
1750903200,2025-06-26 02:00:00,AAVE/USD,261.230000,261.260000,260.170000,260.190000,120.886692,31453.508522
1750899600,2025-06-26 01:00:00,AAVE/USD,255.950000,259.180000,255.770000,259.180000,2.000000,518.360000
1750896000,2025-06-26 00:00:00,AAVE/USD,255.990000,256.410000,255.990000,256.410000,4.110528,1053.980590
1750892400,2025-06-25 23:00:00,AAVE/USD,255.070000,255.240000,254.530000,255.230000,280.398140,71566.017275
1750888800,2025-06-25 22:00:00,AAVE/USD,256.270000,256.270000,254.770000,254.770000,29.517607,7520.200740
1750885200,2025-06-25 21:00:00,AAVE/USD,260.130000,260.170000,257.760000,257.760000,14.251013,3673.340997
1750881600,2025-06-25 20:00:00,AAVE/USD,257.910000,258.410000,257.890000,258.410000,0.773653,199.919798
1750878000,2025-06-25 19:00:00,AAVE/USD,257.590000,259.080000,257.370000,258.180000,14.230800,3674.107944
1750874400,2025-06-25 18:00:00,AAVE/USD,257.450000,257.740000,256.900000,256.990000,25.095817,6449.374080
1750870800,2025-06-25 17:00:00,AAVE/USD,256.390000,259.460000,256.390000,257.940000,20.802224,5365.725728
1750867200,2025-06-25 16:00:00,AAVE/USD,258.570000,258.620000,256.300000,256.300000,10.496234,2690.184805
1750863600,2025-06-25 15:00:00,AAVE/USD,259.100000,259.210000,257.410000,257.830000,61.765786,15925.072700
1750860000,2025-06-25 14:00:00,AAVE/USD,263.000000,263.000000,257.850000,260.920000,88.308535,23041.463020
1750856400,2025-06-25 13:00:00,AAVE/USD,260.550000,263.640000,260.360000,263.260000,37.187295,9789.927326
1750852800,2025-06-25 12:00:00,AAVE/USD,260.770000,260.770000,259.400000,260.060000,46.055214,11977.119080
1750849200,2025-06-25 11:00:00,AAVE/USD,260.590000,260.590000,260.590000,260.590000,0.064125,16.710334
1750845600,2025-06-25 10:00:00,AAVE/USD,261.640000,261.800000,261.610000,261.800000,19.504968,5106.400675
1750842000,2025-06-25 09:00:00,AAVE/USD,265.190000,265.280000,260.710000,261.470000,59.288342,15502.122704
1750838400,2025-06-25 08:00:00,AAVE/USD,263.290000,265.030000,262.280000,265.030000,47.395230,12561.157685
1750834800,2025-06-25 07:00:00,AAVE/USD,264.150000,265.810000,264.020000,265.810000,1.022653,271.831266
1750831200,2025-06-25 06:00:00,AAVE/USD,263.030000,264.310000,263.030000,263.830000,28.871626,7617.201132
1750827600,2025-06-25 05:00:00,AAVE/USD,264.420000,264.420000,263.600000,263.640000,1.151735,303.643349
1750824000,2025-06-25 04:00:00,AAVE/USD,266.180000,266.180000,266.150000,266.150000,0.372600,99.167490
1750820400,2025-06-25 03:00:00,AAVE/USD,268.560000,268.560000,266.430000,266.440000,0.514406,137.058444
1750816800,2025-06-25 02:00:00,AAVE/USD,267.880000,270.890000,267.660000,268.700000,782.344193,210215.884627
1750813200,2025-06-25 01:00:00,AAVE/USD,266.190000,267.730000,265.060000,267.700000,235.739453,63107.451531
1750809600,2025-06-25 00:00:00,AAVE/USD,262.880000,262.880000,262.880000,262.880000,0.064125,16.857180
1750806000,2025-06-24 23:00:00,AAVE/USD,263.680000,263.910000,262.950000,263.910000,16.295073,4300.432768
1750802400,2025-06-24 22:00:00,AAVE/USD,264.370000,264.370000,263.390000,263.390000,2.881013,758.830069
1750798800,2025-06-24 21:00:00,AAVE/USD,266.000000,266.000000,266.000000,266.000000,0.000000,0.000000
1750795200,2025-06-24 20:00:00,AAVE/USD,263.910000,266.740000,263.890000,266.000000,15.909188,4231.844061
1750791600,2025-06-24 19:00:00,AAVE/USD,265.020000,265.620000,262.620000,264.310000,267.357028,70665.136187
1750788000,2025-06-24 18:00:00,AAVE/USD,267.070000,267.070000,263.610000,265.520000,545.602419,144868.354219
1750784400,2025-06-24 17:00:00,AAVE/USD,269.070000,269.070000,265.120000,265.950000,212.479565,56508.940179
1750780800,2025-06-24 16:00:00,AAVE/USD,261.400000,268.990000,261.200000,268.580000,125.205735,33627.756196
1750777200,2025-06-24 15:00:00,AAVE/USD,262.590000,262.770000,261.190000,261.310000,62.123125,16233.393723
1750773600,2025-06-24 14:00:00,AAVE/USD,260.710000,263.200000,260.260000,261.510000,211.307366,55258.989259
1750770000,2025-06-24 13:00:00,AAVE/USD,259.700000,260.330000,258.620000,259.610000,58.244986,15120.980688
1750766400,2025-06-24 12:00:00,AAVE/USD,259.410000,260.290000,258.000000,260.070000,233.507616,60728.325761
1750762800,2025-06-24 11:00:00,AAVE/USD,261.410000,261.950000,260.890000,261.950000,16.842771,4411.963984
1750759200,2025-06-24 10:00:00,AAVE/USD,261.500000,264.530000,261.500000,262.350000,57.120673,14985.608651
1750755600,2025-06-24 09:00:00,AAVE/USD,259.770000,263.360000,259.750000,263.360000,5.395111,1420.856404
1750752000,2025-06-24 08:00:00,AAVE/USD,256.770000,259.990000,256.130000,259.770000,80.245406,20845.349002
1750748400,2025-06-24 07:00:00,AAVE/USD,264.040000,264.040000,257.900000,257.920000,12.277491,3166.610368
1750744800,2025-06-24 06:00:00,AAVE/USD,261.700000,264.230000,261.700000,264.230000,25.231742,6666.983080
1750741200,2025-06-24 05:00:00,AAVE/USD,259.420000,262.440000,259.400000,262.440000,9.860540,2587.799989
1750737600,2025-06-24 04:00:00,AAVE/USD,258.290000,259.010000,258.290000,259.010000,13.122781,3398.931504
1750734000,2025-06-24 03:00:00,AAVE/USD,258.880000,260.040000,258.860000,259.950000,50.522944,13133.439197
1750730400,2025-06-24 02:00:00,AAVE/USD,256.940000,258.360000,256.610000,257.420000,60.748704,15637.931296
1750726800,2025-06-24 01:00:00,AAVE/USD,255.690000,257.310000,255.690000,257.310000,4.084110,1050.882233
1750723200,2025-06-24 00:00:00,AAVE/USD,257.140000,257.230000,254.230000,254.230000,44.470045,11305.619495
1750719600,2025-06-23 23:00:00,AAVE/USD,256.060000,258.140000,256.060000,257.460000,12.949360,3333.942226
1750716000,2025-06-23 22:00:00,AAVE/USD,248.760000,257.180000,248.750000,255.570000,103.608853,26479.314508
1750712400,2025-06-23 21:00:00,AAVE/USD,248.490000,250.880000,246.730000,246.920000,179.447525,44309.182954
1750708800,2025-06-23 20:00:00,AAVE/USD,244.930000,252.000000,242.740000,248.300000,696.858432,173029.948584
1750705200,2025-06-23 19:00:00,AAVE/USD,239.910000,244.190000,239.900000,243.980000,202.849659,49491.259730
1750701600,2025-06-23 18:00:00,AAVE/USD,235.060000,239.560000,235.060000,239.270000,72.671623,17388.139183
1750698000,2025-06-23 17:00:00,AAVE/USD,227.200000,234.020000,227.200000,232.270000,84.872679,19713.377058
