unix,open,high,low,close,Volume AAVE,Volume USD
1751328000,274.380000,274.380000,274.380000,274.380000,0.000000,0.000000
1751324400,275.210000,276.470000,274.380000,274.380000,5.060846,1388.594925
1751320800,274.230000,276.100000,272.930000,276.100000,78.293247,21616.765505
1751317200,279.880000,279.880000,272.940000,274.350000,45.335811,12437.879652
1751313600,283.190000,284.220000,280.880000,280.880000,72.425390,20342.843509
1751310000,274.710000,283.310000,274.710000,283.200000,264.516009,74910.933720
1751306400,274.900000,274.930000,272.900000,273.490000,32.100914,8779.278940
1751302800,273.000000,275.010000,273.000000,274.390000,41.876715,11490.551941
1751299200,275.360000,276.560000,272.770000,273.550000,73.854937,20203.017962
1751295600,270.710000,276.380000,270.370000,276.380000,1336.965584,369510.548106
1751292000,272.680000,272.980000,269.310000,269.310000,3.563111,959.581423
1751288400,269.740000,272.180000,269.740000,271.700000,42.555379,11562.296553
1751284800,269.720000,269.730000,268.940000,268.940000,3.439756,925.088054
1751281200,271.580000,271.710000,270.010000,270.760000,57.606101,15597.428004
1751277600,270.100000,270.860000,269.730000,270.860000,23.482456,6360.458138
1751274000,270.230000,270.890000,269.250000,270.450000,51.345211,13886.312245
1751270400,273.320000,273.410000,269.620000,269.620000,34.796412,9381.808692
1751266800,271.580000,273.730000,271.410000,273.650000,39.517618,10813.996259
1751263200,275.500000,275.500000,270.660000,271.390000,40.064017,10872.973549
1751259600,274.460000,275.260000,273.750000,274.840000,112.170570,30828.959332
1751256000,275.720000,276.890000,274.320000,274.460000,50.961790,13986.972914
1751252400,276.080000,277.100000,275.300000,275.820000,46.647753,12866.383114
1751248800,278.340000,279.260000,275.250000,275.250000,53.894420,14834.438987
1751245200,279.560000,281.030000,278.400000,278.400000,78.843457,21950.018457
1751241600,278.850000,279.820000,277.570000,279.020000,75.816276,21154.257385
1751238000,279.180000,280.770000,277.480000,278.780000,82.360793,22960.541870
1751234400,271.860000,279.900000,271.860000,278.150000,68.233293,18979.090409
1751230800,273.510000,273.510000,271.850000,271.850000,50.708311,13785.054381
1751227200,274.630000,274.630000,274.530000,274.530000,1.693484,464.912108
1751223600,276.150000,277.620000,275.410000,275.420000,263.420755,72551.344461
1751220000,274.160000,276.890000,274.160000,276.890000,37.138324,10283.230638
1751216400,273.470000,275.120000,272.630000,274.170000,290.738870,79711.876070
1751212800,271.930000,273.220000,270.640000,273.220000,119.273378,32587.872384
1751209200,272.110000,273.530000,271.610000,271.630000,10.796167,2932.562956
1751205600,271.250000,274.050000,271.230000,272.890000,45.037422,12290.262147
1751202000,273.240000,274.810000,271.490000,271.640000,113.870991,30931.915965
1751198400,271.980000,273.180000,270.050000,273.180000,48.965223,13376.319633
1751194800,269.260000,272.960000,268.280000,272.530000,39.537606,10775.183676
1751191200,268.390000,271.220000,267.960000,268.770000,153.694595,41308.496239
1751187600,267.840000,269.020000,267.140000,268.100000,54.910861,14721.601853
1751184000,264.770000,269.030000,263.800000,269.030000,116.356083,31303.276945
1751180400,261.830000,264.470000,261.820000,264.450000,101.832042,26929.483626
1751176800,258.680000,260.560000,258.650000,260.520000,2.643233,688.615033
1751173200,257.790000,257.790000,257.780000,257.780000,0.600000,154.668000
1751169600,257.980000,257.980000,257.190000,257.190000,10.384423,2670.769664
1751166000,257.550000,257.550000,257.530000,257.530000,7.579145,1951.857212
1751162400,258.840000,258.840000,258.290000,258.290000,8.739204,2257.248880
1751158800,259.240000,259.240000,258.860000,258.860000,0.249100,64.482026
1751155200,260.420000,260.420000,260.420000,260.420000,0.064100,16.692922
1751151600,261.500000,261.520000,261.500000,261.520000,32.215744,8425.061387
1751148000,260.030000,260.970000,260.030000,260.970000,13.664532,3566.033026
1751144400,258.650000,259.040000,257.810000,257.810000,4.770519,1229.887398
1751140800,257.910000,258.090000,257.850000,258.090000,39.222680,10122.981355
1751137200,257.010000,258.060000,256.940000,258.060000,1.876194,484.170740
1751133600,257.290000,257.380000,256.520000,256.580000,11.989905,3076.369738
1751130000,255.500000,258.450000,255.500000,258.410000,22.646454,5852.070209
1751126400,257.490000,258.420000,255.860000,255.860000,15.258381,3904.009406
1751122800,255.790000,256.980000,255.790000,256.980000,20.251121,5204.133010
1751119200,254.190000,254.420000,253.810000,254.420000,60.986253,15516.122427
1751115600,253.540000,253.620000,253.410000,253.410000,12.278100,3111.393321
1751112000,254.270000,254.270000,254.270000,254.270000,0.835785,212.514925
1751108400,256.430000,256.430000,256.430000,256.430000,0.000000,0.000000
1751104800,256.430000,256.430000,256.430000,256.430000,0.000000,0.000000
1751101200,254.230000,256.450000,254.060000,256.430000,53.797148,13795.202767
1751097600,256.600000,256.800000,254.400000,254.410000,4.050743,1030.549410
1751094000,255.840000,256.540000,255.230000,256.540000,4.226460,1084.255966
1751090400,256.300000,256.380000,255.540000,255.560000,11.386187,2909.853919
1751086800,256.340000,256.340000,256.340000,256.340000,0.000000,0.000000
1751083200,256.720000,256.720000,256.300000,256.340000,3.036823,778.459218
1751079600,256.860000,257.310000,256.860000,257.310000,3.138074,807.457852
1751076000,257.220000,257.220000,257.220000,257.220000,1.500000,385.830000
1751072400,257.660000,257.900000,256.190000,256.190000,5.702500,1460.923475
1751068800,259.740000,259.750000,258.960000,258.960000,2.889518,748.269711
