unix,open,high,low,close,Volume AAVE,Volume USD,return,log_return,SMA_24,volatility_24
1751155200,260.519900,280.609900,256.602200,278.460200,265.899994,74042.565509,0.635788,0.492125,198.820842,0.155634
1751068800,258.499100,261.998300,253.440500,260.519900,65.247997,16998.401654,-0.064427,-0.066596,202.017504,0.156526
1750982400,251.301900,266.544500,248.817500,258.499100,181.098332,46813.755834,-0.007757,-0.007787,205.774133,0.154994
1750896000,255.274100,265.515700,249.475600,251.301900,168.426129,42325.806227,-0.027842,-0.028237,209.200046,0.155343
1750809600,263.635800,271.018300,254.850600,255.274100,327.362288,83567.113443,0.015806,0.015683,212.610217,0.155357
1750723200,258.706500,269.518100,254.192500,263.635800,570.728221,150464.391126,0.032756,0.032231,216.244625,0.155352
1750636800,227.187000,258.706500,222.573200,258.706500,750.493126,194157.449902,-0.018697,-0.018874,219.834479,0.155311
1750550400,232.666000,238.319400,213.339500,227.187000,795.905546,180819.393279,-0.121835,-0.129921,221.818937,0.158185
1750464000,246.824300,249.876500,227.145600,232.666000,241.631691,56219.479018,0.024117,0.023830,224.638354,0.156719
1750377600,255.985600,264.201000,242.794900,246.824300,207.130513,51124.843880,0.060852,0.059073,228.352700,0.156189
1750291200,257.544000,266.335700,249.366900,255.985600,234.197562,59951.203427,0.037117,0.036444,231.666267,0.155015
1750204800,266.567000,270.156000,255.325000,257.544000,244.146560,62878.481649,0.006088,0.006069,234.705600,0.154994
1750118400,274.625500,283.434500,262.406000,266.567000,351.971773,93824.059613,0.035035,0.034435,238.176308,0.154871
1750032000,274.903600,294.441400,272.095200,274.625500,299.199961,82167.938890,0.030231,0.029783,241.153204,0.153858
1749945600,275.858200,278.754300,266.741000,274.903600,140.605043,38652.832499,0.001013,0.001012,244.597937,0.153088
1749859200,291.311600,291.383200,268.515800,275.858200,165.290977,45596.871391,0.003472,0.003466,246.869529,0.150704
1749772800,294.627100,294.627100,263.451900,291.311600,656.326396,191195.492541,0.056019,0.054507,249.071263,0.150401
1749686400,304.477700,308.660200,288.601300,294.627100,343.603274,101234.836169,0.011381,0.011317,251.222392,0.150405
1749600000,308.741400,325.872000,300.521200,304.477700,499.227597,152003.670511,0.033434,0.032887,254.041879,0.150165
1749513600,283.431700,330.089900,282.927600,308.741400,1450.340375,447780.117854,0.014003,0.013906,256.653188,0.150108
1749427200,253.658200,286.684700,251.110600,283.431700,329.950595,93518.458057,-0.081977,-0.085533,259.867842,0.146798
1749340800,257.818300,257.818300,252.380800,253.658200,112.785641,28609.002682,-0.105046,-0.110983,261.159433,0.148459
1749254400,251.403400,260.703500,249.908900,257.818300,70.885756,18275.645106,0.016400,0.016267,262.618946,0.148432
1749168000,241.988000,254.613200,240.000000,251.403400,259.754862,65303.255473,-0.024881,-0.025196,266.001171,0.138892
1749081600,266.639700,267.001200,240.230000,241.988000,258.329487,62512.635900,-0.037451,-0.038171,264.481496,0.048211
1748995200,267.215400,275.858200,262.671000,266.639700,200.070283,53346.680238,0.101872,0.097010,264.736488,0.051113
1748908800,256.815900,272.992200,254.443200,267.215400,365.987065,97797.379969,0.002159,0.002157,265.099667,0.051069
1748822400,245.919900,258.005700,239.371200,256.815900,296.164235,76059.684559,-0.038918,-0.039696,265.329417,0.051405
1748736000,246.983900,254.059500,238.000000,245.919900,244.722651,60182.169862,-0.042427,-0.043354,264.939658,0.052105
1748649600,250.916200,254.059500,243.332400,246.983900,241.372030,59615.005320,0.004327,0.004317,264.245829,0.051644
1748563200,249.524900,255.777500,240.257100,250.916200,218.690470,54872.981709,0.015921,0.015796,263.921233,0.051623
