unix,open,high,low,close,Volume AAVE,Volume BTC,return,log_return,SMA_24,volatility_24
1736812800,0.003084,0.003084,0.003084,0.003084,0.000000,0.000000,-0.032015,-0.032539,0.003043,0.079860
1736726400,0.002908,0.003084,0.002875,0.003084,6.166151,0.019018,0.000000,0.000000,0.003055,0.079860
1736640000,0.003108,0.003162,0.003108,0.003162,2.100000,0.006640,0.025292,0.024977,0.003069,0.079933
1736553600,0.003000,0.003000,0.003000,0.003000,0.000000,0.000000,-0.051233,-0.052592,0.003084,0.079546
1736467200,0.003000,0.003000,0.003000,0.003000,0.000000,0.000000,0.000000,0.000000,0.003103,0.079112
1736380800,0.003000,0.003000,0.003000,0.003000,0.000000,0.000000,0.000000,0.000000,0.003121,0.079128
1736294400,0.003133,0.003133,0.003000,0.003000,101.583308,0.304750,0.000000,0.000000,0.003112,0.060585
1736208000,0.003210,0.003210,0.003190,0.003190,2.161600,0.006896,0.063333,0.061409,0.003112,0.061988
1736121600,0.003416,0.003451,0.003342,0.003342,0.717637,0.002398,0.047649,0.046549,0.003134,0.056662
1736035200,0.003574,0.003574,0.003416,0.003416,1.055228,0.003605,0.022142,0.021901,0.003159,0.056692
1735948800,0.003595,0.003595,0.003595,0.003595,0.443286,0.001594,0.052400,0.051074,0.003192,0.057305
1735862400,0.003513,0.003513,0.003500,0.003500,9.181392,0.032135,-0.026426,-0.026781,0.003213,0.056357
1735776000,0.003353,0.003353,0.003353,0.003353,0.000000,0.000000,-0.042000,-0.042908,0.003220,0.056276
1735689600,0.003353,0.003353,0.003265,0.003353,2.978960,0.009988,0.000000,0.000000,0.003227,0.056276
1735603200,0.003400,0.003400,0.003369,0.003369,29.661765,0.099933,0.004772,0.004760,0.003236,0.056247
1735516800,0.003550,0.003550,0.003550,0.003550,0.229444,0.000815,0.053725,0.052332,0.003252,0.057135
1735430400,0.003572,0.003572,0.003550,0.003550,66.229766,0.235116,0.000000,0.000000,0.003255,0.053945
1735344000,0.003545,0.003545,0.003545,0.003545,0.814471,0.002887,-0.001408,-0.001409,0.003257,0.053898
1735257600,0.003472,0.003472,0.003472,0.003472,1.079217,0.003747,-0.020592,-0.020807,0.003258,0.053914
1735171200,0.003620,0.003620,0.003583,0.003583,1.002151,0.003591,0.031970,0.031470,0.003289,0.038980
1735084800,0.003909,0.003909,0.003909,0.003909,0.000000,0.000000,0.090985,0.087081,0.003318,0.034328
1734998400,0.003906,0.003909,0.003906,0.003909,2.455844,0.009600,0.000000,0.000000,0.003347,0.034328
1734912000,0.003610,0.004000,0.003610,0.004000,29.794119,0.119176,0.023280,0.023013,0.003381,0.034268
1734825600,0.003194,0.003194,0.003194,0.003194,0.000000,0.000000,-0.201500,-0.225020,0.003382,0.055160
1734739200,0.003151,0.003194,0.003151,0.003194,2.086798,0.006665,0.000000,0.000000,0.003386,0.054695
1734652800,0.003000,0.003471,0.002970,0.003471,26.326933,0.091381,0.086725,0.083169,0.003402,0.057290
1734566400,0.003361,0.003374,0.003144,0.003267,2.489623,0.008134,-0.058773,-0.060571,0.003407,0.058653
1734480000,0.003508,0.003508,0.003347,0.003470,67.974591,0.235872,0.062137,0.060282,0.003426,0.058650
1734393600,0.003443,0.003443,0.003443,0.003443,0.008324,0.000029,-0.007781,-0.007811,0.003445,0.058717
1734307200,0.003460,0.003653,0.003460,0.003653,1.576150,0.005758,0.060993,0.059206,0.003472,0.059689
1734220800,0.003807,0.003807,0.003807,0.003807,0.000000,0.000000,0.042157,0.041293,0.003506,0.059999
1734134400,0.003810,0.003812,0.003807,0.003807,43.376345,0.165116,0.000000,0.000000,0.003531,0.059020
1734048000,0.003812,0.003812,0.003608,0.003608,26.931588,0.097177,-0.052272,-0.053688,0.003542,0.059709
1733961600,0.003050,0.003828,0.003050,0.003618,206.797745,0.748155,0.002772,0.002768,0.003551,0.059599
1733875200,0.002936,0.002975,0.002936,0.002975,0.870780,0.002591,-0.177722,-0.195677,0.003525,0.069241
1733788800,0.002799,0.002833,0.002799,0.002833,4.430835,0.012554,-0.047731,-0.048908,0.003497,0.069658
1733702400,0.002528,0.002528,0.002528,0.002528,1.087838,0.002750,-0.107660,-0.113908,0.003463,0.072360
1733616000,0.002798,0.002798,0.002798,0.002798,0.000000,0.000000,0.106804,0.101476,0.003440,0.076123
1733529600,0.002898,0.002960,0.002786,0.002798,6.122622,0.017133,0.000000,0.000000,0.003416,0.076104
1733443200,0.002591,0.002848,0.002591,0.002848,6.189717,0.017628,0.017870,0.017712,0.003387,0.075254
1733356800,0.002433,0.002433,0.002433,0.002433,1.057873,0.002574,-0.145716,-0.157492,0.003340,0.080429
1733270400,0.002655,0.002800,0.002655,0.002800,18.336210,0.051341,0.150843,0.140494,0.003309,0.087057
1733184000,0.002522,0.002526,0.002442,0.002443,10.608884,0.025913,-0.127500,-0.136393,0.003266,0.090505
1733097600,0.002411,0.002488,0.002411,0.002449,1.730104,0.004238,0.002456,0.002453,0.003219,0.090103
1733011200,0.002105,0.002157,0.002105,0.002157,1.303901,0.002813,-0.119232,-0.126961,0.003146,0.089910
1732924800,0.002095,0.002095,0.002095,0.002095,49.887166,0.104514,-0.028744,-0.029165,0.003070,0.089817
1732838400,0.002094,0.002094,0.002094,0.002094,0.096475,0.000202,-0.000477,-0.000477,0.002991,0.089431
1732752000,0.002124,0.002124,0.002124,0.002124,0.000000,0.000000,0.014327,0.014225,0.002946,0.081125
1732665600,0.002036,0.002124,0.002036,0.002124,2.803415,0.005954,0.000000,0.000000,0.002902,0.081125
1732579200,0.001912,0.001912,0.001912,0.001912,0.105672,0.000202,-0.099812,-0.105151,0.002837,0.080023
1732492800,0.001885,0.001936,0.001844,0.001936,56.308549,0.109032,0.012552,0.012474,0.002781,0.079898
1732406400,0.001763,0.001763,0.001709,0.001711,37.669047,0.064452,-0.116219,-0.123546,0.002708,0.080374
1732320000,0.001760,0.001859,0.001760,0.001853,7.086661,0.013130,0.082992,0.079728,0.002642,0.083342
1732233600,0.001697,0.001697,0.001686,0.001686,17.358958,0.029259,-0.090124,-0.094447,0.002560,0.082499
1732147200,0.001633,0.001730,0.001633,0.001730,3.344520,0.005787,0.026097,0.025763,0.002473,0.081966
1732060800,0.001692,0.001692,0.001692,0.001692,0.000000,0.000000,-0.021965,-0.022210,0.002385,0.081750
1731974400,0.001804,0.001804,0.001692,0.001692,3.211850,0.005433,0.000000,0.000000,0.002305,0.081825
1731888000,0.001825,0.001930,0.001809,0.001865,4.321241,0.008060,0.102246,0.097350,0.002232,0.085859
1731801600,0.001806,0.001974,0.001806,0.001864,2.465733,0.004596,-0.000536,-0.000536,0.002186,0.079407
1731715200,0.001877,0.001877,0.001777,0.001858,5.506219,0.010233,-0.003219,-0.003224,0.002145,0.079158
1731628800,0.001749,0.001825,0.001749,0.001769,7.824943,0.013844,-0.047901,-0.049086,0.002114,0.077007
1731542400,0.001952,0.001952,0.001806,0.001806,2.967530,0.005359,0.020916,0.020700,0.002072,0.073151
1731456000,0.001947,0.001985,0.001899,0.001916,9.284262,0.017787,0.060908,0.059125,0.002036,0.074750
1731369600,0.002010,0.002134,0.001944,0.002043,11.200771,0.022879,0.066284,0.064180,0.002002,0.076255
1731283200,0.002266,0.002299,0.002035,0.002035,12.262206,0.024951,-0.003916,-0.003923,0.001986,0.070643
1731196800,0.002449,0.002569,0.002244,0.002366,706.365935,1.671269,0.162654,0.150705,0.001968,0.071807
1731110400,0.002523,0.002523,0.002456,0.002456,62.541081,0.153577,0.038039,0.037333,0.001968,0.067288
1731024000,0.002345,0.002359,0.002166,0.002326,11.153584,0.025948,-0.052932,-0.054384,0.001963,0.068229
1730937600,0.002390,0.002523,0.002390,0.002412,17.708230,0.042717,0.036973,0.036306,0.001974,0.063649
1730851200,0.002154,0.002260,0.002039,0.002260,9.812453,0.022180,-0.063018,-0.065091,0.001980,0.064849
1730764800,0.001902,0.001902,0.001902,0.001902,0.000000,0.000000,-0.158407,-0.172459,0.001972,0.072953
1730678400,0.001913,0.001913,0.001902,0.001902,2.961969,0.005633,0.000000,0.000000,0.001963,0.072877
1730592000,0.001948,0.001948,0.001940,0.001940,5.585485,0.010835,0.019979,0.019782,0.001956,0.073015
1730505600,0.001952,0.001952,0.001948,0.001948,2.034457,0.003964,0.004124,0.004115,0.001957,0.069928
1730419200,0.002012,0.002012,0.001948,0.001948,5.754668,0.011212,0.000000,0.000000,0.001958,0.069901
1730332800,0.002070,0.002070,0.001977,0.001977,0.148538,0.000294,0.014887,0.014777,0.001969,0.065173
1730246400,0.002101,0.002101,0.002074,0.002074,0.584120,0.001211,0.049064,0.047899,0.001978,0.063832
1730160000,0.002147,0.002147,0.002070,0.002070,0.357377,0.000740,-0.001929,-0.001931,0.001994,0.060467
1730073600,0.002194,0.002194,0.002194,0.002194,0.318347,0.000699,0.059903,0.058178,0.002013,0.061239
1729987200,0.002082,0.002082,0.002082,0.002082,0.000000,0.000000,-0.051048,-0.052397,0.002029,0.062215
1729900800,0.002082,0.002082,0.002082,0.002082,0.562252,0.001171,0.000000,0.000000,0.002046,0.062215
1729814400,0.002177,0.002284,0.002176,0.002176,5.048282,0.010984,0.045149,0.044159,0.002059,0.059592
1729728000,0.002265,0.002289,0.002143,0.002143,3.378335,0.007240,-0.015165,-0.015282,0.002070,0.059760
1729641600,0.002270,0.002270,0.002228,0.002228,0.463042,0.001032,0.039664,0.038898,0.002086,0.060064
1729555200,0.002291,0.002291,0.002291,0.002291,0.000000,0.000000,0.028276,0.027884,0.002107,0.058909
1729468800,0.002291,0.002291,0.002291,0.002291,0.000000,0.000000,0.000000,0.000000,0.002128,0.058934
1729382400,0.002289,0.002291,0.002289,0.002291,0.556613,0.001275,0.000000,0.000000,0.002143,0.058025
1729296000,0.002290,0.002290,0.002290,0.002290,0.552745,0.001266,-0.000436,-0.000437,0.002153,0.056751
1729209600,0.002309,0.002422,0.002309,0.002422,3.749379,0.009082,0.057642,0.056042,0.002170,0.057652
1729123200,0.002272,0.002272,0.002272,0.002272,0.000000,0.000000,-0.061932,-0.063933,0.002166,0.049219
1729036800,0.002272,0.002272,0.002272,0.002272,0.105274,0.000239,0.000000,0.000000,0.002158,0.048533
1728950400,0.002463,0.002594,0.002250,0.002334,5.868883,0.013696,0.027289,0.026923,0.002158,0.047630
1728864000,0.002501,0.002501,0.002500,0.002500,4.230316,0.010576,0.071123,0.068707,0.002162,0.049226
