unix,open,high,low,close,Volume BTC,Volume USDC
1751328000,107143.000000,107143.000000,107143.000000,107143.000000,0.000000,0.000000
1751324400,107250.000000,107250.000000,107128.000000,107143.000000,0.009356,1002.400979
1751320800,107219.000000,107219.000000,107204.000000,107204.000000,0.021263,2279.478652
1751317200,107558.000000,107558.000000,106960.000000,106960.000000,1.231298,131699.646915
1751313600,107524.000000,107689.000000,107484.000000,107689.000000,0.114811,12363.922701
1751310000,107391.000000,107665.000000,107388.000000,107665.000000,0.207210,22309.220507
1751306400,107374.000000,107374.000000,107197.000000,107293.000000,0.168265,18053.656645
1751302800,107808.000000,107834.000000,107520.000000,107520.000000,0.518153,55711.858944
1751299200,107732.000000,107819.000000,107286.000000,107734.000000,0.028053,3022.225272
1751295600,106916.000000,107712.000000,106794.000000,107661.000000,0.074502,8020.921064
1751292000,107566.000000,107626.000000,106814.000000,106814.000000,0.529994,56610.754549
1751288400,107691.000000,107844.000000,107520.000000,107532.000000,0.416196,44754.371067
1751284800,107672.000000,107774.000000,107654.000000,107654.000000,0.022692,2442.874879
1751281200,107672.000000,107957.000000,107672.000000,107712.000000,0.109998,11848.066877
1751277600,107504.000000,107643.000000,107504.000000,107560.000000,0.081530,8769.405522
1751274000,107580.000000,107715.000000,107533.000000,107565.000000,0.021235,2284.166439
1751270400,107747.000000,107747.000000,107482.000000,107565.000000,0.738869,79476.451515
1751266800,107568.000000,107765.000000,107568.000000,107669.000000,0.017238,1855.984225
1751263200,108288.000000,108308.000000,107445.000000,107624.000000,1.560527,167950.182602
1751259600,108393.000000,108395.000000,108225.000000,108345.000000,0.025571,2770.489995
1751256000,108497.000000,108498.000000,108397.000000,108397.000000,0.002889,313.158933
1751252400,108540.000000,108552.000000,108503.000000,108503.000000,0.000755,81.919765
1751248800,108590.000000,108590.000000,108583.000000,108583.000000,0.000435,47.233605
1751245200,108612.000000,108612.000000,108571.000000,108572.000000,0.042817,4648.678467
1751241600,108543.000000,108800.000000,108543.000000,108794.000000,0.062126,6758.966506
1751238000,108359.000000,108415.000000,108297.000000,108415.000000,0.401849,43566.449578
1751234400,107706.000000,108250.000000,107706.000000,108250.000000,0.021288,2304.426000
1751230800,107374.000000,107665.000000,107312.000000,107665.000000,0.042638,4590.594430
1751227200,107449.000000,107519.000000,107444.000000,107483.000000,0.027423,2947.459016
1751223600,107682.000000,107682.000000,107560.000000,107560.000000,0.000454,48.832240
