unix,open,high,low,close,Volume BTC,Volume USDT
1751328000,107121.000000,107145.000000,107121.000000,107145.000000,0.042190,4520.447550
1751324400,107092.000000,107224.000000,107067.000000,107112.000000,0.142116,15222.357912
1751320800,107229.000000,107300.000000,107128.000000,107128.000000,0.354576,37985.038082
1751317200,107458.000000,107458.000000,106937.000000,107147.000000,0.502301,53820.073105
1751313600,107775.000000,107775.000000,107775.000000,107775.000000,0.000000,0.000000
1751310000,107253.000000,107775.000000,107253.000000,107775.000000,0.134987,14548.192670
1751306400,107576.000000,107576.000000,107196.000000,107226.000000,0.142139,15240.967463
1751302800,107591.000000,107806.000000,107538.000000,107806.000000,0.106661,11498.728108
1751299200,107775.000000,107775.000000,107302.000000,107665.000000,0.437296,47081.431851
1751295600,106897.000000,107665.000000,106826.000000,107665.000000,0.083805,9022.834102
1751292000,107495.000000,107598.000000,106794.000000,106794.000000,1.039066,110966.012268
1751288400,107715.000000,107826.000000,107520.000000,107520.000000,0.227237,24432.516864
1751284800,107754.000000,107802.000000,107559.000000,107580.000000,0.226037,24317.079824
1751281200,107636.000000,107929.000000,107636.000000,107657.000000,0.292991,31542.546082
1751277600,107484.000000,107636.000000,107469.000000,107627.000000,0.175013,18836.140295
1751274000,107607.000000,107607.000000,107506.000000,107520.000000,0.115572,12426.341222
1751270400,107635.000000,107657.000000,107506.000000,107506.000000,0.030737,3304.438798
1751266800,107520.000000,107707.000000,107509.000000,107660.000000,0.003590,386.543541
1751263200,108124.000000,108124.000000,107665.000000,107665.000000,0.031027,3340.512265
1751259600,108331.000000,108331.000000,108221.000000,108221.000000,0.002076,224.623508
1751256000,108428.000000,108428.000000,108397.000000,108397.000000,0.009319,1010.200422
1751252400,108472.000000,108542.000000,108450.000000,108542.000000,0.005646,612.832474
1751248800,108468.000000,108563.000000,108468.000000,108563.000000,0.010216,1109.107834
1751245200,108653.000000,108653.000000,108485.000000,108485.000000,0.001387,150.430725
1751241600,108310.000000,108740.000000,108299.000000,108740.000000,0.033659,3660.063349
1751238000,108166.000000,108397.000000,108166.000000,108373.000000,0.002268,245.840899
1751234400,107811.000000,108250.000000,107811.000000,108173.000000,0.017886,1934.769297
1751230800,107374.000000,107665.000000,107314.000000,107510.000000,0.324096,34843.606114
1751227200,107444.000000,107444.000000,107444.000000,107444.000000,0.001664,178.779295
1751223600,107558.000000,107558.000000,107558.000000,107558.000000,0.000888,95.559905
1751220000,107531.000000,107665.000000,107531.000000,107665.000000,0.003045,327.861458
1751216400,107520.000000,107520.000000,107520.000000,107520.000000,0.002397,257.726515
1751212800,107665.000000,107665.000000,107374.000000,107392.000000,0.533846,57330.777819
1751209200,107920.000000,107987.000000,107692.000000,107692.000000,0.006591,709.828126
1751205600,107957.000000,107957.000000,107792.000000,107792.000000,0.014304,1541.856768
1751202000,108029.000000,108029.000000,108029.000000,108029.000000,0.000128,13.801785
1751198400,108500.000000,108500.000000,108103.000000,108104.000000,0.002716,293.599654
1751194800,108197.000000,108397.000000,108197.000000,108397.000000,0.001860,201.613000
1751191200,107957.000000,108250.000000,107957.000000,107957.000000,0.023830,2572.615310
1751187600,107783.000000,107944.000000,107664.000000,107944.000000,0.166849,18010.357092
