unix,open,high,low,close,Volume BTC,Volume USD
1751155200,107335.100000,108544.640000,107227.310000,108398.570000,191.774574,20788089.613227
1751068800,107102.300000,107613.590000,106856.990000,107335.100000,128.305056,13771636.037733
1750982400,107004.810000,107819.880000,106416.060000,107102.300000,437.889089,46898928.560739
1750896000,107412.190000,108337.430000,106615.150000,107004.810000,424.756617,45451001.113308
1750809600,106125.000000,108205.190000,105873.640000,107412.190000,454.755740,48846309.978546
1750723200,105399.530000,106350.490000,104700.000000,106125.000000,481.596219,51109398.703170
1750636800,100995.520000,106123.500000,99661.760000,105399.530000,637.748250,67218365.846266
1750550400,102129.330000,103417.200000,98247.010000,100995.520000,645.759698,65218836.484453
1750464000,103281.570000,104018.270000,100920.730000,102129.330000,301.271623,30768669.000917
1750377600,104670.820000,106532.360000,102361.920000,103281.570000,395.940815,40893388.953803
1750291200,104898.450000,105232.920000,103906.170000,104670.820000,174.402876,18254892.052792
1750204800,104581.470000,105571.660000,103507.540000,104898.450000,415.828848,43619801.623633
1750118400,106868.330000,107844.200000,103344.050000,104581.470000,535.724172,56026821.381506
1750032000,105598.710000,108995.770000,104985.950000,106868.330000,578.722208,61847075.925315
1749945600,105453.050000,106169.430000,104513.000000,105598.710000,135.183914,14275246.904751
1749859200,106102.810000,106265.110000,104354.180000,105453.050000,175.968489,18556413.877378
1749772800,105697.610000,106222.000000,102792.300000,106102.810000,617.458602,65514092.757397
1749686400,108666.730000,108836.070000,105586.000000,105697.610000,554.481701,58607390.564352
1749600000,110292.000000,110400.000000,108088.220000,108666.730000,513.629150,55814400.213166
1749513600,110320.270000,110398.980000,108351.460000,110292.000000,460.511545,50790739.295773
1749427200,105794.140000,110524.630000,105365.780000,110320.270000,513.805171,56683125.246173
1749340800,105607.140000,106500.000000,105021.590000,105794.140000,114.499540,12113380.344595
1749254400,104366.050000,105956.000000,103964.800000,105607.140000,79.120161,8355653.913213
1749168000,101551.240000,105434.160000,101166.320000,104366.050000,608.588316,63515958.656731
1749081600,104737.960000,105973.430000,100400.220000,101551.240000,869.097705,88257949.594454
1748995200,105448.500000,106043.720000,104203.730000,104737.960000,418.169143,43798183.011521
1748908800,105890.010000,106888.000000,104933.720000,105448.500000,432.854238,45643830.107307
