unix,open,high,low,close,Volume ETH,Volume BTC,return,log_return,SMA_24,volatility_24
1751155200,0.022700,0.023320,0.022500,0.023060,173.420727,3.999082,-0.720309,-1.274068,0.071029,0.151599
1751068800,0.022630,0.022760,0.022520,0.022700,187.393218,4.253826,-0.015611,-0.015735,0.069394,0.151435
1750982400,0.022590,0.022990,0.022360,0.022630,688.803205,15.587617,-0.003084,-0.003088,0.067712,0.151284
1750896000,0.022490,0.023270,0.022430,0.022590,626.035182,14.142135,-0.001768,-0.001769,0.066047,0.151306
1750809600,0.023090,0.023150,0.022260,0.022490,331.442671,7.454146,-0.004427,-0.004437,0.064296,0.150968
1750723200,0.022900,0.023760,0.022720,0.023090,397.877275,9.186986,0.026679,0.026329,0.062532,0.151111
1750636800,0.022060,0.023050,0.021940,0.022900,323.001286,7.396729,-0.008229,-0.008263,0.060570,0.149942
1750550400,0.022470,0.022560,0.021500,0.022060,439.998361,9.706364,-0.036681,-0.037371,0.058470,0.149434
1750464000,0.023300,0.023550,0.021990,0.022470,230.761186,5.185204,0.018586,0.018415,0.056322,0.149400
1750377600,0.024090,0.024180,0.023140,0.023300,309.241947,7.205337,0.036938,0.036272,0.054186,0.149807
1750291200,0.024060,0.024210,0.023900,0.024090,187.560432,4.518331,0.033906,0.033343,0.052052,0.150134
1750204800,0.024000,0.024180,0.023760,0.024060,253.884699,6.108466,-0.001245,-0.001246,0.049878,0.150013
1750118400,0.023760,0.024300,0.023700,0.024000,367.934087,8.830418,-0.002494,-0.002497,0.047736,0.150058
1750032000,0.024130,0.024680,0.023700,0.023760,422.081136,10.028648,-0.010000,-0.010050,0.045490,0.149647
1749945600,0.024060,0.024220,0.023810,0.024130,95.414843,2.302360,0.015572,0.015452,0.043222,0.149691
1749859200,0.024300,0.024300,0.023850,0.024060,226.576691,5.451435,-0.002901,-0.002905,0.041101,0.149696
1749772800,0.025000,0.025020,0.023690,0.024300,380.004721,9.234115,0.009975,0.009926,0.038959,0.149694
1749686400,0.025510,0.025720,0.024760,0.025000,302.895017,7.572375,0.028807,0.028399,0.036834,0.149983
1749600000,0.025530,0.026220,0.025230,0.025510,765.604755,19.530577,0.020400,0.020195,0.034809,0.150243
1749513600,0.024300,0.025660,0.024300,0.025530,1243.886531,31.756423,0.000784,0.000784,0.032740,0.150126
1749427200,0.023740,0.024430,0.023480,0.024300,198.021500,4.811922,-0.048179,-0.049378,0.030652,0.150201
1749340800,0.023910,0.023930,0.023670,0.023740,126.949021,3.013770,-0.023045,-0.023315,0.028410,0.149549
1749254400,0.023730,0.024000,0.023640,0.023910,105.008371,2.510750,0.007161,0.007135,0.026089,0.149307
1749168000,0.023800,0.024090,0.023560,0.023730,285.235867,6.768647,-0.007528,-0.007557,0.023642,0.148781
1749081600,0.024920,0.025080,0.023760,0.023800,429.268159,10.216582,0.002950,0.002946,0.023673,0.020724
1748995200,0.024570,0.025530,0.024570,0.024920,361.164982,9.000231,0.047059,0.045985,0.023765,0.022355
1748908800,0.024660,0.024930,0.024460,0.024570,211.178431,5.188654,-0.014045,-0.014145,0.023846,0.022620
1748822400,0.024020,0.024680,0.023660,0.024660,287.303433,7.084903,0.003663,0.003656,0.023932,0.022590
1748736000,0.024200,0.024210,0.023790,0.024020,228.176779,5.480806,-0.025953,-0.026296,0.023996,0.023350
1748649600,0.024320,0.024490,0.023990,0.024200,280.240919,6.781830,0.007494,0.007466,0.024042,0.022827
1748563200,0.024920,0.025030,0.024200,0.024320,386.026098,9.388155,0.004959,0.004946,0.024102,0.022723
1748476800,0.024890,0.025760,0.024500,0.024920,751.025817,18.715563,0.024671,0.024372,0.024221,0.021512
1748390400,0.024430,0.024890,0.024070,0.024890,423.074243,10.530318,-0.001204,-0.001205,0.024322,0.021360
1748304000,0.023420,0.024540,0.023280,0.024430,647.613610,15.821200,-0.018481,-0.018654,0.024369,0.020684
1748217600,0.023390,0.023570,0.023190,0.023420,354.768663,8.308682,-0.041343,-0.042222,0.024341,0.021358
1748131200,0.023470,0.023500,0.023040,0.023390,94.607467,2.212869,-0.001281,-0.001282,0.024313,0.021358
1748044800,0.023550,0.023690,0.023300,0.023470,106.557903,2.500914,0.003420,0.003414,0.024291,0.021374
1747958400,0.023840,0.024550,0.023260,0.023550,482.401670,11.360559,0.003409,0.003403,0.024282,0.021296
1747872000,0.023280,0.024330,0.023230,0.023840,597.457260,14.243381,0.012314,0.012239,0.024270,0.021201
1747785600,0.023630,0.024210,0.023060,0.023280,730.237126,16.999920,-0.023490,-0.023770,0.024237,0.021722
1747699200,0.023930,0.024320,0.023170,0.023630,638.085156,15.077952,0.015034,0.014922,0.024210,0.021859
1747612800,0.023470,0.024100,0.022850,0.023930,801.593732,19.182138,0.012696,0.012616,0.024165,0.021141
1747526400,0.023990,0.024480,0.022480,0.023470,302.525287,7.100268,-0.019223,-0.019410,0.024080,0.020894
1747440000,0.024480,0.024510,0.023830,0.023990,612.454026,14.692772,0.022156,0.021914,0.024016,0.021519
1747353600,0.024530,0.025470,0.024460,0.024480,478.315081,11.709153,0.020425,0.020219,0.024023,0.019644
1747267200,0.025230,0.025470,0.024380,0.024530,296.788573,7.280224,0.002042,0.002040,0.024056,0.018994
1747180800,0.025720,0.026180,0.024820,0.025230,244.517902,6.169187,0.028536,0.028137,0.024111,0.019755
1747094400,0.024280,0.026040,0.023780,0.025720,1071.546511,27.560176,0.019421,0.019235,0.024194,0.019930
1747008000,0.024150,0.024850,0.023920,0.024280,658.012925,15.976554,-0.055988,-0.057616,0.024214,0.023345
1746921600,0.024630,0.024840,0.023430,0.024150,603.610683,14.577198,-0.005354,-0.005369,0.024182,0.021213
1746835200,0.022780,0.024950,0.022560,0.024630,1838.910226,45.292359,0.019876,0.019681,0.024185,0.021441
1746748800,0.021360,0.023950,0.021210,0.022780,1608.813747,36.648777,-0.075112,-0.078082,0.024106,0.026370
1746662400,0.018670,0.021470,0.018640,0.021360,974.894023,20.823736,-0.062335,-0.064363,0.023995,0.028693
1746576000,0.018750,0.019020,0.018550,0.018670,355.063947,6.629044,-0.125936,-0.134602,0.023765,0.037766
1746489600,0.019180,0.019190,0.018670,0.018750,250.391365,4.694838,0.004285,0.004276,0.023533,0.037755
