unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1751328000,2025-07-01 00:00:00,LINK/USD,13.380000,13.380000,13.380000,13.380000,0.000000,0.000000
1751324400,2025-06-30 23:00:00,LINK/USD,13.400000,13.430000,13.380000,13.380000,1735.273305,23217.956822
1751320800,2025-06-30 22:00:00,LINK/USD,13.460000,13.460000,13.400000,13.400000,4566.070143,61185.339918
1751317200,2025-06-30 21:00:00,LINK/USD,13.560000,13.570000,13.400000,13.430000,3147.938251,42276.810715
1751313600,2025-06-30 20:00:00,LINK/USD,13.620000,13.680000,13.550000,13.550000,7198.459312,97539.123672
1751310000,2025-06-30 19:00:00,LINK/USD,13.340000,13.630000,13.340000,13.630000,6965.710800,94942.638206
1751306400,2025-06-30 18:00:00,LINK/USD,13.380000,13.430000,13.300000,13.330000,9014.428241,120162.328455
1751302800,2025-06-30 17:00:00,LINK/USD,13.360000,13.430000,13.350000,13.400000,2368.873023,31742.898504
1751299200,2025-06-30 16:00:00,LINK/USD,13.380000,13.390000,13.270000,13.360000,5042.328609,67365.510213
1751295600,2025-06-30 15:00:00,LINK/USD,13.240000,13.440000,13.190000,13.380000,12320.154608,164843.668654
1751292000,2025-06-30 14:00:00,LINK/USD,13.230000,13.350000,13.200000,13.230000,3038.510592,40199.495126
1751288400,2025-06-30 13:00:00,LINK/USD,13.200000,13.290000,13.190000,13.250000,2350.563943,31144.972244
1751284800,2025-06-30 12:00:00,LINK/USD,13.210000,13.240000,13.130000,13.150000,4222.815595,55530.025073
1751281200,2025-06-30 11:00:00,LINK/USD,13.190000,13.250000,13.190000,13.210000,610.864797,8069.523964
1751277600,2025-06-30 10:00:00,LINK/USD,13.200000,13.220000,13.190000,13.200000,226.797578,2993.728033
1751274000,2025-06-30 09:00:00,LINK/USD,13.270000,13.300000,13.210000,13.210000,674.016400,8903.756644
1751270400,2025-06-30 08:00:00,LINK/USD,13.350000,13.350000,13.250000,13.250000,768.499824,10182.622670
1751266800,2025-06-30 07:00:00,LINK/USD,13.250000,13.350000,13.250000,13.330000,3260.689565,43464.991902
1751263200,2025-06-30 06:00:00,LINK/USD,13.430000,13.430000,13.200000,13.250000,63849.222953,846002.204121
1751259600,2025-06-30 05:00:00,LINK/USD,13.380000,13.400000,13.380000,13.400000,3176.862762,42569.961013
1751256000,2025-06-30 04:00:00,LINK/USD,13.480000,13.480000,13.420000,13.420000,130.463100,1750.814802
1751252400,2025-06-30 03:00:00,LINK/USD,13.520000,13.550000,13.490000,13.490000,1388.415800,18729.729144
1751248800,2025-06-30 02:00:00,LINK/USD,13.570000,13.580000,13.500000,13.510000,6531.454572,88239.951274
1751245200,2025-06-30 01:00:00,LINK/USD,13.650000,13.670000,13.580000,13.630000,4863.036584,66283.188636
1751241600,2025-06-30 00:00:00,LINK/USD,13.720000,13.770000,13.660000,13.660000,4749.938761,64884.163470
1751238000,2025-06-29 23:00:00,LINK/USD,13.810000,13.880000,13.700000,13.700000,2833.708321,38821.803994
1751234400,2025-06-29 22:00:00,LINK/USD,13.430000,13.830000,13.430000,13.780000,15287.910908,210667.412314
1751230800,2025-06-29 21:00:00,LINK/USD,13.320000,13.420000,13.280000,13.420000,461.875003,6198.362540
1751227200,2025-06-29 20:00:00,LINK/USD,13.340000,13.350000,13.310000,13.310000,731.900174,9741.591313
1751223600,2025-06-29 19:00:00,LINK/USD,13.370000,13.390000,13.350000,13.350000,710.562974,9486.015704
1751220000,2025-06-29 18:00:00,LINK/USD,13.400000,13.410000,13.380000,13.390000,2488.155444,33316.401395
1751216400,2025-06-29 17:00:00,LINK/USD,13.350000,13.370000,13.330000,13.370000,1494.557167,19982.229318
1751212800,2025-06-29 16:00:00,LINK/USD,13.290000,13.300000,13.260000,13.290000,2126.009465,28254.665787
1751209200,2025-06-29 15:00:00,LINK/USD,13.320000,13.320000,13.280000,13.290000,5951.704251,79098.149497
1751205600,2025-06-29 14:00:00,LINK/USD,13.380000,13.390000,13.320000,13.320000,661.221380,8807.468775
1751202000,2025-06-29 13:00:00,LINK/USD,13.440000,13.440000,13.370000,13.370000,1209.486259,16170.831287
1751198400,2025-06-29 12:00:00,LINK/USD,13.450000,13.450000,13.400000,13.400000,1151.634696,15431.904924
1751194800,2025-06-29 11:00:00,LINK/USD,13.430000,13.450000,13.390000,13.450000,2979.451104,40073.617349
1751191200,2025-06-29 10:00:00,LINK/USD,13.430000,13.470000,13.390000,13.420000,2042.682810,27412.803308
1751187600,2025-06-29 09:00:00,LINK/USD,13.460000,13.480000,13.420000,13.430000,1663.572167,22341.774200
1751184000,2025-06-29 08:00:00,LINK/USD,13.450000,13.460000,13.430000,13.460000,851.677137,11463.574269
1751180400,2025-06-29 07:00:00,LINK/USD,13.370000,13.440000,13.370000,13.440000,613.141510,8240.621897
1751176800,2025-06-29 06:00:00,LINK/USD,13.340000,13.370000,13.340000,13.350000,293.716744,3921.118538
1751173200,2025-06-29 05:00:00,LINK/USD,13.290000,13.320000,13.280000,13.320000,912.555833,12155.243696
1751169600,2025-06-29 04:00:00,LINK/USD,13.290000,13.290000,13.280000,13.290000,69.025300,917.346237
1751166000,2025-06-29 03:00:00,LINK/USD,13.330000,13.330000,13.280000,13.280000,747.343017,9924.715266
1751162400,2025-06-29 02:00:00,LINK/USD,13.330000,13.350000,13.310000,13.320000,1303.883203,17367.724262
1751158800,2025-06-29 01:00:00,LINK/USD,13.380000,13.380000,13.360000,13.360000,15.774800,210.751328
1751155200,2025-06-29 00:00:00,LINK/USD,13.400000,13.430000,13.390000,13.390000,2015.197268,26983.491413
1751151600,2025-06-28 23:00:00,LINK/USD,13.450000,13.450000,13.390000,13.390000,518.666110,6944.939213
1751148000,2025-06-28 22:00:00,LINK/USD,13.410000,13.440000,13.390000,13.440000,1695.502131,22787.548644
1751144400,2025-06-28 21:00:00,LINK/USD,13.340000,13.370000,13.330000,13.360000,1404.278226,18761.157100
1751140800,2025-06-28 20:00:00,LINK/USD,13.320000,13.380000,13.310000,13.350000,1397.320007,18654.222094
1751137200,2025-06-28 19:00:00,LINK/USD,13.350000,13.370000,13.320000,13.320000,1317.828144,17553.470878
1751133600,2025-06-28 18:00:00,LINK/USD,13.370000,13.400000,13.310000,13.340000,6318.635892,84290.602806
1751130000,2025-06-28 17:00:00,LINK/USD,13.230000,13.400000,13.230000,13.370000,3377.368312,45155.414334
1751126400,2025-06-28 16:00:00,LINK/USD,13.300000,13.320000,13.240000,13.240000,1861.970025,24652.483131
1751122800,2025-06-28 15:00:00,LINK/USD,13.170000,13.300000,13.160000,13.280000,1203.829737,15986.858908
1751119200,2025-06-28 14:00:00,LINK/USD,13.090000,13.170000,13.090000,13.160000,1524.452012,20061.788474
1751115600,2025-06-28 13:00:00,LINK/USD,13.130000,13.130000,13.070000,13.080000,392.241751,5130.522102
1751112000,2025-06-28 12:00:00,LINK/USD,13.110000,13.110000,13.080000,13.100000,153.494132,2010.773133
1751108400,2025-06-28 11:00:00,LINK/USD,13.120000,13.130000,13.100000,13.100000,621.447211,8140.958459
1751104800,2025-06-28 10:00:00,LINK/USD,13.190000,13.190000,13.120000,13.120000,1576.557973,20684.440599
1751101200,2025-06-28 09:00:00,LINK/USD,13.140000,13.160000,13.110000,13.160000,345.930812,4552.449491
1751097600,2025-06-28 08:00:00,LINK/USD,13.180000,13.180000,13.130000,13.130000,1678.626101,22040.360706
1751094000,2025-06-28 07:00:00,LINK/USD,13.130000,13.170000,13.110000,13.170000,2992.478771,39410.945409
1751090400,2025-06-28 06:00:00,LINK/USD,13.110000,13.140000,13.110000,13.130000,723.706738,9502.269470
1751086800,2025-06-28 05:00:00,LINK/USD,13.130000,13.160000,13.110000,13.110000,1060.740972,13906.314141
1751083200,2025-06-28 04:00:00,LINK/USD,13.160000,13.180000,13.130000,13.130000,1087.327534,14276.610523
1751079600,2025-06-28 03:00:00,LINK/USD,13.130000,13.170000,13.130000,13.160000,1194.399623,15718.299034
1751076000,2025-06-28 02:00:00,LINK/USD,13.130000,13.180000,13.120000,13.120000,2477.706154,32507.504744
1751072400,2025-06-28 01:00:00,LINK/USD,13.030000,13.130000,13.010000,13.130000,564.083545,7406.416946
1751068800,2025-06-28 00:00:00,LINK/USD,13.060000,13.090000,13.050000,13.050000,1826.350015,23833.867695
1751065200,2025-06-27 23:00:00,LINK/USD,13.050000,13.080000,13.040000,13.060000,821.242700,10725.429662
1751061600,2025-06-27 22:00:00,LINK/USD,13.000000,13.070000,13.000000,13.070000,2151.581854,28121.174830
1751058000,2025-06-27 21:00:00,LINK/USD,13.010000,13.070000,13.000000,13.000000,268.542300,3491.049900
1751054400,2025-06-27 20:00:00,LINK/USD,12.870000,13.000000,12.870000,13.000000,3390.946930,44082.310085
1751050800,2025-06-27 19:00:00,LINK/USD,12.770000,12.890000,12.770000,12.890000,1488.221407,19183.173933
1751047200,2025-06-27 18:00:00,LINK/USD,12.890000,12.890000,12.750000,12.760000,2456.569035,31345.820883
1751043600,2025-06-27 17:00:00,LINK/USD,13.010000,13.010000,12.850000,12.880000,1393.269800,17945.315024
1751040000,2025-06-27 16:00:00,LINK/USD,13.040000,13.190000,13.000000,13.090000,2027.000260,26533.433405
1751036400,2025-06-27 15:00:00,LINK/USD,12.890000,13.070000,12.880000,13.050000,3275.348226,42743.294351
1751032800,2025-06-27 14:00:00,LINK/USD,12.980000,13.060000,12.890000,12.900000,1083.263628,13974.100799
1751029200,2025-06-27 13:00:00,LINK/USD,12.940000,12.990000,12.870000,12.900000,6667.467019,86010.324547
1751025600,2025-06-27 12:00:00,LINK/USD,13.040000,13.120000,12.970000,12.970000,2878.831035,37338.438527
1751022000,2025-06-27 11:00:00,LINK/USD,13.060000,13.070000,13.030000,13.030000,2282.721280,29743.858280
1751018400,2025-06-27 10:00:00,LINK/USD,13.160000,13.160000,13.060000,13.070000,3862.861062,50487.594083
1751014800,2025-06-27 09:00:00,LINK/USD,13.120000,13.170000,13.110000,13.130000,3299.438369,43321.625786
1751011200,2025-06-27 08:00:00,LINK/USD,13.050000,13.170000,13.050000,13.150000,738.140436,9706.546730
1751007600,2025-06-27 07:00:00,LINK/USD,13.120000,13.160000,13.020000,13.020000,1522.971927,19829.094490
1751004000,2025-06-27 06:00:00,LINK/USD,13.080000,13.150000,13.080000,13.120000,3035.777080,39829.395289
1751000400,2025-06-27 05:00:00,LINK/USD,13.190000,13.230000,13.090000,13.090000,4392.698698,57500.425959
1750996800,2025-06-27 04:00:00,LINK/USD,13.130000,13.210000,13.120000,13.210000,1417.534130,18725.625852
1750993200,2025-06-27 03:00:00,LINK/USD,13.090000,13.160000,13.090000,13.160000,4609.662127,60663.153588
1750989600,2025-06-27 02:00:00,LINK/USD,13.020000,13.070000,13.020000,13.070000,3736.324817,48833.765354
1750986000,2025-06-27 01:00:00,LINK/USD,12.820000,13.010000,12.800000,13.000000,6644.919526,86383.953834
1750982400,2025-06-27 00:00:00,LINK/USD,12.960000,12.970000,12.830000,12.830000,8007.852365,102740.745844
1750978800,2025-06-26 23:00:00,LINK/USD,12.910000,12.930000,12.900000,12.930000,1599.628393,20683.195122
1750975200,2025-06-26 22:00:00,LINK/USD,12.990000,13.040000,12.890000,12.900000,3357.614844,43313.231493
1750971600,2025-06-26 21:00:00,LINK/USD,13.190000,13.190000,12.930000,12.970000,5489.547293,71199.428389
1750968000,2025-06-26 20:00:00,LINK/USD,13.110000,13.280000,13.110000,13.190000,4447.448569,58661.846624
1750964400,2025-06-26 19:00:00,LINK/USD,13.080000,13.150000,13.040000,13.120000,5113.648297,67091.065659
