unix,open,high,low,close,Volume LINK,Volume USD
1751270400,13.379850,13.379850,13.254700,13.254700,13.744875,182.184195
1751266800,13.272030,13.379850,13.272030,13.379850,14.883436,199.138141
1751263200,13.387940,13.403700,13.200000,13.272030,108.093289,1434.617374
1751259600,13.400000,13.419600,13.363660,13.387940,48.508030,649.422595
1751256000,13.530000,13.530000,13.400000,13.400000,190.000245,2546.003283
1751252400,13.514460,13.544360,13.487520,13.530000,660.179908,8932.234155
1751248800,13.587460,13.587460,13.514460,13.514460,257.737572,3483.184107
1751245200,13.699640,13.699640,13.587460,13.587460,778.158801,10573.201582
1751241600,13.722000,13.763030,13.660460,13.699640,753.917649,10328.400381
1751238000,13.789240,13.852000,13.719020,13.722000,1998.166404,27418.839396
1751234400,13.391430,13.827110,13.391430,13.789240,1962.353403,27059.362039
1751230800,13.319700,13.394890,13.259860,13.391430,156.440869,2094.966946
1751227200,13.354940,13.354940,13.319700,13.319700,440.232611,5863.766309
1751223600,13.410700,13.410700,13.352300,13.354940,31.395144,419.280264
1751220000,13.392450,13.414500,13.375950,13.410700,731.093216,9804.471792
1751216400,13.300000,13.392450,13.300000,13.392450,121.071129,1621.439042
1751212800,13.284960,13.300000,13.251160,13.300000,127.798550,1699.720715
1751209200,13.344440,13.344440,13.270860,13.284960,31.185737,414.301269
1751205600,13.377120,13.377120,13.339340,13.344440,37.252571,497.114699
1751202000,13.408450,13.454950,13.377120,13.377120,62.495399,836.008452
1751198400,13.459410,13.459410,13.401130,13.408450,25.979368,348.343057
1751194800,13.407270,13.459410,13.396740,13.459410,82.172376,1105.991699
1751191200,13.436860,13.464170,13.407270,13.407270,6.530726,87.559207
1751187600,13.436590,13.477440,13.436590,13.436860,108.429730,1456.955102
1751184000,13.435620,13.455720,13.435620,13.436590,34.850005,468.265229
1751180400,13.346680,13.435620,13.346680,13.435620,11.343066,152.401124
1751176800,13.277600,13.371230,13.277600,13.346680,122.034183,1628.751190
1751173200,13.294750,13.301150,13.277600,13.277600,6.324643,83.976080
1751169600,13.285360,13.298660,13.276610,13.294750,28.609975,380.362465
1751166000,13.332990,13.342850,13.285360,13.285360,197.621708,2625.475535
1751162400,13.366570,13.366570,13.316140,13.332990,794.204595,10589.121923
1751158800,13.399280,13.399280,13.366570,13.366570,172.482991,2305.505973
1751155200,13.394570,13.426460,13.374970,13.399280,1013.243847,13576.738014
1751151600,13.437970,13.441880,13.387250,13.394570,10.674531,142.980753
1751148000,13.368340,13.437970,13.368340,13.437970,53.729700,722.018097
1751144400,13.358010,13.368340,13.354610,13.368340,17.975459,240.302048
1751140800,13.327990,13.360000,13.298310,13.358010,450.085208,6012.242709
1751137200,13.316080,13.352000,13.316080,13.327990,405.179453,5400.227698
1751133600,13.382440,13.407210,13.316080,13.316080,271.698310,3617.956432
1751130000,13.246580,13.397400,13.237000,13.382440,1111.582380,14875.684505
1751126400,13.282490,13.326680,13.246580,13.246580,39.467786,522.813185
1751122800,13.157470,13.282490,13.157170,13.282490,148.399129,1971.109947
1751119200,13.066410,13.157470,13.066410,13.157470,33.926315,446.384472
1751115600,13.105150,13.113910,13.059100,13.066410,115.873224,1514.047053
1751112000,13.106580,13.106730,13.088950,13.105150,113.017841,1481.115759
1751108400,13.124500,13.125410,13.103760,13.106580,318.639456,4176.273521
1751104800,13.157640,13.157640,13.124500,13.124500,2.090831,27.441111
1751101200,13.136320,13.157640,13.118340,13.157640,13.074707,172.032288
1751097600,13.107030,13.152800,13.107030,13.136320,6.431975,84.492482
1751094000,13.109980,13.109980,13.107030,13.107030,24.842742,325.614565
1751090400,13.095230,13.135210,13.095230,13.109980,48.410722,634.663597
1751086800,13.136290,13.155230,13.095230,13.095230,90.557943,1185.877092
1751083200,13.165660,13.167630,13.136290,13.136290,167.176855,2196.083649
1751079600,13.115370,13.169330,13.115370,13.165660,12.028329,158.360890
1751076000,13.124970,13.177270,13.115370,13.115370,174.220512,2284.966476
1751072400,13.072880,13.124970,13.014380,13.124970,53.299852,699.558959
1751068800,13.042860,13.072880,13.036710,13.072880,163.115355,2132.387462
1751065200,13.063180,13.063180,13.039320,13.042860,113.416309,1479.273040
1751061600,13.000420,13.063180,13.000420,13.063180,55.412896,723.868635
1751058000,13.004850,13.055570,12.977310,13.000420,338.927421,4406.198823
1751054400,12.870960,13.004850,12.870960,13.004850,184.896682,2404.553615
1751050800,12.768690,12.879330,12.768690,12.870960,339.686714,4372.094108
1751047200,12.867930,12.913890,12.760110,12.768690,470.442975,6006.940510
