unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1751155200,2025-06-29 00:00:00,LINK/USD,13.394570,13.852000,13.251160,13.722000,8303.312246,113938.050640
1751068800,2025-06-28 00:00:00,LINK/USD,13.042860,13.441880,13.014380,13.394570,3845.498615,51508.800384
1750982400,2025-06-27 00:00:00,LINK/USD,12.924520,13.229770,12.760110,13.042860,14719.747634,191987.607626
1750896000,2025-06-26 00:00:00,LINK/USD,13.160000,13.560250,12.890590,12.924520,21044.073390,271984.547411
1750809600,2025-06-25 00:00:00,LINK/USD,13.399350,13.495440,13.000000,13.160000,27889.539815,367026.343965
1750723200,2025-06-24 00:00:00,LINK/USD,12.831000,13.721900,12.794960,13.399350,61624.508816,825728.362204
1750636800,2025-06-23 00:00:00,LINK/USD,11.661560,12.946070,11.400800,12.831000,52840.225757,677992.936688
1750550400,2025-06-22 00:00:00,LINK/USD,12.045640,12.194450,10.937340,11.661560,67705.975108,789557.291080
1750464000,2025-06-21 00:00:00,LINK/USD,12.524410,12.722000,11.741590,12.045640,16735.204607,201586.250022
1750377600,2025-06-20 00:00:00,LINK/USD,13.080550,13.269610,12.304300,12.524410,21067.012868,263851.906634
1750291200,2025-06-19 00:00:00,LINK/USD,13.122930,13.370840,12.923690,13.080550,17309.896086,226422.961248
1750204800,2025-06-18 00:00:00,LINK/USD,12.994570,13.230360,12.638160,13.122930,34885.743503,457803.169988
1750118400,2025-06-17 00:00:00,LINK/USD,13.550380,13.762870,12.815440,12.994570,34581.514956,449371.916802
1750032000,2025-06-16 00:00:00,LINK/USD,13.290280,14.163450,13.192360,13.550380,23432.717143,317522.221720
1749945600,2025-06-15 00:00:00,LINK/USD,13.163660,13.335470,12.992840,13.290280,5321.375923,70722.576002
1749859200,2025-06-14 00:00:00,LINK/USD,13.476000,13.487710,12.853370,13.163660,8911.977188,117314.237631
1749772800,2025-06-13 00:00:00,LINK/USD,13.991930,13.991930,12.789440,13.476000,43248.356611,582814.853690
1749686400,2025-06-12 00:00:00,LINK/USD,14.892330,14.922280,13.831200,13.991930,40449.129057,565961.382327
1749600000,2025-06-11 00:00:00,LINK/USD,15.434250,15.648650,14.776430,14.892330,20961.943613,312172.181726
1749513600,2025-06-10 00:00:00,LINK/USD,14.363040,15.520590,14.333040,15.434250,43688.131784,674293.547987
1749427200,2025-06-09 00:00:00,LINK/USD,13.726640,14.394690,13.560440,14.363040,13464.987998,193398.161215
1749340800,2025-06-08 00:00:00,LINK/USD,13.843170,13.972100,13.566100,13.726640,4859.919123,66710.360231
1749254400,2025-06-07 00:00:00,LINK/USD,13.607740,14.091680,13.497130,13.843170,8440.584600,116844.447517
1749168000,2025-06-06 00:00:00,LINK/USD,12.900000,13.682020,12.840740,13.607740,14638.608157,199198.373762
1749081600,2025-06-05 00:00:00,LINK/USD,13.824430,14.046680,12.650000,12.900000,29625.466146,382168.513283
1748995200,2025-06-04 00:00:00,LINK/USD,14.124720,14.446540,13.729430,13.824430,11626.775544,160733.544634
