unix,open,high,low,close,Volume LINK,Volume USD,return,log_return,SMA_24,volatility_24
1751155200,13.394570,13.852000,13.251160,13.722000,8303.312246,113938.050640,-0.164820,-0.180109,15.462167,0.051119
1751068800,13.042860,13.441880,13.014380,13.394570,3845.498615,51508.800384,-0.023862,-0.024151,15.426940,0.051251
1750982400,12.924520,13.229770,12.760110,13.042860,14719.747634,191987.607626,-0.026258,-0.026609,15.384560,0.051458
1750896000,13.160000,13.560250,12.890590,12.924520,21044.073390,271984.547411,-0.009073,-0.009115,15.350165,0.051304
1750809600,13.399350,13.495440,13.000000,13.160000,27889.539815,367026.343965,0.018220,0.018056,15.308915,0.051072
1750723200,12.831000,13.721900,12.794960,13.399350,61624.508816,825728.362204,0.018188,0.018024,15.279304,0.051232
1750636800,11.661560,12.946070,11.400800,12.831000,52840.225757,677992.936688,-0.042416,-0.043342,15.245596,0.051516
1750550400,12.045640,12.194450,10.937340,11.661560,67705.975108,789557.291080,-0.091142,-0.095566,15.140244,0.053842
1750464000,12.524410,12.722000,11.741590,12.045640,16735.204607,201586.250022,0.032936,0.032405,15.059229,0.054414
1750377600,13.080550,13.269610,12.304300,12.524410,21067.012868,263851.906634,0.039746,0.038977,15.008580,0.055077
1750291200,13.122930,13.370840,12.923690,13.080550,17309.896086,226422.961248,0.044404,0.043447,14.920686,0.051145
1750204800,12.994570,13.230360,12.638160,13.122930,34885.743503,457803.169988,0.003240,0.003235,14.824558,0.050988
1750118400,13.550380,13.762870,12.815440,12.994570,34581.514956,449371.916802,-0.009781,-0.009830,14.735165,0.050918
1750032000,13.290280,14.163450,13.192360,13.550380,23432.717143,317522.221720,0.042772,0.041883,14.643098,0.050991
1749945600,13.163660,13.335470,12.992840,13.290280,5321.375923,70722.576002,-0.019195,-0.019382,14.554359,0.050960
1749859200,13.476000,13.487710,12.853370,13.163660,8911.977188,117314.237631,-0.009527,-0.009573,14.406178,0.047288
1749772800,13.991930,13.991930,12.789440,13.476000,43248.356611,582814.853690,0.023727,0.023450,14.239345,0.046404
1749686400,14.892330,14.922280,13.831200,13.991930,40449.129057,565961.382327,0.038285,0.037570,14.068592,0.046551
1749600000,15.434250,15.648650,14.776430,14.892330,20961.943613,312172.181726,0.064351,0.062366,13.965772,0.048407
1749513600,14.363040,15.520590,14.333040,15.434250,43688.131784,674293.547987,0.036389,0.035743,13.887200,0.049145
1749427200,13.726640,14.394690,13.560440,14.363040,13464.987998,193398.161215,-0.069405,-0.071931,13.779826,0.050843
1749340800,13.843170,13.972100,13.566100,13.726640,4859.919123,66710.360231,-0.044308,-0.045320,13.633853,0.051197
1749254400,13.607740,14.091680,13.497130,13.843170,8440.584600,116844.447517,0.008489,0.008453,13.502735,0.051291
1749168000,12.900000,13.682020,12.840740,13.607740,14638.608157,199198.373762,-0.017007,-0.017153,13.385141,0.051045
1749081600,13.824430,14.046680,12.650000,12.900000,29625.466146,382168.513283,-0.052010,-0.053411,13.350891,0.039784
1748995200,14.124720,14.446540,13.729430,13.824430,11626.775544,160733.544634,0.071661,0.069210,13.368802,0.042187
1748908800,14.089500,14.457460,14.002710,14.124720,13868.218161,195884.698423,0.021722,0.021489,13.413879,0.041917
1748822400,14.069620,14.124090,13.599590,14.089500,10171.612972,143312.940969,-0.002494,-0.002497,13.462420,0.041848
1748736000,13.996110,14.131920,13.640000,14.069620,5431.773540,76422.989634,-0.001411,-0.001412,13.500321,0.041759
1748649600,13.900920,14.336100,13.500000,13.996110,31190.375646,436543.928483,-0.005225,-0.005238,13.525186,0.041677
1748563200,15.010000,15.099500,13.751560,13.900920,48483.846438,673970.070627,-0.006801,-0.006824,13.569766,0.040623
1748476800,15.656890,16.178510,15.010000,15.010000,26058.318906,391135.366779,0.079785,0.076762,13.709284,0.038097
1748390400,15.903940,16.150000,15.316340,15.656890,20232.455864,316777.335893,0.043097,0.042194,13.859753,0.038403
1748304000,15.518100,16.125540,15.168040,15.903940,25671.169331,408272.736770,0.015779,0.015656,14.000567,0.037951
1748217600,15.434390,15.969980,15.411960,15.518100,18938.484489,293889.296149,-0.024261,-0.024560,14.102131,0.037887
1748131200,15.383900,15.551440,14.907770,15.434390,16162.753200,249462.236363,-0.005394,-0.005409,14.198442,0.037973
1748044800,15.514880,15.927330,15.292440,15.383900,13129.506871,201983.020753,-0.003271,-0.003277,14.297998,0.037868
1747958400,16.745310,17.144240,15.456770,15.514880,31899.807093,494921.679071,0.008514,0.008478,14.379852,0.037128
1747872000,16.106550,16.892920,16.058590,16.745310,29439.768378,492978.047818,0.079306,0.076319,14.523811,0.039551
1747785600,15.695990,16.499600,15.528750,16.106550,30641.209466,493524.172325,-0.038146,-0.038892,14.646432,0.040596
1747699200,15.803440,16.410690,15.260380,15.695990,18100.133106,284099.508230,-0.025490,-0.025821,14.738931,0.041072
1747612800,15.897710,15.976540,14.868550,15.803440,30241.123328,477913.778047,0.006846,0.006822,14.814411,0.040534
1747526400,15.324310,16.392250,14.876110,15.897710,27361.901128,434991.569182,0.005965,0.005947,14.856302,0.038576
1747440000,15.841080,15.841080,15.100000,15.324310,11220.216065,171942.069247,-0.036068,-0.036735,14.851721,0.038720
1747353600,16.020410,16.516940,15.638690,15.841080,25105.136808,397692.480586,0.033722,0.033166,14.913306,0.036280
1747267200,17.030060,17.213470,15.717410,16.020410,26562.706122,425545.442784,0.011321,0.011257,15.008880,0.034758
1747180800,17.441040,17.510000,16.688660,17.030060,16647.386695,283505.994259,0.063023,0.061116,15.141667,0.036592
1747094400,16.750310,17.800000,16.034960,17.441040,28180.080405,491489.909547,0.024133,0.023846,15.301387,0.036268
1747008000,17.065940,17.969380,16.034960,16.750310,49594.134611,830717.128916,-0.039604,-0.040409,15.461817,0.035409
1746921600,17.330590,17.340210,16.309390,17.065940,18566.883072,316861.312494,0.018843,0.018668,15.596880,0.033073
1746835200,16.025270,17.450870,15.872330,17.330590,23953.920871,415135.581508,0.015507,0.015388,15.730458,0.032996
1746748800,15.858430,16.722090,15.583110,16.025270,36830.232234,590214.415713,-0.075319,-0.078306,15.811115,0.037188
1746662400,13.807920,15.967100,13.807920,15.858430,59031.543362,936147.598198,-0.010411,-0.010466,15.885649,0.037312
1746576000,13.837510,14.082490,13.463220,13.807920,17223.037987,237814.330681,-0.129301,-0.138459,15.877808,0.046380
1746489600,13.671690,13.861650,13.228920,13.837510,8520.979049,117909.132800,0.002143,0.002141,15.875165,0.046354
1746403200,13.841930,14.181000,13.492490,13.671690,26055.921576,356228.482451,-0.011983,-0.012056,15.819403,0.043242
1746316800,14.251740,14.360210,13.841930,13.841930,9396.469455,130065.272443,0.012452,0.012375,15.743779,0.042264
1746230400,14.664900,14.669520,14.181000,14.251740,9773.018768,139282.522497,0.029606,0.029177,15.674937,0.042641
1746144000,14.733330,15.024910,14.504050,14.664900,20177.662751,295903.406477,0.028990,0.028578,15.639387,0.042907
1746057600,14.283840,15.027880,14.283840,14.733330,25777.496746,379788.366133,0.004666,0.004655,15.610177,0.042916
1745971200,14.621360,14.734580,13.847830,14.283840,11205.398802,160056.123624,-0.030508,-0.030983,15.564341,0.043336
1745884800,15.023450,15.217660,14.502020,14.621360,8963.200954,131054.187901,0.023630,0.023355,15.527111,0.043607
1745798400,14.571170,15.102340,14.258210,15.023450,12730.980103,191263.243028,0.027500,0.027129,15.455367,0.040611
1745712000,14.880620,15.091290,14.401570,14.571170,8600.308171,125316.552412,-0.030105,-0.030567,15.391393,0.040347
1745625600,14.943740,15.272310,14.707140,14.880620,7286.711085,108430.778706,0.021237,0.021015,15.357419,0.040359
1745539200,15.032860,15.353610,14.732070,14.943740,23465.857141,350667.667992,0.004242,0.004233,15.321598,0.040340
1745452800,15.021790,15.121180,14.186070,15.032860,25282.480148,380067.984518,0.005964,0.005946,15.285562,0.040340
1745366400,14.137500,15.289020,14.046400,15.021790,24927.871751,374461.254590,-0.000736,-0.000737,15.272957,0.039663
1745280000,13.102070,14.163390,12.892200,14.137500,26746.646108,378130.709352,-0.058867,-0.060671,15.201975,0.040725
1745193600,13.275000,13.669000,13.006560,13.102070,18758.223239,245771.553953,-0.073240,-0.076061,15.080377,0.042948
1745107200,12.954730,13.576160,12.891320,13.275000,13158.500846,174679.098731,0.013199,0.013112,14.923917,0.040531
1745020800,12.554470,13.030220,12.539130,12.954730,3860.588540,50012.882177,-0.024126,-0.024422,14.736987,0.039983
