unix,open,high,low,close,Volume ETH,Volume USDT
1751328000,2485.300000,2485.300000,2485.300000,2485.300000,0.000000,0.000000
1751324400,2491.200000,2491.600000,2485.300000,2485.300000,1.674299,4161.134832
1751320800,2488.900000,2492.400000,2488.400000,2492.400000,0.131265,327.163789
1751317200,2501.900000,2501.900000,2484.600000,2484.600000,3.642283,9049.617187
1751313600,2515.700000,2515.700000,2512.300000,2512.300000,0.064800,162.797040
1751310000,2496.900000,2516.100000,2496.900000,2516.100000,1.022589,2572.936133
1751306400,2487.200000,2487.200000,2487.200000,2487.200000,0.480701,1195.600000
1751302800,2475.000000,2487.000000,2475.000000,2487.000000,1.704323,4238.651972
1751299200,2470.000000,2475.900000,2463.400000,2475.900000,1.776180,4397.644012
1751295600,2443.700000,2446.800000,2443.700000,2446.800000,5.741879,14049.230124
1751292000,2462.800000,2468.500000,2435.600000,2439.700000,4.004262,9769.196879
1751288400,2469.100000,2469.100000,2461.500000,2461.500000,1.826800,4496.668200
1751284800,2464.200000,2464.200000,2460.000000,2460.000000,0.031600,77.736000
1751281200,2454.200000,2463.400000,2454.200000,2463.400000,0.242349,597.001812
1751277600,2452.000000,2452.000000,2452.000000,2452.000000,0.098320,241.080640
1751274000,2461.000000,2461.700000,2460.900000,2461.700000,0.108000,265.863600
1751270400,2480.900000,2484.300000,2480.300000,2480.300000,0.187821,465.851980
1751266800,2467.300000,2482.800000,2461.900000,2480.900000,1.316120,3265.161959
1751263200,2483.200000,2483.200000,2460.900000,2466.300000,6.396972,15776.851427
1751259600,2499.600000,2499.600000,2496.500000,2496.500000,1.016735,2538.278952
1751256000,2503.000000,2503.000000,2502.500000,2502.500000,0.326524,817.125734
1751252400,2503.900000,2503.900000,2498.000000,2499.300000,0.449594,1123.671209
1751248800,2513.800000,2513.800000,2513.800000,2513.800000,0.000000,0.000000
1751245200,2509.400000,2517.800000,2508.400000,2513.800000,1.097747,2759.516032
1751241600,2502.500000,2515.300000,2502.500000,2515.300000,0.750630,1888.060620
1751238000,2511.000000,2511.000000,2502.300000,2503.400000,4.392204,10995.443619
1751234400,2440.900000,2505.300000,2440.900000,2505.300000,5.686677,14246.832038
1751230800,2429.600000,2435.500000,2417.200000,2434.600000,9.997297,24339.418400
1751227200,2438.200000,2438.200000,2438.200000,2438.200000,0.000000,0.000000
1751223600,2438.200000,2438.200000,2438.200000,2438.200000,0.054321,132.444341
1751220000,2436.500000,2441.900000,2436.500000,2440.500000,0.358915,875.931813
1751216400,2440.100000,2440.100000,2436.700000,2436.700000,0.111442,271.550405
1751212800,2437.000000,2439.500000,2437.000000,2439.300000,0.936280,2283.867804
1751209200,2442.800000,2442.800000,2442.800000,2442.800000,0.000000,0.000000
1751205600,2443.100000,2443.100000,2442.800000,2442.800000,2.537394,6198.345697
1751202000,2448.100000,2448.100000,2448.100000,2448.100000,0.059000,144.437900
1751198400,2456.400000,2456.400000,2455.100000,2455.100000,0.224200,550.433420
1751194800,2448.000000,2448.000000,2448.000000,2448.000000,0.000000,0.000000
1751191200,2449.500000,2449.500000,2448.000000,2448.000000,1.323204,3239.203465
1751187600,2441.400000,2454.900000,2440.500000,2450.100000,16.994600,41638.469607
1751184000,2439.400000,2439.400000,2439.400000,2439.400000,0.040400,98.551760
1751180400,2436.900000,2436.900000,2436.900000,2436.900000,0.247866,604.024241
1751176800,2433.700000,2433.700000,2433.700000,2433.700000,0.023600,57.435320
1751173200,2432.700000,2432.700000,2432.500000,2432.500000,0.182577,444.117944
1751169600,2430.000000,2430.000000,2430.000000,2430.000000,0.130601,317.359993
1751166000,2431.800000,2431.800000,2431.800000,2431.800000,0.014165,34.445693
1751162400,2427.300000,2427.300000,2427.300000,2427.300000,0.059000,143.210700
1751158800,2433.900000,2433.900000,2431.700000,2431.700000,0.080585,195.959566
1751155200,2436.400000,2440.100000,2435.100000,2440.100000,0.562693,1373.027946
1751151600,2439.200000,2439.300000,2437.100000,2437.100000,0.071066,173.194291
1751148000,2436.300000,2438.900000,2436.300000,2438.600000,0.188357,459.326746
1751144400,2429.700000,2429.700000,2429.700000,2429.700000,0.000000,0.000000
1751140800,2429.700000,2429.700000,2429.700000,2429.700000,0.037652,91.482992
1751137200,2436.900000,2436.900000,2433.800000,2433.800000,0.493129,1200.176727
1751133600,2443.000000,2443.000000,2443.000000,2443.000000,0.010300,25.162900
1751130000,2435.300000,2439.200000,2434.900000,2439.200000,0.130676,318.744728
1751126400,2439.600000,2439.700000,2436.800000,2437.100000,1.290564,3145.232939
1751122800,2425.000000,2440.000000,2424.600000,2439.900000,3.280114,8003.149099
1751119200,2426.700000,2426.700000,2425.200000,2425.400000,0.094567,229.362729
