unix,open,high,low,close,Volume LINK,Volume BTC,return,log_return,SMA_24,volatility_24
1736812800,0.000207,0.000211,0.000207,0.000210,751.676671,0.158108,-0.036697,-0.037388,0.000229,0.042496
1736726400,0.000210,0.000217,0.000200,0.000201,1366.573048,0.274189,-0.042857,-0.043803,0.000229,0.043352
1736640000,0.000214,0.000214,0.000211,0.000212,51.696518,0.010974,0.054726,0.053281,0.000230,0.044511
1736553600,0.000211,0.000214,0.000211,0.000214,386.824215,0.082765,0.009434,0.009390,0.000231,0.044296
1736467200,0.000214,0.000214,0.000212,0.000212,59.943747,0.012736,-0.009346,-0.009390,0.000231,0.043245
1736380800,0.000216,0.000216,0.000210,0.000210,91.642393,0.019245,-0.009434,-0.009479,0.000231,0.042993
1736294400,0.000218,0.000218,0.000213,0.000216,249.807831,0.053958,0.028571,0.028171,0.000230,0.038449
1736208000,0.000231,0.000232,0.000223,0.000223,441.660334,0.098464,0.032407,0.031893,0.000229,0.035229
1736121600,0.000239,0.000247,0.000237,0.000239,190.977917,0.045661,0.071749,0.069292,0.000230,0.037232
1736035200,0.000241,0.000241,0.000237,0.000239,115.271825,0.027586,0.000000,0.000000,0.000230,0.037173
1735948800,0.000235,0.000243,0.000229,0.000243,763.119404,0.185262,0.016736,0.016598,0.000231,0.036456
1735862400,0.000228,0.000243,0.000227,0.000239,1144.801258,0.273814,-0.016461,-0.016598,0.000231,0.034459
1735776000,0.000233,0.000235,0.000229,0.000229,115.308047,0.026448,-0.041841,-0.042742,0.000230,0.034092
1735689600,0.000215,0.000229,0.000215,0.000227,239.767010,0.054528,-0.008734,-0.008772,0.000229,0.032977
1735603200,0.000221,0.000222,0.000213,0.000213,217.268039,0.046278,-0.061674,-0.063658,0.000228,0.035023
1735516800,0.000230,0.000230,0.000220,0.000222,323.963491,0.071975,0.042254,0.041385,0.000227,0.035827
1735430400,0.000228,0.000229,0.000223,0.000223,447.463724,0.099690,0.004505,0.004494,0.000226,0.035820
1735344000,0.000225,0.000242,0.000225,0.000232,1566.003117,0.363093,0.040359,0.039566,0.000226,0.036611
1735257600,0.000241,0.000243,0.000228,0.000228,636.424856,0.144825,-0.017241,-0.017392,0.000225,0.036732
1735171200,0.000247,0.000247,0.000237,0.000237,394.204943,0.093588,0.039474,0.038715,0.000225,0.036828
1735084800,0.000253,0.000268,0.000245,0.000247,1460.388854,0.360439,0.042194,0.041328,0.000225,0.037220
1734998400,0.000254,0.000260,0.000249,0.000260,252.873461,0.065638,0.052632,0.051293,0.000226,0.038195
1734912000,0.000237,0.000268,0.000237,0.000268,1549.939223,0.415368,0.030769,0.030305,0.000228,0.037871
1734825600,0.000226,0.000233,0.000226,0.000230,109.881312,0.025234,-0.141791,-0.152908,0.000228,0.046749
1734739200,0.000240,0.000251,0.000225,0.000227,733.368127,0.166365,-0.013043,-0.013129,0.000229,0.046114
1734652800,0.000236,0.000242,0.000218,0.000240,10014.054086,2.403173,0.057269,0.055689,0.000230,0.046191
1734566400,0.000249,0.000251,0.000227,0.000236,2874.547188,0.679026,-0.016667,-0.016807,0.000231,0.045375
1734480000,0.000265,0.000268,0.000247,0.000249,1386.676665,0.345615,0.055085,0.053621,0.000233,0.046490
1734393600,0.000272,0.000276,0.000255,0.000260,2435.059154,0.633115,0.044177,0.043229,0.000235,0.046933
1734307200,0.000277,0.000294,0.000268,0.000273,3129.668556,0.854180,0.050000,0.048790,0.000237,0.047448
1734220800,0.000287,0.000287,0.000268,0.000280,1819.157406,0.509655,0.025641,0.025318,0.000240,0.047407
1734134400,0.000289,0.000300,0.000286,0.000289,6154.312060,1.780504,0.032143,0.031637,0.000243,0.047402
1734048000,0.000293,0.000311,0.000274,0.000282,1668.208091,0.469651,-0.024221,-0.024520,0.000245,0.046173
1733961600,0.000243,0.000300,0.000243,0.000290,6096.378202,1.767584,0.028369,0.027974,0.000247,0.046323
1733875200,0.000226,0.000248,0.000222,0.000235,808.035444,0.189808,-0.189655,-0.210295,0.000246,0.061521
1733788800,0.000225,0.000243,0.000214,0.000228,2720.011006,0.621441,-0.029787,-0.030240,0.000246,0.061741
1733702400,0.000265,0.000272,0.000202,0.000230,6462.930300,1.486215,0.008772,0.008734,0.000246,0.061110
1733616000,0.000249,0.000273,0.000248,0.000261,643.096795,0.167752,0.134783,0.126441,0.000247,0.066763
1733529600,0.000260,0.000263,0.000242,0.000247,450.464929,0.111468,-0.053640,-0.055132,0.000249,0.066417
1733443200,0.000238,0.000256,0.000232,0.000253,2195.331885,0.556012,0.024291,0.024001,0.000250,0.066120
1733356800,0.000239,0.000243,0.000230,0.000241,3293.215065,0.792413,-0.047431,-0.048593,0.000251,0.067071
1733270400,0.000252,0.000278,0.000239,0.000239,3566.019786,0.854062,-0.008299,-0.008333,0.000251,0.066707
1733184000,0.000262,0.000274,0.000241,0.000250,5424.510560,1.354283,0.046025,0.044997,0.000252,0.067101
1733097600,0.000195,0.000278,0.000193,0.000262,10054.662512,2.637036,0.048000,0.046884,0.000253,0.067307
1733011200,0.000196,0.000196,0.000191,0.000194,1328.646582,0.257399,-0.259542,-0.300486,0.000251,0.085947
1732924800,0.000190,0.000199,0.000188,0.000198,1635.398466,0.323220,0.020619,0.020409,0.000248,0.085241
1732838400,0.000187,0.000187,0.000183,0.000183,880.921822,0.161473,-0.075758,-0.078781,0.000245,0.085937
1732752000,0.000187,0.000188,0.000183,0.000188,53.221439,0.010006,0.027322,0.026956,0.000243,0.081646
1732665600,0.000191,0.000197,0.000183,0.000197,1608.410449,0.316857,0.047872,0.046762,0.000242,0.082323
1732579200,0.000185,0.000190,0.000177,0.000190,3779.044342,0.717263,-0.035533,-0.036180,0.000240,0.081581
1732492800,0.000181,0.000193,0.000178,0.000187,3659.184293,0.684121,-0.015789,-0.015915,0.000238,0.081576
1732406400,0.000183,0.000187,0.000168,0.000183,5178.094822,0.949404,-0.021390,-0.021622,0.000235,0.080569
1732320000,0.000165,0.000186,0.000165,0.000180,2593.424093,0.467024,-0.016393,-0.016529,0.000232,0.079766
1732233600,0.000150,0.000166,0.000150,0.000166,1565.672697,0.260309,-0.077778,-0.080969,0.000227,0.079725
1732147200,0.000151,0.000165,0.000147,0.000152,4500.132809,0.682805,-0.084337,-0.088107,0.000222,0.080318
1732060800,0.000159,0.000159,0.000151,0.000152,161.067493,0.024550,0.000000,0.000000,0.000216,0.079646
1731974400,0.000170,0.000170,0.000157,0.000158,331.347470,0.052386,0.039474,0.038715,0.000211,0.080660
1731888000,0.000157,0.000170,0.000157,0.000167,790.512177,0.131770,0.056962,0.055399,0.000206,0.081617
1731801600,0.000153,0.000159,0.000152,0.000153,478.252980,0.073077,-0.083832,-0.087556,0.000202,0.074563
1731715200,0.000150,0.000161,0.000150,0.000160,247.336708,0.039574,0.045752,0.044736,0.000200,0.075492
1731628800,0.000148,0.000152,0.000148,0.000150,835.338553,0.125351,-0.062500,-0.064539,0.000196,0.076053
1731542400,0.000147,0.000152,0.000144,0.000152,3813.489317,0.578697,0.013333,0.013245,0.000192,0.069431
1731456000,0.000159,0.000162,0.000147,0.000148,1457.972487,0.216451,-0.026316,-0.026668,0.000188,0.069073
1731369600,0.000167,0.000171,0.000158,0.000158,1203.536844,0.189870,0.067568,0.065383,0.000184,0.070784
1731283200,0.000178,0.000178,0.000166,0.000166,714.556433,0.118624,0.050633,0.049393,0.000181,0.071760
1731196800,0.000179,0.000189,0.000176,0.000176,957.226287,0.168874,0.060241,0.058496,0.000178,0.073288
1731110400,0.000179,0.000187,0.000174,0.000179,617.343151,0.110467,0.017045,0.016902,0.000175,0.072564
1731024000,0.000167,0.000179,0.000166,0.000175,369.529710,0.064668,-0.022346,-0.022600,0.000171,0.071489
1730937600,0.000162,0.000167,0.000162,0.000163,644.516269,0.104831,-0.068571,-0.071036,0.000170,0.050516
1730851200,0.000155,0.000161,0.000153,0.000161,652.847915,0.104841,-0.012270,-0.012346,0.000169,0.050208
1730764800,0.000153,0.000156,0.000153,0.000155,736.798844,0.114476,-0.037267,-0.037979,0.000167,0.048514
1730678400,0.000155,0.000155,0.000151,0.000151,1570.229866,0.237293,-0.025806,-0.026145,0.000166,0.048150
1730592000,0.000160,0.000160,0.000155,0.000156,819.581241,0.128207,0.033113,0.032576,0.000164,0.047496
1730505600,0.000163,0.000163,0.000160,0.000161,86.077521,0.013842,0.032051,0.031548,0.000163,0.047831
1730419200,0.000162,0.000164,0.000162,0.000164,237.444612,0.038855,0.018634,0.018462,0.000162,0.048033
1730332800,0.000169,0.000171,0.000162,0.000162,666.904117,0.108139,-0.012195,-0.012270,0.000161,0.047927
1730246400,0.000164,0.000171,0.000162,0.000169,582.376250,0.098439,0.043210,0.042302,0.000161,0.048791
1730160000,0.000161,0.000161,0.000159,0.000159,891.882169,0.142166,-0.059172,-0.060995,0.000160,0.047661
1730073600,0.000161,0.000163,0.000158,0.000158,369.515225,0.058528,-0.006289,-0.006309,0.000161,0.044245
1729987200,0.000162,0.000163,0.000162,0.000163,183.614641,0.029869,0.031646,0.031155,0.000161,0.044636
1729900800,0.000169,0.000169,0.000162,0.000162,42.080050,0.006812,-0.006135,-0.006154,0.000161,0.044021
1729814400,0.000174,0.000180,0.000169,0.000169,386.379535,0.065433,0.043210,0.042302,0.000161,0.043359
1729728000,0.000170,0.000170,0.000161,0.000170,105.520170,0.017912,0.005917,0.005900,0.000162,0.039375
1729641600,0.000172,0.000172,0.000169,0.000170,48.431221,0.008222,0.000000,0.000000,0.000162,0.038419
1729555200,0.000176,0.000183,0.000176,0.000177,1283.649904,0.227347,0.041176,0.040351,0.000164,0.036486
1729468800,0.000174,0.000174,0.000169,0.000173,153.999995,0.026651,-0.022599,-0.022858,0.000164,0.036973
1729382400,0.000166,0.000174,0.000166,0.000174,540.334192,0.093980,0.005780,0.005764,0.000165,0.036326
1729296000,0.000168,0.000168,0.000167,0.000167,59.353045,0.009904,-0.040230,-0.041061,0.000166,0.035210
1729209600,0.000169,0.000169,0.000166,0.000167,743.553961,0.123928,0.000000,0.000000,0.000166,0.033711
1729123200,0.000166,0.000166,0.000163,0.000163,18.116233,0.002961,-0.023952,-0.024244,0.000165,0.031569
1729036800,0.000169,0.000169,0.000165,0.000165,292.923680,0.048256,0.012270,0.012195,0.000165,0.031454
1728950400,0.000175,0.000181,0.000167,0.000170,940.431666,0.159450,0.030303,0.029853,0.000165,0.031872
1728864000,0.000170,0.000170,0.000170,0.000170,35.382812,0.006015,0.000000,0.000000,0.000165,0.028411
1728777600,0.000176,0.000176,0.000176,0.000176,3.683468,0.000648,0.035294,0.034686,0.000165,0.029014
1728691200,0.000176,0.000177,0.000174,0.000175,621.704042,0.109010,-0.005682,-0.005698,0.000166,0.027744
1728604800,0.000175,0.000176,0.000173,0.000174,144.724633,0.025210,-0.005714,-0.005731,0.000167,0.027054
1728518400,0.000175,0.000176,0.000172,0.000174,404.231369,0.070223,0.000000,0.000000,0.000168,0.026464
1728432000,0.000174,0.000174,0.000171,0.000173,60.829665,0.010503,-0.005747,-0.005764,0.000169,0.025896
1728345600,0.000177,0.000177,0.000175,0.000175,72.279303,0.012635,0.011561,0.011494,0.000169,0.025755
1728259200,0.000181,0.000184,0.000180,0.000181,289.954412,0.052459,0.034286,0.033711,0.000170,0.026302
1728172800,0.000182,0.000183,0.000179,0.000179,58.195655,0.010432,-0.011050,-0.011111,0.000170,0.025179
1728086400,0.000179,0.000182,0.000179,0.000181,20.084578,0.003641,0.011173,0.011111,0.000171,0.021487
1728000000,0.000179,0.000180,0.000178,0.000179,137.886472,0.024639,-0.011050,-0.011111,0.000172,0.021624
1727913600,0.000176,0.000176,0.000174,0.000175,68.417896,0.011960,-0.022346,-0.022600,0.000172,0.021587
1727827200,0.000182,0.000183,0.000174,0.000175,1070.756455,0.187586,0.000000,0.000000,0.000173,0.021508
1727740800,0.000190,0.000190,0.000179,0.000181,382.307515,0.069293,0.034286,0.033711,0.000174,0.020858
1727654400,0.000189,0.000191,0.000187,0.000187,461.782321,0.086580,0.033149,0.032612,0.000174,0.021741
1727568000,0.000194,0.000194,0.000191,0.000192,271.815093,0.052265,0.026738,0.026387,0.000175,0.022197
1727481600,0.000194,0.000196,0.000191,0.000196,153.252545,0.029981,0.020833,0.020619,0.000176,0.021131
1727395200,0.000192,0.000196,0.000192,0.000192,431.827231,0.083071,-0.020408,-0.020619,0.000177,0.021013
1727308800,0.000192,0.000195,0.000190,0.000193,482.116278,0.093179,0.005208,0.005195,0.000178,0.021012
1727222400,0.000189,0.000195,0.000189,0.000194,373.591139,0.072335,0.005181,0.005168,0.000179,0.018726
1727136000,0.000180,0.000189,0.000180,0.000189,501.459707,0.094711,-0.025773,-0.026111,0.000180,0.019818
1727049600,0.000175,0.000181,0.000175,0.000180,72.108259,0.013014,-0.047619,-0.048790,0.000180,0.021827
1726963200,0.000181,0.000181,0.000175,0.000175,177.234199,0.031037,-0.027778,-0.028171,0.000181,0.022709
1726876800,0.000181,0.000182,0.000179,0.000181,140.266555,0.025457,0.034286,0.033711,0.000181,0.022933
1726790400,0.000179,0.000185,0.000179,0.000181,669.978878,0.121253,0.000000,0.000000,0.000182,0.022933
1726704000,0.000177,0.000180,0.000177,0.000178,272.135498,0.048503,-0.016575,-0.016713,0.000182,0.022176
1726617600,0.000176,0.000176,0.000174,0.000176,85.799409,0.015111,-0.011236,-0.011300,0.000182,0.022274
1726531200,0.000181,0.000182,0.000176,0.000176,192.765265,0.033921,0.000000,0.000000,0.000182,0.022236
1726444800,0.000183,0.000183,0.000181,0.000181,152.435892,0.027597,0.028409,0.028013,0.000182,0.022941
1726358400,0.000187,0.000188,0.000183,0.000183,325.448769,0.059577,0.011050,0.010989,0.000183,0.022954
1726272000,0.000189,0.000189,0.000189,0.000189,52.172552,0.009861,0.032787,0.032261,0.000183,0.023711
1726185600,0.000186,0.000191,0.000186,0.000190,192.471411,0.036541,0.005291,0.005277,0.000183,0.022794
1726099200,0.000181,0.000186,0.000181,0.000185,119.007916,0.022071,-0.026316,-0.026668,0.000184,0.023387
1726012800,0.000185,0.000185,0.000180,0.000180,57.994492,0.010466,-0.027027,-0.027399,0.000184,0.024002
1725926400,0.000184,0.000185,0.000184,0.000184,43.297943,0.007958,0.022222,0.021979,0.000184,0.024292
1725840000,0.000190,0.000195,0.000185,0.000185,814.438807,0.150394,0.005435,0.005420,0.000184,0.023766
1725753600,0.000185,0.000189,0.000185,0.000187,145.541873,0.027279,0.010811,0.010753,0.000185,0.023818
1725667200,0.000183,0.000183,0.000182,0.000182,197.452836,0.035996,-0.026738,-0.027102,0.000185,0.023593
1725580800,0.000177,0.000178,0.000176,0.000178,481.895260,0.085662,-0.021978,-0.022223,0.000184,0.022951
1725494400,0.000180,0.000180,0.000178,0.000178,89.441013,0.015942,0.000000,0.000000,0.000184,0.022140
1725408000,0.000180,0.000182,0.000178,0.000178,91.803472,0.016359,0.000000,0.000000,0.000183,0.021569
1725321600,0.000182,0.000182,0.000178,0.000179,66.714702,0.011969,0.005618,0.005602,0.000183,0.021350
