unix,date,symbol,open,high,low,close,Volume LINK,Volume ETH
1660176000,2022-08-11 00:00:00,LINK/ETH,0.004997,0.004997,0.004997,0.004997,0.000000,0.000000
1660089600,2022-08-10 00:00:00,LINK/ETH,0.005011,0.005300,0.004907,0.004997,54.638528,0.273041
1660003200,2022-08-09 00:00:00,LINK/ETH,0.004889,0.005224,0.004889,0.005120,2330.648720,11.933457
1659916800,2022-08-08 00:00:00,LINK/ETH,0.004911,0.004911,0.004804,0.004804,6.254805,0.030047
1659830400,2022-08-07 00:00:00,LINK/ETH,0.004612,0.004894,0.004606,0.004894,6.837392,0.033460
1659744000,2022-08-06 00:00:00,LINK/ETH,0.004582,0.004582,0.004582,0.004582,6.000080,0.027490
1659657600,2022-08-05 00:00:00,LINK/ETH,0.004542,0.004656,0.004526,0.004649,197.207756,0.916896
1659571200,2022-08-04 00:00:00,LINK/ETH,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000
1659484800,2022-08-03 00:00:00,LINK/ETH,0.004436,0.004436,0.004436,0.004436,0.000000,0.000000
1659398400,2022-08-02 00:00:00,LINK/ETH,0.004454,0.004454,0.004436,0.004436,300.000000,1.330800
1659312000,2022-08-01 00:00:00,LINK/ETH,0.004588,0.004636,0.004542,0.004636,9.056279,0.041982
1659225600,2022-07-31 00:00:00,LINK/ETH,0.004680,0.004680,0.004592,0.004592,1.121993,0.005152
1659139200,2022-07-30 00:00:00,LINK/ETH,0.004607,0.004607,0.004607,0.004607,0.000000,0.000000
1659052800,2022-07-29 00:00:00,LINK/ETH,0.004309,0.004607,0.004309,0.004607,184.776848,0.851256
1658966400,2022-07-28 00:00:00,LINK/ETH,0.004217,0.004217,0.004095,0.004148,1442.571776,5.983139
1658880000,2022-07-27 00:00:00,LINK/ETH,0.004300,0.004303,0.004227,0.004227,2330.711371,9.852430
1658793600,2022-07-26 00:00:00,LINK/ETH,0.004465,0.004465,0.004464,0.004464,7.151392,0.031923
1658707200,2022-07-25 00:00:00,LINK/ETH,0.004438,0.004438,0.004438,0.004438,3.712455,0.016476
1658620800,2022-07-24 00:00:00,LINK/ETH,0.004420,0.004420,0.004385,0.004392,64.094314,0.281502
1658534400,2022-07-23 00:00:00,LINK/ETH,0.004430,0.004430,0.004430,0.004430,8.130085,0.036016
1658448000,2022-07-22 00:00:00,LINK/ETH,0.004464,0.004464,0.004411,0.004437,53.583876,0.237756
1658361600,2022-07-21 00:00:00,LINK/ETH,0.004532,0.004565,0.004460,0.004519,87.310457,0.394596
1658275200,2022-07-20 00:00:00,LINK/ETH,0.004722,0.004783,0.004509,0.004509,157.806413,0.711499
1658188800,2022-07-19 00:00:00,LINK/ETH,0.004526,0.004673,0.004435,0.004673,622.912917,2.911078
1658102400,2022-07-18 00:00:00,LINK/ETH,0.004639,0.004639,0.004500,0.004500,89.983187,0.404924
1658016000,2022-07-17 00:00:00,LINK/ETH,0.004805,0.004811,0.004763,0.004763,227.420852,1.083121
1657929600,2022-07-16 00:00:00,LINK/ETH,0.005152,0.005152,0.004622,0.004778,563.522082,2.692503
1657843200,2022-07-15 00:00:00,LINK/ETH,0.005012,0.005044,0.005000,0.005044,1679.327239,8.470241
1657756800,2022-07-14 00:00:00,LINK/ETH,0.005600,0.005600,0.005256,0.005256,46.986826,0.246944
1657670400,2022-07-13 00:00:00,LINK/ETH,0.005725,0.005725,0.005604,0.005674,268.936613,1.525876
1657584000,2022-07-12 00:00:00,LINK/ETH,0.005770,0.005860,0.005770,0.005811,95.491279,0.554876
1657497600,2022-07-11 00:00:00,LINK/ETH,0.005488,0.005569,0.005488,0.005569,14.276999,0.079505
1657411200,2022-07-10 00:00:00,LINK/ETH,0.005332,0.005332,0.005284,0.005284,5.721745,0.030233
1657324800,2022-07-09 00:00:00,LINK/ETH,0.005266,0.005338,0.005266,0.005338,31.867531,0.170121
1657238400,2022-07-08 00:00:00,LINK/ETH,0.005300,0.005305,0.005155,0.005182,2394.695630,12.409816
1657152000,2022-07-07 00:00:00,LINK/ETH,0.005345,0.005488,0.005345,0.005345,2934.073603,15.681655
1657065600,2022-07-06 00:00:00,LINK/ETH,0.005494,0.005494,0.005486,0.005486,14.583273,0.080004
1656979200,2022-07-05 00:00:00,LINK/ETH,0.005550,0.005607,0.005520,0.005520,823.797487,4.547362
1656892800,2022-07-04 00:00:00,LINK/ETH,0.005738,0.005739,0.005550,0.005550,1996.986093,11.083273
1656806400,2022-07-03 00:00:00,LINK/ETH,0.005769,0.005769,0.005768,0.005768,58.875740,0.339592
1656720000,2022-07-02 00:00:00,LINK/ETH,0.005670,0.005670,0.005670,0.005670,0.000000,0.000000
1656633600,2022-07-01 00:00:00,LINK/ETH,0.005808,0.005808,0.005670,0.005670,14.683461,0.083256
