unix,open,high,low,close,Volume XRP,Volume USD
1751328000,2.236140,2.240310,2.233560,2.233560,11321.155289,25286.479607
1751241600,2.206780,2.327490,2.165460,2.238630,15045886.883226,33682173.753396
1751155200,2.185830,2.220240,2.176330,2.206660,2725743.914717,6014790.066849
1751068800,2.143750,2.208440,2.135660,2.186380,3663514.263763,8009834.316006
1750982400,2.105900,2.155910,2.068350,2.142760,11469495.642404,24576376.482718
1750896000,2.186890,2.213600,2.096340,2.106210,11632298.815500,24500064.088195
1750809600,2.191720,2.231000,2.171060,2.186510,7988080.001084,17466016.803170
1750723200,2.160090,2.217460,2.132920,2.190870,9206446.429279,20170127.288514
1750636800,2.018130,2.172060,1.962890,2.159970,16204558.820451,35001360.915410
1750550400,2.064480,2.090090,1.909000,2.018480,14207328.030380,28677207.482761
1750464000,2.119240,2.145290,1.990010,2.063820,8520012.676160,17583772.561313
1750377600,2.165010,2.179740,2.086700,2.119580,7668128.086072,16253210.928678
1750291200,2.170900,2.185090,2.144860,2.165220,5011884.282750,10851832.086697
1750204800,2.159720,2.180930,2.118830,2.171130,8060768.402163,17500976.100989
1750118400,2.237220,2.257770,2.141550,2.159170,8549526.618022,18459881.387835
1750032000,2.165560,2.337340,2.151980,2.237420,10898569.138230,24384676.561258
1749945600,2.141000,2.176080,2.139390,2.166370,2270833.090473,4919464.682209
1749859200,2.148400,2.179330,2.110230,2.140360,2799517.811929,5991975.943940
1749772800,2.189720,2.192740,2.085400,2.148470,14650515.516455,31476193.071638
1749686400,2.270500,2.272980,2.170810,2.190590,7526721.496755,16487960.843577
1749600000,2.306320,2.338610,2.253740,2.270880,6795512.997647,15431794.556097
1749513600,2.320170,2.326990,2.261350,2.307570,6246112.692416,14413342.265638
1749427200,2.267480,2.330100,2.223920,2.321780,5995962.917486,13921306.782560
1749340800,2.178120,2.296460,2.168180,2.267720,5151963.484857,11683210.633879
1749254400,2.161030,2.192110,2.149130,2.178080,2601790.898549,5666908.720311
1749168000,2.094970,2.192210,2.083140,2.161770,8696043.364316,18798845.663676
1749081600,2.201300,2.227490,2.059380,2.094860,11352557.375584,23782018.343815
1748995200,2.246720,2.266600,2.196690,2.202280,6633488.990756,14608800.134561
1748908800,2.197980,2.283780,2.185630,2.245850,8280821.254772,18597482.415030
1748822400,2.180220,2.205420,2.137030,2.197410,5458744.420703,11995099.577496
1748736000,2.175160,2.188790,2.124540,2.180450,4050464.236581,8831834.744653
1748649600,2.140530,2.207120,2.080730,2.173960,5510634.688321,11979899.387023
1748563200,2.243750,2.252550,2.131710,2.140910,11003913.243745,23558387.902665
1748476800,2.275000,2.313160,2.238030,2.244240,7047281.536781,15815791.116106
1748390400,2.316940,2.323530,2.227460,2.275100,6976243.912474,15871652.525269
1748304000,2.311190,2.354870,2.269130,2.317970,5095066.900323,11810212.222942
1748217600,2.344230,2.359720,2.296810,2.311470,5328543.818337,12316769.179771
1748131200,2.331270,2.345680,2.266790,2.343970,4631922.594519,10857087.603874
1748044800,2.296750,2.360040,2.287110,2.331940,2308738.533932,5383839.736818
1747958400,2.430420,2.479630,2.285040,2.296230,11702440.791853,26871495.619476
1747872000,2.396450,2.455510,2.387520,2.431260,9430171.074177,22927197.725803
1747785600,2.355250,2.429960,2.332000,2.395910,7905595.380251,18941095.027498
1747699200,2.381210,2.408800,2.315640,2.357460,7163293.830122,16887178.672758
1747612800,2.429970,2.440640,2.284290,2.380520,9895600.905120,23556675.866657
1747526400,2.354050,2.449320,2.333810,2.428910,5647592.508415,13717493.919614
1747440000,2.380310,2.389770,2.300000,2.354380,6432707.295608,15145037.402635
1747353600,2.386570,2.440050,2.347280,2.380310,11361639.028680,27044222.996357
