unix,open,high,low,close,Volume XRP,Volume USD,return,log_return,SMA_24,volatility_24
1751328000,2.236140,2.240310,2.233560,2.233560,11321.155289,25286.479607,1.592942,0.952793,0.846032,0.325934
1751241600,2.206780,2.327490,2.165460,2.238630,15045886.883226,33682173.753396,0.002270,0.002267,0.907060,0.326128
1751155200,2.185830,2.220240,2.176330,2.206660,2725743.914717,6014790.066849,-0.014281,-0.014384,0.966970,0.326211
1751068800,2.143750,2.208440,2.135660,2.186380,3663514.263763,8009834.316006,-0.009190,-0.009233,1.026848,0.326019
1750982400,2.105900,2.155910,2.068350,2.142760,11469495.642404,24576376.482718,-0.019951,-0.020152,1.083675,0.326502
1750896000,2.186890,2.213600,2.096340,2.106210,11632298.815500,24500064.088195,-0.017057,-0.017205,1.138769,0.326735
1750809600,2.191720,2.231000,2.171060,2.186510,7988080.001084,17466016.803170,0.038125,0.037417,1.199580,0.325435
1750723200,2.160090,2.217460,2.132920,2.190870,9206446.429279,20170127.288514,0.001994,0.001992,1.260753,0.325355
1750636800,2.018130,2.172060,1.962890,2.159970,16204558.820451,35001360.915410,-0.014104,-0.014204,1.320986,0.325385
1750550400,2.064480,2.090090,1.909000,2.018480,14207328.030380,28677207.482761,-0.065506,-0.067750,1.376103,0.326006
1750464000,2.119240,2.145290,1.990010,2.063820,8520012.676160,17583772.561313,0.022462,0.022214,1.430481,0.326131
1750377600,2.165010,2.179740,2.086700,2.119580,7668128.086072,16253210.928678,0.027018,0.026659,1.487030,0.325973
1750291200,2.170900,2.185090,2.144860,2.165220,5011884.282750,10851832.086697,0.021533,0.021304,1.545856,0.325681
1750204800,2.159720,2.180930,2.118830,2.171130,8060768.402163,17500976.100989,0.002730,0.002726,1.603475,0.325947
1750118400,2.237220,2.257770,2.141550,2.159170,8549526.618022,18459881.387835,-0.005509,-0.005524,1.661820,0.325559
1750032000,2.165560,2.337340,2.151980,2.237420,10898569.138230,24384676.561258,0.036241,0.035600,1.720805,0.325622
1749945600,2.141000,2.176080,2.139390,2.166370,2270833.090473,4919464.682209,-0.031755,-0.032270,1.776576,0.326041
1749859200,2.148400,2.179330,2.110230,2.140360,2799517.811929,5991975.943940,-0.012006,-0.012079,1.830687,0.326287
1749772800,2.189720,2.192740,2.085400,2.148470,14650515.516455,31476193.071638,0.003789,0.003782,1.885860,0.326042
1749686400,2.270500,2.272980,2.170810,2.190590,7526721.496755,16487960.843577,0.019605,0.019415,1.942713,0.325912
1749600000,2.306320,2.338610,2.253740,2.270880,6795512.997647,15431794.556097,0.036652,0.035997,2.003435,0.325510
1749513600,2.320170,2.326990,2.261350,2.307570,6246112.692416,14413342.265638,0.016157,0.016028,2.063685,0.325689
1749427200,2.267480,2.330100,2.223920,2.321780,5995962.917486,13921306.782560,0.006158,0.006139,2.124741,0.325579
1749340800,2.178120,2.296460,2.168180,2.267720,5151963.484857,11683210.633879,-0.023284,-0.023559,2.183338,0.325877
1749254400,2.161030,2.192110,2.149130,2.178080,2601790.898549,5666908.720311,-0.039529,-0.040331,2.181026,0.025762
1749168000,2.094970,2.192210,2.083140,2.161770,8696043.364316,18798845.663676,-0.007488,-0.007516,2.177824,0.025790
1749081600,2.201300,2.227490,2.059380,2.094860,11352557.375584,23782018.343815,-0.030951,-0.031441,2.173165,0.026377
1748995200,2.246720,2.266600,2.196690,2.202280,6633488.990756,14608800.134561,0.051278,0.050006,2.173828,0.028450
1748908800,2.197980,2.283780,2.185630,2.245850,8280821.254772,18597482.415030,0.019784,0.019591,2.178123,0.028352
1748822400,2.180220,2.205420,2.137030,2.197410,5458744.420703,11995099.577496,-0.021569,-0.021805,2.181923,0.028501
1748736000,2.175160,2.188790,2.124540,2.180450,4050464.236581,8831834.744653,-0.007718,-0.007748,2.181671,0.027505
1748649600,2.140530,2.207120,2.080730,2.173960,5510634.688321,11979899.387023,-0.002976,-0.002981,2.180966,0.027510
1748563200,2.243750,2.252550,2.131710,2.140910,11003913.243745,23558387.902665,-0.015203,-0.015319,2.180172,0.027535
1748476800,2.275000,2.313160,2.238030,2.244240,7047281.536781,15815791.116106,0.048265,0.047136,2.189579,0.025485
1748390400,2.316940,2.323530,2.227460,2.275100,6976243.912474,15871652.525269,0.013751,0.013657,2.198382,0.025283
1748304000,2.311190,2.354870,2.269130,2.317970,5095066.900323,11810212.222942,0.018843,0.018668,2.206648,0.025018
1748217600,2.344230,2.359720,2.296810,2.311470,5328543.818337,12316769.179771,-0.002804,-0.002808,2.212742,0.024770
1748131200,2.331270,2.345680,2.266790,2.343970,4631922.594519,10857087.603874,0.014060,0.013962,2.219944,0.024872
1748044800,2.296750,2.360040,2.287110,2.331940,2308738.533932,5383839.736818,-0.005132,-0.005146,2.227142,0.024866
1747958400,2.430420,2.479630,2.285040,2.296230,11702440.791853,26871495.619476,-0.015313,-0.015432,2.229593,0.024132
1747872000,2.396450,2.455510,2.387520,2.431260,9430171.074177,22927197.725803,0.058805,0.057141,2.240630,0.025754
1747785600,2.355250,2.429960,2.332000,2.395910,7905595.380251,18941095.027498,-0.014540,-0.014647,2.251278,0.025833
1747699200,2.381210,2.408800,2.315640,2.357460,7163293.830122,16887178.672758,-0.016048,-0.016178,2.259986,0.026189
1747612800,2.429970,2.440640,2.284290,2.380520,9895600.905120,23556675.866657,0.009782,0.009734,2.267900,0.026014
1747526400,2.354050,2.449320,2.333810,2.428910,5647592.508415,13717493.919614,0.020327,0.020124,2.274484,0.025321
1747440000,2.380310,2.389770,2.300000,2.354380,6432707.295608,15145037.402635,-0.030685,-0.031165,2.276435,0.026066
1747353600,2.386570,2.440050,2.347280,2.380310,11361639.028680,27044222.996357,0.011014,0.010953,2.278873,0.026126
1747267200,2.550980,2.571600,2.354210,2.385910,9403903.796445,22436868.106976,0.002353,0.002350,2.283798,0.025593
1747180800,2.583180,2.650100,2.520230,2.551610,8458894.387927,21583799.509179,0.069449,0.067144,2.299362,0.027427
1747094400,2.544550,2.606260,2.421920,2.582930,12447522.557511,32151079.439471,0.012275,0.012200,2.316910,0.027270
1747008000,2.366000,2.658400,2.352720,2.545330,20161142.230686,51316760.154031,-0.014557,-0.014664,2.335680,0.026450
1746921600,2.470660,2.483200,2.328110,2.367490,4637677.769107,10979655.741584,-0.069869,-0.072430,2.342563,0.029330
1746835200,2.344010,2.475760,2.336310,2.471440,5239364.717961,12948775.538557,0.043907,0.042971,2.351963,0.030312
1746748800,2.327010,2.428740,2.286430,2.344000,10800864.089091,25317225.424829,-0.051565,-0.052942,2.358071,0.032002
1746662400,2.127990,2.330610,2.118220,2.326920,14903167.348620,34678478.166851,-0.007287,-0.007313,2.364174,0.031996
1746576000,2.155140,2.171620,2.105030,2.126610,6451006.172382,13718774.236249,-0.086084,-0.090016,2.362201,0.036826
1746489600,2.131240,2.159150,2.077520,2.154330,5922966.778748,12760025.020460,0.013035,0.012951,2.362760,0.036779
1746403200,2.155940,2.200170,2.106700,2.130350,8036078.864637,17119660.609280,-0.011131,-0.011193,2.358015,0.035428
1746316800,2.186770,2.218910,2.151710,2.156510,2458002.575725,5300707.134578,0.012280,0.012205,2.353073,0.035401
1746230400,2.209170,2.220720,2.177560,2.188510,2190981.663644,4794985.280701,0.014839,0.014730,2.347679,0.035310
1746144000,2.213350,2.241010,2.192300,2.210530,7551524.427547,16692871.292826,0.010062,0.010011,2.343473,0.035392
1746057600,2.190880,2.256630,2.187980,2.213370,4384336.947166,9704159.868749,0.001285,0.001284,2.338032,0.035247
1745971200,2.238690,2.259580,2.124680,2.191020,8522018.593888,18671913.179580,-0.010098,-0.010149,2.332160,0.035282
1745884800,2.296030,2.314900,2.222340,2.239010,6944890.255871,15549678.731797,0.021903,0.021667,2.329776,0.035488
1745798400,2.252510,2.362160,2.220200,2.295320,12512057.311040,28719175.387176,0.025150,0.024838,2.324112,0.033664
1745712000,2.192340,2.295760,2.160480,2.253120,6630293.062508,14938845.904999,-0.018385,-0.018556,2.318162,0.033736
1745625600,2.183350,2.249200,2.180680,2.192040,3563471.942725,7811273.037330,-0.027109,-0.027483,2.311270,0.034010
1745539200,2.205950,2.220000,2.165200,2.182800,10234390.569800,22339627.735759,-0.004215,-0.004224,2.303031,0.033911
1745452800,2.218480,2.234090,2.119230,2.205740,12182220.484090,26870811.010576,0.010509,0.010455,2.293732,0.033675
1745366400,2.216570,2.301330,2.190120,2.218820,14065859.982345,31209611.446027,0.005930,0.005912,2.288084,0.033214
