unix,open,high,low,close,Volume UNI,Volume BTC,return,log_return,SMA_24,volatility_24
1736812800,0.000135,0.000135,0.000135,0.000135,0.000000,0.000000,-0.075342,-0.078332,0.000118,0.063527
1736726400,0.000135,0.000135,0.000135,0.000135,22.849680,0.003076,0.000000,0.000000,0.000120,0.063527
1736640000,0.000146,0.000146,0.000146,0.000146,1.373249,0.000200,0.081481,0.078332,0.000122,0.064767
1736553600,0.000146,0.000147,0.000143,0.000147,29.655104,0.004364,0.006849,0.006826,0.000124,0.064507
1736467200,0.000143,0.000143,0.000140,0.000143,113.172057,0.016240,-0.027211,-0.027588,0.000126,0.064162
1736380800,0.000140,0.000140,0.000136,0.000136,10.375647,0.001416,-0.048951,-0.050190,0.000128,0.060979
1736294400,0.000142,0.000142,0.000136,0.000138,113.264028,0.015669,0.014706,0.014599,0.000129,0.045581
1736208000,0.000144,0.000144,0.000140,0.000140,467.347476,0.065489,0.014493,0.014389,0.000130,0.041432
1736121600,0.000155,0.000155,0.000150,0.000150,11.678895,0.001758,0.071429,0.068993,0.000131,0.041047
1736035200,0.000154,0.000154,0.000154,0.000154,7.099810,0.001091,0.026667,0.026317,0.000133,0.041140
1735948800,0.000156,0.000156,0.000145,0.000150,1176.072927,0.176999,-0.025974,-0.026317,0.000134,0.038266
1735862400,0.000155,0.000155,0.000153,0.000153,985.346292,0.150719,0.020000,0.019803,0.000136,0.038154
1735776000,0.000141,0.000141,0.000141,0.000141,0.000000,0.000000,-0.078431,-0.081678,0.000137,0.041652
1735689600,0.000142,0.000142,0.000141,0.000141,10.937865,0.001546,0.000000,0.000000,0.000139,0.041652
1735603200,0.000142,0.000144,0.000141,0.000141,41.710711,0.005896,0.000000,0.000000,0.000139,0.041047
1735516800,0.000142,0.000143,0.000140,0.000142,55.347269,0.007877,0.007092,0.007067,0.000140,0.041013
1735430400,0.000141,0.000141,0.000134,0.000139,104.637540,0.014585,-0.021127,-0.021353,0.000141,0.041061
1735344000,0.000139,0.000141,0.000139,0.000141,8.823794,0.001242,0.014388,0.014286,0.000142,0.040440
1735257600,0.000143,0.000145,0.000142,0.000145,29.510415,0.004284,0.028369,0.027974,0.000142,0.040470
1735171200,0.000135,0.000138,0.000135,0.000136,62.678072,0.008512,-0.062069,-0.064079,0.000143,0.041814
1735084800,0.000144,0.000144,0.000144,0.000144,16.756279,0.002411,0.058824,0.057158,0.000143,0.043330
1734998400,0.000150,0.000150,0.000148,0.000148,18.000000,0.002668,0.027778,0.027399,0.000143,0.040998
1734912000,0.000143,0.000154,0.000137,0.000154,128.567742,0.019757,0.040541,0.039740,0.000144,0.041742
1734825600,0.000142,0.000147,0.000142,0.000145,2356.579077,0.342599,-0.058442,-0.060219,0.000143,0.043543
1734739200,0.000141,0.000149,0.000136,0.000136,24.126156,0.003287,-0.062069,-0.064079,0.000144,0.042610
1734652800,0.000133,0.000138,0.000123,0.000138,551.445155,0.075951,0.014706,0.014599,0.000144,0.042698
1734566400,0.000145,0.000145,0.000132,0.000132,888.455854,0.117161,-0.043478,-0.044452,0.000143,0.040098
1734480000,0.000156,0.000160,0.000148,0.000149,129.739608,0.019312,0.128788,0.121144,0.000143,0.048334
1734393600,0.000149,0.000151,0.000149,0.000151,17.230378,0.002600,0.013423,0.013334,0.000143,0.047989
1734307200,0.000157,0.000157,0.000157,0.000157,9.901970,0.001550,0.039735,0.038966,0.000144,0.047194
1734220800,0.000159,0.000159,0.000159,0.000159,12.548626,0.002000,0.012739,0.012658,0.000145,0.047182
1734134400,0.000168,0.000170,0.000165,0.000165,8.904507,0.001473,0.037736,0.037041,0.000146,0.047580
1734048000,0.000172,0.000176,0.000162,0.000171,166.356647,0.028509,0.036364,0.035718,0.000147,0.046059
1733961600,0.000173,0.000186,0.000173,0.000183,255.486309,0.046713,0.070175,0.067823,0.000148,0.047715
1733875200,0.000160,0.000170,0.000160,0.000169,33.745688,0.005705,-0.076503,-0.079587,0.000149,0.050336
1733788800,0.000169,0.000169,0.000152,0.000156,419.323030,0.065515,-0.076923,-0.080043,0.000149,0.052997
1733702400,0.000190,0.000190,0.000150,0.000155,1146.014301,0.177185,-0.006410,-0.006431,0.000150,0.050201
1733616000,0.000180,0.000192,0.000179,0.000185,1660.700504,0.307495,0.193548,0.176931,0.000152,0.063201
1733529600,0.000177,0.000184,0.000172,0.000172,120.622921,0.020758,-0.070270,-0.072861,0.000153,0.065428
1733443200,0.000161,0.000178,0.000156,0.000176,463.782289,0.081816,0.023256,0.022990,0.000154,0.065477
1733356800,0.000152,0.000165,0.000142,0.000153,223.777831,0.034162,-0.130682,-0.140046,0.000155,0.071365
