unix,open,high,low,close,Volume UNI,Volume USD
1751241600,7.409140,7.419350,7.389570,7.395460,1693.470509,12523.993409
1751238000,7.461420,7.496780,7.394620,7.404410,4257.403712,31523.562618
1751234400,7.242820,7.489060,7.242820,7.459320,12896.661947,96200.328395
1751230800,7.191750,7.225690,7.169960,7.225680,1779.170980,12855.720168
1751227200,7.192820,7.208630,7.190840,7.208630,1621.458500,11688.494387
1751223600,7.228480,7.228480,7.187970,7.200690,4537.733960,32674.815548
1751220000,7.222450,7.251840,7.196440,7.235350,2074.222967,15007.729141
1751216400,7.225770,7.228310,7.186920,7.225740,632.544530,4570.602314
1751212800,7.145940,7.233030,7.128400,7.230570,2625.097850,18980.953762
1751209200,7.156460,7.188020,7.156460,7.168580,1443.319968,10346.554653
1751205600,7.167780,7.182420,7.131010,7.146530,1453.217000,10385.458887
1751202000,7.260010,7.260010,7.166310,7.167910,7416.578424,53161.366648
1751198400,7.280540,7.292880,7.232030,7.260560,3720.433417,27012.430049
1751194800,7.246130,7.272460,7.202070,7.272270,4042.211204,29396.051274
1751191200,7.221860,7.291230,7.206970,7.255240,7193.060610,52187.381064
1751187600,7.062460,7.309600,7.062460,7.227060,11608.777257,83897.329765
1751184000,7.033080,7.072410,7.033080,7.070880,1451.095355,10260.521121
1751180400,7.047010,7.047010,7.021490,7.021490,20.710200,145.416462
1751176800,7.011100,7.025450,7.003000,7.025450,85.499200,600.670355
1751173200,6.980690,7.008360,6.961320,7.007300,3147.036706,22052.230311
1751169600,6.984410,6.994650,6.964350,6.964350,872.121850,6073.761803
1751166000,6.998540,7.005280,6.984400,6.987640,6327.322248,44213.050036
1751162400,7.013790,7.026500,6.999360,6.999360,791.733971,5541.631090
1751158800,7.106820,7.106820,6.997640,7.007110,3436.916864,24082.854524
1751155200,7.134000,7.135000,7.130320,7.130320,204.987898,1461.629309
1751151600,7.158430,7.158430,7.131910,7.131910,3.853700,27.484242
1751148000,7.143240,7.172000,7.134810,7.166300,700.092928,5017.075948
1751144400,7.125960,7.143150,7.121780,7.143150,2803.990068,20029.321654
1751140800,7.106570,7.121150,7.093490,7.121150,4788.719706,34101.191332
1751137200,7.129520,7.129520,7.093560,7.100420,4422.853095,31404.114573
1751133600,7.140580,7.156160,7.124850,7.130680,1981.486402,14129.345460
1751130000,7.088210,7.176110,7.088210,7.176110,1664.513016,11944.728496
1751126400,7.098070,7.147600,7.098070,7.107640,1789.289485,12717.625512
1751122800,7.022930,7.085290,7.010800,7.085290,2496.415600,17687.828487
1751119200,7.002090,7.030250,7.002090,7.015530,293.620086,2059.900518
1751115600,7.050810,7.071840,7.003770,7.003770,795.940261,5574.582522
1751112000,7.013360,7.031910,6.997410,7.029650,1278.061741,8984.326718
1751108400,7.007910,7.007910,7.007910,7.007910,0.000000,0.000000
1751104800,7.007910,7.007910,7.007910,7.007910,0.000000,0.000000
1751101200,6.984170,7.019860,6.984170,7.007910,3851.000000,26987.461410
1751097600,6.965300,6.997970,6.929030,6.947480,1166.735673,8105.872753
1751094000,6.921890,6.963530,6.921890,6.962020,683.124400,4755.925735
1751090400,6.866170,6.885280,6.866170,6.885280,82.646800,569.046359
1751086800,6.865170,6.865170,6.865170,6.865170,1.000000,6.865170
1751083200,6.866130,6.871160,6.855000,6.856240,3835.156368,26294.752500
1751079600,6.887870,6.889570,6.875310,6.882670,1172.411000,8069.318017
1751076000,6.897550,6.920730,6.877500,6.916570,2032.263439,14056.292333
1751072400,6.866660,6.898740,6.838420,6.898740,2343.708161,16168.633238
1751068800,6.915490,6.915810,6.864140,6.867690,419.919993,2883.880339
1751065200,6.916110,6.917780,6.898640,6.917650,464.624641,3214.110651
1751061600,6.920210,6.930870,6.914990,6.916020,200.394131,1385.929821
1751058000,6.943140,6.956520,6.911910,6.915310,3196.566769,22105.250145
1751054400,6.905100,6.952010,6.904370,6.933730,8935.589022,61956.961668
1751050800,6.840100,6.918450,6.840100,6.918080,12620.894071,87312.354856
1751047200,6.846440,6.861470,6.786210,6.792090,16324.399263,110876.788993
1751043600,6.934520,6.934520,6.819780,6.846440,22849.070842,156434.792579
1751040000,6.934880,6.980990,6.909130,6.932270,3116.283693,21602.919957
1751036400,6.830790,6.946450,6.830610,6.943590,434.685873,3018.280482
1751032800,6.834080,6.871200,6.797390,6.820740,5335.948129,36395.114839
1751029200,6.796150,6.820340,6.796150,6.800560,577.155000,3924.977207
1751025600,6.865630,6.865630,6.828400,6.828400,264.587934,1806.712251
1751022000,6.869980,6.869980,6.869980,6.869980,113.400000,779.055732
1751018400,6.916190,6.941610,6.916190,6.922340,2417.592339,16735.396151
1751014800,6.900210,6.953780,6.900210,6.949420,22.564503,156.810211
