unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1751328000,2025-07-01 00:00:00,UNI/USD,7.132410,7.132410,7.132410,7.132410,0.123300,0.879426
1751241600,2025-06-30 00:00:00,UNI/USD,7.409140,7.454180,7.054050,7.130850,123560.262648,881089.698903
1751155200,2025-06-29 00:00:00,UNI/USD,7.134000,7.496780,6.961320,7.404410,83639.316617,619299.792355
1751068800,2025-06-28 00:00:00,UNI/USD,6.915490,7.176110,6.838420,7.131910,38606.801921,275340.236689
1750982400,2025-06-27 00:00:00,UNI/USD,6.781570,6.980990,6.770650,6.917650,80480.058906,556732.879489
1750896000,2025-06-26 00:00:00,UNI/USD,6.984820,7.296380,6.736800,6.808690,128018.578620,871638.816065
1750809600,2025-06-25 00:00:00,UNI/USD,7.058530,7.368100,6.850000,6.982360,141381.872624,987179.132136
1750723200,2025-06-24 00:00:00,UNI/USD,6.781100,7.150410,6.736790,7.021040,56068.074549,393656.194128
1750636800,2025-06-23 00:00:00,UNI/USD,6.251780,6.924680,6.030000,6.844450,80484.119334,550869.530578
1750550400,2025-06-22 00:00:00,UNI/USD,6.478870,6.609200,5.949110,6.257250,48863.068489,305748.435304
1750464000,2025-06-21 00:00:00,UNI/USD,7.053570,7.093980,6.345260,6.460350,55469.146634,358350.101460
1750377600,2025-06-20 00:00:00,UNI/USD,7.699730,7.979240,7.002890,7.100260,164476.024987,1167822.541173
1750291200,2025-06-19 00:00:00,UNI/USD,7.603850,7.922580,7.475650,7.687690,37019.815220,284596.863271
1750204800,2025-06-18 00:00:00,UNI/USD,7.408400,7.790810,7.137220,7.539300,51886.997362,391191.639209
1750118400,2025-06-17 00:00:00,UNI/USD,7.431370,7.843980,7.281900,7.449890,82543.679187,614941.330141
1750032000,2025-06-16 00:00:00,UNI/USD,7.156360,7.954090,7.042850,7.437640,199655.166619,1484963.253451
1749945600,2025-06-15 00:00:00,UNI/USD,7.304330,7.430020,7.000000,7.184990,13435.868296,96536.579350
1749859200,2025-06-14 00:00:00,UNI/USD,7.739920,7.739920,7.125400,7.298090,24871.217216,181512.381652
1749772800,2025-06-13 00:00:00,UNI/USD,7.350000,7.770470,6.808390,7.770470,108123.513190,840170.515538
1749686400,2025-06-12 00:00:00,UNI/USD,8.196500,8.232150,7.515390,7.515390,88319.090499,663752.409548
1749600000,2025-06-11 00:00:00,UNI/USD,8.643170,8.649950,7.960730,8.138930,103395.597241,841529.528250
