unix,date,symbol,open,high,low,close,Volume UNI,Volume USD
1751270400,2025-06-30 08:00:00,UNI/USD,7.296800,7.296800,7.227300,7.227300,40.992149,296.262558
1751266800,2025-06-30 07:00:00,UNI/USD,7.198500,7.299500,7.198500,7.296800,40.204135,293.361532
1751263200,2025-06-30 06:00:00,UNI/USD,7.356600,7.360800,7.198500,7.198500,163.519850,1177.097640
1751259600,2025-06-30 05:00:00,UNI/USD,7.301800,7.362900,7.301800,7.356600,52.760200,388.135687
1751256000,2025-06-30 04:00:00,UNI/USD,7.279300,7.301800,7.279300,7.301800,36.370000,265.566466
1751252400,2025-06-30 03:00:00,UNI/USD,7.285100,7.305100,7.270400,7.279300,60.473644,440.205797
1751248800,2025-06-30 02:00:00,UNI/USD,7.342700,7.342700,7.285100,7.285100,278.157527,2026.405400
1751245200,2025-06-30 01:00:00,UNI/USD,7.372600,7.407200,7.336300,7.342700,205.403708,1508.217807
1751241600,2025-06-30 00:00:00,UNI/USD,7.394300,7.456700,7.363200,7.372600,1688.197627,12446.405825
1751238000,2025-06-29 23:00:00,UNI/USD,7.458500,7.500200,7.394300,7.394300,102.609131,758.722697
1751234400,2025-06-29 22:00:00,UNI/USD,7.238400,7.500200,7.238400,7.458500,1020.553921,7611.801420
1751230800,2025-06-29 21:00:00,UNI/USD,7.208200,7.241500,7.163500,7.238400,65.781545,476.153135
1751227200,2025-06-29 20:00:00,UNI/USD,7.224800,7.224800,7.192100,7.208200,179.200971,1291.716439
1751223600,2025-06-29 19:00:00,UNI/USD,7.230100,7.230100,7.207600,7.224800,49.113306,354.833813
1751220000,2025-06-29 18:00:00,UNI/USD,7.224500,7.230100,7.209600,7.230100,65.336368,472.388474
1751216400,2025-06-29 17:00:00,UNI/USD,7.227900,7.241500,7.224500,7.224500,16.444872,118.805978
1751212800,2025-06-29 16:00:00,UNI/USD,7.152000,7.227900,7.131100,7.227900,346.660437,2505.626973
1751209200,2025-06-29 15:00:00,UNI/USD,7.138000,7.194600,7.138000,7.152000,18.210240,130.239636
1751205600,2025-06-29 14:00:00,UNI/USD,7.170100,7.170100,7.130000,7.138000,43.237988,308.632758
1751202000,2025-06-29 13:00:00,UNI/USD,7.232900,7.260200,7.166300,7.170100,495.934842,3555.902411
