unix,open,high,low,close,Volume UNI,Volume USD
1751155200,7.143900,7.500200,6.970400,7.394300,6676.386266,49367.202967
1751068800,6.906300,7.166300,6.842600,7.143900,4997.293169,35700.162670
1750982400,6.806500,6.993400,6.736100,6.906300,5982.573144,41317.444904
1750896000,6.989900,7.316100,6.748400,6.806500,7808.228274,53146.705747
1750809600,7.051600,7.360000,6.874200,6.989900,8579.309410,59968.514845
1750723200,6.816300,7.166300,6.780700,7.051600,11003.993973,77595.763900
1750636800,6.285900,6.917100,6.064500,6.816300,22680.948901,154600.151994
1750550400,6.468900,6.609600,5.950000,6.285900,14222.899898,89403.726469
1750464000,7.096300,7.129200,6.220400,6.468900,16402.166380,106103.974096
1750377600,7.675600,7.977400,7.000000,7.096300,19001.313651,134839.022062
1750291200,7.574100,7.952000,7.479100,7.675600,25764.315482,197756.579914
1750204800,7.437100,7.790000,7.133300,7.574100,12829.383714,97171.035188
1750118400,7.430700,7.857600,7.266400,7.437100,31652.311669,235401.407114
1750032000,7.194600,7.975200,7.040500,7.430700,23725.758406,176298.992987
1749945600,7.300800,7.475800,6.977300,7.194600,6597.170879,47464.005606
1749859200,7.767900,7.767900,7.118200,7.300800,4562.543189,33310.215314
1749772800,7.504000,7.767900,6.795000,7.767900,21032.999089,163382.233623
1749686400,8.153600,8.228500,7.504000,7.504000,16340.879983,122621.963392
1749600000,8.670000,8.670000,7.964400,8.153600,21753.137392,177366.381039
1749513600,6.854400,8.670000,6.854400,8.670000,70386.482574,610250.803917
1749427200,6.315600,6.869900,6.204700,6.854400,8804.793783,60351.578506
1749340800,6.350000,6.461000,6.209600,6.315600,3171.111271,20027.470343
1749254400,6.008800,6.413700,5.985500,6.350000,8116.377163,51538.994985
1749168000,5.901700,6.157200,5.833900,6.008800,5529.947295,33228.347306
1749081600,6.348600,6.469700,5.810200,5.901700,11459.440823,67630.181905
1748995200,6.624800,6.839800,6.265400,6.348600,9450.529002,59997.628422
1748908800,6.470100,7.078400,6.295800,6.624800,14139.652844,93672.372161
1748822400,6.296300,6.470100,6.035700,6.470100,12181.604398,78816.198615
1748736000,6.048000,6.379900,5.888700,6.296300,20128.380466,126734.321928
1748649600,6.206200,6.206200,5.900000,6.048000,14826.692626,89671.837002
