unix,open,high,low,close,Volume UNI,Volume USD,return,log_return,SMA_24,volatility_24
1751155200,7.143900,7.500200,6.970400,7.394300,6676.386266,49367.202967,-0.321624,-0.388053,10.222537,0.082301
1751068800,6.906300,7.166300,6.842600,7.143900,4997.293169,35700.162670,-0.033864,-0.034451,10.124324,0.082310
1750982400,6.806500,6.993400,6.736100,6.906300,5982.573144,41317.444904,-0.033259,-0.033825,10.020263,0.082471
1750896000,6.989900,7.316100,6.748400,6.806500,7808.228274,53146.705747,-0.014451,-0.014556,9.916189,0.082478
1750809600,7.051600,7.360000,6.874200,6.989900,8579.309410,59968.514845,0.026945,0.026588,9.806464,0.082323
1750723200,6.816300,7.166300,6.780700,7.051600,11003.993973,77595.763900,0.008827,0.008788,9.693926,0.082273
1750636800,6.285900,6.917100,6.064500,6.816300,22680.948901,154600.151994,-0.033368,-0.033938,9.582945,0.082333
1750550400,6.468900,6.609600,5.950000,6.285900,14222.899898,89403.726469,-0.077813,-0.081008,9.442102,0.083212
1750464000,7.096300,7.129200,6.220400,6.468900,16402.166380,106103.974096,0.029113,0.028697,9.323081,0.083532
1750377600,7.675600,7.977400,7.000000,7.096300,19001.313651,134839.022062,0.096987,0.092567,9.245296,0.086142
1750291200,7.574100,7.952000,7.479100,7.675600,25764.315482,197756.579914,0.081634,0.078473,9.150137,0.084599
1750204800,7.437100,7.790000,7.133300,7.574100,12829.383714,97171.035188,-0.013224,-0.013312,9.046294,0.084524
1750118400,7.430700,7.857600,7.266400,7.437100,31652.311669,235401.407114,-0.018088,-0.018254,8.955361,0.084200
1750032000,7.194600,7.975200,7.040500,7.430700,23725.758406,176298.992987,-0.000861,-0.000861,8.828873,0.081770
1749945600,7.300800,7.475800,6.977300,7.194600,6597.170879,47464.005606,-0.031774,-0.032289,8.713918,0.081491
1749859200,7.767900,7.767900,7.118200,7.300800,4562.543189,33310.215314,0.014761,0.014653,8.554368,0.077047
1749772800,7.504000,7.767900,6.795000,7.767900,21032.999089,163382.233623,0.063979,0.062016,8.396780,0.077994
1749686400,8.153600,8.228500,7.504000,7.504000,16340.879983,122621.963392,-0.033973,-0.034564,8.216322,0.077682
1749600000,8.670000,8.670000,7.964400,8.153600,21753.137392,177366.381039,0.086567,0.083023,8.069900,0.080423
1749513600,6.854400,8.670000,6.854400,8.670000,70386.482574,610250.803917,0.063334,0.061409,7.947600,0.081849
1749427200,6.315600,6.869900,6.204700,6.854400,8804.793783,60351.578506,-0.209412,-0.234978,7.764033,0.091537
1749340800,6.350000,6.461000,6.209600,6.315600,3171.111271,20027.470343,-0.078606,-0.081868,7.536350,0.091408
1749254400,6.008800,6.413700,5.985500,6.350000,8116.377163,51538.994985,0.005447,0.005432,7.337013,0.091266
1749168000,5.901700,6.157200,5.833900,6.008800,5529.947295,33228.347306,-0.053732,-0.055230,7.133212,0.091549
1749081600,6.348600,6.469700,5.810200,5.901700,11459.440823,67630.181905,-0.017824,-0.017985,7.071021,0.065229
1748995200,6.624800,6.839800,6.265400,6.348600,9450.529002,59997.628422,0.075724,0.072994,7.037883,0.067090
