unix,date,symbol,open,high,low,close,Volume XRP,Volume BTC
1751328000,2025-07-01 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,0.000000,0.000000
1751241600,2025-06-30 00:00:00,XRP/BTC,0.000020,0.000022,0.000020,0.000021,534064.605749,11.172632
1751155200,2025-06-29 00:00:00,XRP/BTC,0.000020,0.000021,0.000020,0.000020,130617.094440,2.659364
1751068800,2025-06-28 00:00:00,XRP/BTC,0.000020,0.000021,0.000020,0.000020,296948.317331,6.048837
1750982400,2025-06-27 00:00:00,XRP/BTC,0.000020,0.000020,0.000019,0.000020,375428.981480,7.508580
1750896000,2025-06-26 00:00:00,XRP/BTC,0.000020,0.000020,0.000020,0.000020,484479.114120,9.534549
1750809600,2025-06-25 00:00:00,XRP/BTC,0.000021,0.000021,0.000020,0.000020,281110.569006,5.726222
1750723200,2025-06-24 00:00:00,XRP/BTC,0.000020,0.000021,0.000020,0.000021,754498.227836,15.572843
1750636800,2025-06-23 00:00:00,XRP/BTC,0.000020,0.000021,0.000020,0.000020,406224.528393,8.323541
1750550400,2025-06-22 00:00:00,XRP/BTC,0.000020,0.000020,0.000019,0.000020,420530.125511,8.385371
1750464000,2025-06-21 00:00:00,XRP/BTC,0.000021,0.000021,0.000020,0.000020,330978.465089,6.682455
1750377600,2025-06-20 00:00:00,XRP/BTC,0.000021,0.000021,0.000020,0.000021,351640.071417,7.219171
1750291200,2025-06-19 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,116683.124821,2.414174
1750204800,2025-06-18 00:00:00,XRP/BTC,0.000021,0.000021,0.000020,0.000021,289063.965394,5.989405
1750118400,2025-06-17 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,304722.213798,6.304703
1750032000,2025-06-16 00:00:00,XRP/BTC,0.000020,0.000022,0.000020,0.000021,475455.926649,9.960802
1749945600,2025-06-15 00:00:00,XRP/BTC,0.000020,0.000021,0.000020,0.000021,67172.030424,1.381057
1749859200,2025-06-14 00:00:00,XRP/BTC,0.000020,0.000021,0.000020,0.000020,131402.643407,2.671416
1749772800,2025-06-13 00:00:00,XRP/BTC,0.000021,0.000021,0.000020,0.000020,313057.582579,6.345677
1749686400,2025-06-12 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,202680.966071,4.197523
1749600000,2025-06-11 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,196007.709846,4.092641
1749513600,2025-06-10 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,172016.898392,3.619236
1749427200,2025-06-09 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,199438.879692,4.196194
1749340800,2025-06-08 00:00:00,XRP/BTC,0.000021,0.000022,0.000021,0.000021,264766.812772,5.673953
1749254400,2025-06-07 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,139310.552396,2.871190
1749168000,2025-06-06 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,219522.876903,4.546319
1749081600,2025-06-05 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,168004.299141,3.467609
1748995200,2025-06-04 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,179572.328904,3.771019
1748908800,2025-06-03 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,246546.165944,5.251433
1748822400,2025-06-02 00:00:00,XRP/BTC,0.000021,0.000021,0.000021,0.000021,122407.496681,2.537507
1748736000,2025-06-01 00:00:00,XRP/BTC,0.000021,0.000021,0.000020,0.000021,113318.740743,2.338899
1748649600,2025-05-31 00:00:00,XRP/BTC,0.000021,0.000021,0.000020,0.000021,280839.305809,5.852691
1748563200,2025-05-30 00:00:00,XRP/BTC,0.000021,0.000021,0.000020,0.000021,323880.424308,6.668698
