unix,open,high,low,close,Volume XRP,Volume BTC,return,log_return,SMA_24,volatility_24
1736812800,0.000027,0.000028,0.000026,0.000028,440876.134961,12.194634,-0.096774,-0.101783,0.000029,0.043355
1736726400,0.000027,0.000027,0.000026,0.000027,912890.901060,24.365058,-0.035714,-0.036368,0.000029,0.043167
1736640000,0.000027,0.000027,0.000026,0.000027,285103.626007,7.555246,0.000000,0.000000,0.000029,0.042495
1736553600,0.000025,0.000028,0.000025,0.000027,799299.973435,21.764938,0.000000,0.000000,0.000029,0.041803
1736467200,0.000025,0.000025,0.000024,0.000025,376488.034234,9.310549,-0.074074,-0.076961,0.000029,0.043844
1736380800,0.000025,0.000025,0.000024,0.000025,382963.804623,9.424739,0.000000,0.000000,0.000029,0.043215
1736294400,0.000024,0.000025,0.000023,0.000025,864756.470237,21.601617,0.000000,0.000000,0.000029,0.035456
1736208000,0.000024,0.000024,0.000023,0.000023,724956.024807,16.992969,-0.080000,-0.083382,0.000029,0.037479
1736121600,0.000024,0.000025,0.000024,0.000024,236553.503030,5.592125,0.043478,0.042560,0.000029,0.039019
1736035200,0.000025,0.000025,0.000024,0.000024,179360.137432,4.376387,0.000000,0.000000,0.000028,0.039019
1735948800,0.000025,0.000026,0.000025,0.000025,326252.568443,8.038863,0.041667,0.040822,0.000028,0.040319
1735862400,0.000025,0.000025,0.000025,0.000025,1146785.888136,28.669647,0.000000,0.000000,0.000028,0.040319
1735776000,0.000025,0.000026,0.000024,0.000025,731354.137660,18.181464,0.000000,0.000000,0.000028,0.039937
1735689600,0.000022,0.000025,0.000022,0.000025,694041.012103,17.094230,0.000000,0.000000,0.000028,0.039051
1735603200,0.000022,0.000022,0.000022,0.000022,280726.501156,6.251779,-0.120000,-0.127833,0.000027,0.045319
1735516800,0.000022,0.000023,0.000022,0.000022,496670.723202,11.031057,0.000000,0.000000,0.000027,0.045319
1735430400,0.000023,0.000023,0.000022,0.000022,269813.732272,6.024941,0.000000,0.000000,0.000026,0.044376
1735344000,0.000023,0.000023,0.000023,0.000023,122584.027892,2.804723,0.045455,0.044452,0.000026,0.045739
1735257600,0.000023,0.000023,0.000022,0.000023,384686.491057,8.755465,0.000000,0.000000,0.000026,0.045739
1735171200,0.000023,0.000023,0.000022,0.000023,445672.846271,10.041009,0.000000,0.000000,0.000026,0.045505
1735084800,0.000024,0.000024,0.000023,0.000023,187275.543916,4.326065,0.000000,0.000000,0.000025,0.042471
1734998400,0.000024,0.000024,0.000023,0.000024,386351.907506,9.114041,0.043478,0.042560,0.000025,0.043031
1734912000,0.000023,0.000024,0.000023,0.000024,384077.066733,9.156397,0.000000,0.000000,0.000025,0.043031
1734825600,0.000023,0.000024,0.000023,0.000023,264198.513051,6.100344,-0.041667,-0.042560,0.000024,0.043296
1734739200,0.000023,0.000024,0.000023,0.000023,609441.521934,14.029344,0.000000,0.000000,0.000024,0.039326
1734652800,0.000023,0.000024,0.000021,0.000023,1777144.185637,41.425231,0.000000,0.000000,0.000024,0.038881
1734566400,0.000023,0.000024,0.000022,0.000023,1590245.123712,36.512028,0.000000,0.000000,0.000024,0.038881
1734480000,0.000024,0.000025,0.000022,0.000023,2220745.637912,50.988320,0.000000,0.000000,0.000024,0.038881
1734393600,0.000023,0.000025,0.000023,0.000024,2136637.113113,51.642519,0.043478,0.042560,0.000024,0.037292
1734307200,0.000023,0.000024,0.000022,0.000023,2341842.846716,54.892796,-0.041667,-0.042560,0.000023,0.038202
1734220800,0.000024,0.000024,0.000023,0.000023,579095.665884,13.574002,0.000000,0.000000,0.000023,0.038202
1734134400,0.000024,0.000025,0.000023,0.000024,552071.449777,13.067531,0.043478,0.042560,0.000023,0.035568
1734048000,0.000023,0.000024,0.000023,0.000024,1029528.681156,24.554259,0.000000,0.000000,0.000023,0.034476
1733961600,0.000024,0.000025,0.000023,0.000023,1303414.639827,30.486868,-0.041667,-0.042560,0.000023,0.035539
1733875200,0.000025,0.000025,0.000023,0.000024,1414137.919032,33.529210,0.043478,0.042560,0.000023,0.035636
1733788800,0.000023,0.000025,0.000020,0.000024,13152040.627815,322.224995,0.000000,0.000000,0.000023,0.035636
1733702400,0.000026,0.000026,0.000021,0.000023,6523651.058771,148.608771,-0.041667,-0.042560,0.000023,0.036584
1733616000,0.000026,0.000027,0.000025,0.000026,1815799.265209,46.774989,0.130435,0.122602,0.000023,0.045597
1733529600,0.000024,0.000026,0.000024,0.000026,2340670.125773,61.231930,0.000000,0.000000,0.000023,0.037409
1733443200,0.000023,0.000025,0.000023,0.000024,5925139.190115,144.099385,-0.076923,-0.080043,0.000024,0.041195
1733356800,0.000024,0.000024,0.000022,0.000023,13697974.473541,317.245089,-0.041667,-0.042560,0.000024,0.042254
1733270400,0.000026,0.000028,0.000023,0.000024,6018781.466208,144.029440,0.043478,0.042560,0.000024,0.042169
1733184000,0.000028,0.000031,0.000024,0.000026,8315772.664431,217.873244,0.083333,0.080043,0.000024,0.045263
1733097600,0.000024,0.000030,0.000023,0.000028,6142395.541843,174.382609,0.076923,0.074108,0.000024,0.047483
1733011200,0.000020,0.000024,0.000019,0.000024,2772434.041454,65.900757,-0.142857,-0.154151,0.000024,0.056747
1732924800,0.000018,0.000020,0.000018,0.000020,2796927.564202,56.525906,-0.166667,-0.182322,0.000024,0.065778
1732838400,0.000016,0.000019,0.000016,0.000018,1828210.969333,33.748774,-0.100000,-0.105361,0.000024,0.068529
1732752000,0.000015,0.000016,0.000015,0.000016,685791.358091,11.054957,-0.111111,-0.117783,0.000023,0.071350
1732665600,0.000015,0.000016,0.000015,0.000015,877426.230708,13.468493,-0.062500,-0.064539,0.000023,0.072012
1732579200,0.000015,0.000016,0.000014,0.000015,970177.268669,14.766098,0.000000,0.000000,0.000023,0.072012
1732492800,0.000015,0.000016,0.000014,0.000015,948714.173802,14.391994,0.000000,0.000000,0.000022,0.072012
1732406400,0.000015,0.000015,0.000013,0.000015,2442712.471374,35.761311,0.000000,0.000000,0.000022,0.072012
1732320000,0.000015,0.000017,0.000015,0.000015,2414938.048249,36.393116,0.000000,0.000000,0.000022,0.071015
1732233600,0.000013,0.000015,0.000013,0.000015,3437389.587676,51.045235,0.000000,0.000000,0.000021,0.070892
1732147200,0.000012,0.000013,0.000011,0.000013,2545276.844726,32.223205,-0.133333,-0.143101,0.000021,0.074770
1732060800,0.000012,0.000012,0.000011,0.000012,958264.335692,11.221275,-0.076923,-0.080043,0.000020,0.074314
1731974400,0.000012,0.000013,0.000012,0.000012,1188122.344354,14.186181,0.000000,0.000000,0.000020,0.074314
1731888000,0.000012,0.000013,0.000012,0.000012,1549616.116716,19.122263,0.000000,0.000000,0.000019,0.074412
1731801600,0.000012,0.000013,0.000011,0.000012,2333405.662184,27.347514,0.000000,0.000000,0.000019,0.073217
1731715200,0.000010,0.000014,0.000010,0.000012,5503557.288456,67.968933,0.000000,0.000000,0.000018,0.073217
1731628800,0.000009,0.000010,0.000009,0.000010,2613156.220846,25.582799,-0.166667,-0.182322,0.000018,0.078639
1731542400,0.000008,0.000010,0.000008,0.000009,2546825.252296,22.539403,-0.100000,-0.105361,0.000017,0.071843
1731456000,0.000008,0.000008,0.000007,0.000008,2068622.233842,15.783588,-0.111111,-0.117783,0.000016,0.072687
1731369600,0.000007,0.000008,0.000007,0.000008,4756429.774555,38.051438,0.000000,0.000000,0.000016,0.072925
1731283200,0.000007,0.000007,0.000007,0.000007,1502605.532905,10.518239,-0.125000,-0.133531,0.000015,0.074864
1731196800,0.000007,0.000008,0.000007,0.000007,1744306.047065,12.768320,0.000000,0.000000,0.000014,0.073123
1731110400,0.000007,0.000008,0.000007,0.000007,427228.333711,3.114495,0.000000,0.000000,0.000014,0.068480
1731024000,0.000007,0.000007,0.000007,0.000007,797190.577268,5.771660,0.000000,0.000000,0.000013,0.063888
1730937600,0.000007,0.000008,0.000007,0.000007,850380.010226,6.224782,0.000000,0.000000,0.000012,0.061873
1730851200,0.000007,0.000007,0.000007,0.000007,975103.298111,6.991491,0.000000,0.000000,0.000011,0.057155
1730764800,0.000007,0.000008,0.000007,0.000007,328531.631343,2.434419,0.000000,0.000000,0.000011,0.056314
1730678400,0.000007,0.000008,0.000007,0.000007,208366.097398,1.546076,0.000000,0.000000,0.000011,0.054489
1730592000,0.000007,0.000007,0.000007,0.000007,256069.451484,1.871868,0.000000,0.000000,0.000010,0.054477
1730505600,0.000007,0.000007,0.000007,0.000007,75129.276244,0.552951,0.000000,0.000000,0.000010,0.054477
1730419200,0.000007,0.000008,0.000007,0.000007,715016.384517,5.276821,0.000000,0.000000,0.000010,0.054477
1730332800,0.000007,0.000007,0.000007,0.000007,553567.861233,4.007831,0.000000,0.000000,0.000009,0.054477
1730246400,0.000007,0.000007,0.000007,0.000007,370410.738972,2.678070,0.000000,0.000000,0.000009,0.054477
1730160000,0.000007,0.000007,0.000007,0.000007,1947142.332433,14.136253,0.000000,0.000000,0.000009,0.054477
1730073600,0.000008,0.000008,0.000007,0.000007,353604.213009,2.627279,0.000000,0.000000,0.000008,0.050071
1729987200,0.000008,0.000008,0.000008,0.000008,68435.782211,0.520796,0.142857,0.133531,0.000008,0.059256
1729900800,0.000008,0.000008,0.000007,0.000008,85256.596566,0.652213,0.000000,0.000000,0.000008,0.059256
1729814400,0.000008,0.000008,0.000007,0.000008,275779.463689,2.073862,0.000000,0.000000,0.000008,0.059256
1729728000,0.000008,0.000008,0.000008,0.000008,89947.535430,0.701591,0.000000,0.000000,0.000008,0.059256
1729641600,0.000008,0.000008,0.000008,0.000008,294524.738513,2.323800,0.000000,0.000000,0.000008,0.059256
1729555200,0.000008,0.000008,0.000008,0.000008,302272.772791,2.394000,0.000000,0.000000,0.000007,0.049705
1729468800,0.000008,0.000008,0.000008,0.000008,572547.273674,4.626182,0.000000,0.000000,0.000007,0.045691
1729382400,0.000008,0.000008,0.000008,0.000008,172708.706490,1.371307,0.000000,0.000000,0.000007,0.039574
1729296000,0.000008,0.000008,0.000008,0.000008,95885.971383,0.764211,0.000000,0.000000,0.000007,0.039574
1729209600,0.000008,0.000008,0.000008,0.000008,733716.576335,5.862395,0.000000,0.000000,0.000007,0.029161
1729123200,0.000008,0.000008,0.000008,0.000008,1131983.937192,9.157750,0.000000,0.000000,0.000007,0.029161
1729036800,0.000008,0.000008,0.000008,0.000008,766999.195497,6.220363,0.000000,0.000000,0.000008,0.029161
1728950400,0.000008,0.000008,0.000008,0.000008,480575.248727,3.873437,0.000000,0.000000,0.000008,0.029161
1728864000,0.000008,0.000008,0.000008,0.000008,197280.779215,1.637430,0.000000,0.000000,0.000008,0.029161
1728777600,0.000009,0.000009,0.000008,0.000008,80917.166560,0.684559,0.000000,0.000000,0.000008,0.029161
1728691200,0.000009,0.000009,0.000009,0.000009,41946.915069,0.358227,0.125000,0.117783,0.000008,0.037904
1728604800,0.000009,0.000009,0.000009,0.000009,192350.187137,1.665753,0.000000,0.000000,0.000008,0.037904
1728518400,0.000009,0.000009,0.000009,0.000009,501162.487922,4.410230,0.000000,0.000000,0.000008,0.037904
1728432000,0.000009,0.000009,0.000008,0.000009,205701.549049,1.779318,0.000000,0.000000,0.000008,0.037904
1728345600,0.000009,0.000009,0.000008,0.000009,320639.742714,2.738263,0.000000,0.000000,0.000008,0.037904
1728259200,0.000008,0.000009,0.000008,0.000009,747098.282090,6.357806,0.000000,0.000000,0.000008,0.037904
1728172800,0.000009,0.000009,0.000008,0.000008,622194.237445,5.282429,-0.111111,-0.117783,0.000008,0.045375
1728086400,0.000009,0.000009,0.000008,0.000009,886544.959469,7.553363,0.125000,0.117783,0.000008,0.051371
1728000000,0.000009,0.000009,0.000008,0.000009,1025178.050078,8.826783,0.000000,0.000000,0.000008,0.051371
1727913600,0.000009,0.000009,0.000008,0.000009,3018860.024094,25.932008,0.000000,0.000000,0.000008,0.043134
1727827200,0.000010,0.000010,0.000009,0.000009,2424975.171714,21.558029,0.000000,0.000000,0.000008,0.043134
1727740800,0.000010,0.000010,0.000009,0.000010,1236170.728090,12.139197,0.111111,0.105361,0.000008,0.048156
1727654400,0.000010,0.000010,0.000010,0.000010,763233.494565,7.365203,0.000000,0.000000,0.000009,0.048156
1727568000,0.000009,0.000010,0.000009,0.000010,1157254.555549,11.329522,0.000000,0.000000,0.000009,0.048156
1727481600,0.000009,0.000010,0.000009,0.000009,1479528.746714,13.877980,-0.100000,-0.105361,0.000009,0.053163
1727395200,0.000009,0.000009,0.000009,0.000009,362047.883300,3.236708,0.000000,0.000000,0.000009,0.053163
1727308800,0.000009,0.000009,0.000009,0.000009,470025.739918,4.249033,0.000000,0.000000,0.000009,0.053163
1727222400,0.000009,0.000009,0.000009,0.000009,257870.926205,2.385306,0.000000,0.000000,0.000009,0.053163
1727136000,0.000009,0.000009,0.000009,0.000009,349938.747730,3.219436,0.000000,0.000000,0.000009,0.053163
1727049600,0.000009,0.000009,0.000009,0.000009,197560.795634,1.825462,0.000000,0.000000,0.000009,0.053163
1726963200,0.000009,0.000010,0.000009,0.000009,527731.197408,4.870959,0.000000,0.000000,0.000009,0.053163
1726876800,0.000009,0.000010,0.000009,0.000009,773820.473203,7.289389,0.000000,0.000000,0.000009,0.053163
1726790400,0.000009,0.000009,0.000009,0.000009,718395.175865,6.652339,0.000000,0.000000,0.000009,0.053163
1726704000,0.000009,0.000009,0.000009,0.000009,455195.955270,4.242426,0.000000,0.000000,0.000009,0.053163
1726617600,0.000010,0.000010,0.000009,0.000010,491131.763954,4.665752,0.111111,0.105361,0.000009,0.051874
1726531200,0.000010,0.000010,0.000010,0.000010,447512.419072,4.349821,0.000000,0.000000,0.000009,0.051874
1726444800,0.000010,0.000010,0.000010,0.000010,361046.354134,3.632126,0.000000,0.000000,0.000009,0.051874
1726358400,0.000010,0.000010,0.000010,0.000010,234217.193727,2.262538,0.000000,0.000000,0.000009,0.051874
1726272000,0.000009,0.000010,0.000009,0.000010,848455.327127,8.425161,0.000000,0.000000,0.000009,0.051874
1726185600,0.000010,0.000010,0.000009,0.000009,1221972.833872,11.559863,-0.100000,-0.105361,0.000009,0.056186
1726099200,0.000009,0.000010,0.000009,0.000010,1394620.432949,13.513872,0.111111,0.105361,0.000009,0.055121
1726012800,0.000009,0.000009,0.000009,0.000009,518415.789220,4.831635,-0.100000,-0.105361,0.000009,0.053969
1725926400,0.000009,0.000009,0.000009,0.000009,175574.568541,1.646889,0.000000,0.000000,0.000009,0.053969
1725840000,0.000010,0.000010,0.000009,0.000009,457855.624167,4.326736,0.000000,0.000000,0.000009,0.053969
1725753600,0.000010,0.000010,0.000010,0.000010,138681.630911,1.336891,0.111111,0.105361,0.000009,0.058426
1725667200,0.000010,0.000010,0.000010,0.000010,158014.866924,1.532744,0.000000,0.000000,0.000009,0.053969
1725580800,0.000010,0.000010,0.000010,0.000010,632457.808877,6.134841,0.000000,0.000000,0.000009,0.053969
1725494400,0.000010,0.000010,0.000010,0.000010,323891.131836,3.141744,0.000000,0.000000,0.000009,0.053969
1725408000,0.000010,0.000010,0.000010,0.000010,205942.949542,1.981171,0.000000,0.000000,0.000009,0.049474
1725321600,0.000010,0.000010,0.000010,0.000010,190860.136884,1.849435,0.000000,0.000000,0.000010,0.049474
1725235200,0.000010,0.000010,0.000009,0.000010,237675.735732,2.284064,0.000000,0.000000,0.000010,0.049474
1725148800,0.000010,0.000010,0.000010,0.000010,223637.214759,2.135735,0.000000,0.000000,0.000010,0.049474
1725062400,0.000010,0.000010,0.000010,0.000010,239734.175951,2.303845,0.000000,0.000000,0.000010,0.049474
1724976000,0.000009,0.000010,0.000009,0.000010,666010.100317,6.387037,0.000000,0.000000,0.000010,0.049474
1724889600,0.000010,0.000010,0.000009,0.000009,321956.656505,3.042490,-0.100000,-0.105361,0.000010,0.053969
1724803200,0.000010,0.000010,0.000009,0.000010,662225.039459,6.383849,0.111111,0.105361,0.000010,0.058426
1724716800,0.000009,0.000010,0.000009,0.000010,639594.747290,6.101734,0.000000,0.000000,0.000010,0.058426
1724630400,0.000009,0.000009,0.000009,0.000009,573654.486142,5.357933,-0.100000,-0.105361,0.000010,0.062311
1724544000,0.000010,0.000010,0.000009,0.000009,245589.014956,2.291346,0.000000,0.000000,0.000010,0.057805
1724457600,0.000010,0.000010,0.000009,0.000010,452326.961483,4.333292,0.111111,0.105361,0.000010,0.062311
1724371200,0.000010,0.000010,0.000009,0.000010,714905.439363,6.820198,0.000000,0.000000,0.000010,0.062311
1724284800,0.000010,0.000010,0.000010,0.000010,446950.149351,4.420337,0.000000,0.000000,0.000010,0.062311
