unix,date,symbol,open,high,low,close,Volume WETH,Volume USDC
1751248800,2025-06-30 02:00:00,WETH/USDC,0.023493,0.023515,0.022773,0.023493,7.781379,0.000000
1751252400,2025-06-30 03:00:00,WETH/USDC,0.023426,0.023448,0.023361,0.023426,9.042725,0.000000
1751256000,2025-06-30 04:00:00,WETH/USDC,0.023418,0.023454,0.023359,0.023418,6.037287,0.000000
1751259600,2025-06-30 05:00:00,WETH/USDC,0.023375,0.023433,0.023350,0.023375,5.721922,0.000000
1751263200,2025-06-30 06:00:00,WETH/USDC,0.023432,0.023441,0.023016,0.023432,24.241088,0.000000
1751266800,2025-06-30 07:00:00,WETH/USDC,0.023074,0.023250,0.023045,0.023074,18.308119,0.000000
1751270400,2025-06-30 08:00:00,WETH/USDC,0.023217,0.023272,0.023093,0.023217,11.549225,0.000000
1751274000,2025-06-30 09:00:00,WETH/USDC,0.023117,0.023231,0.015971,0.023117,32.019154,0.000000
1751277600,2025-06-30 10:00:00,WETH/USDC,0.022964,0.023011,0.022910,0.022964,10.122678,0.000000
1751281200,2025-06-30 11:00:00,WETH/USDC,0.023002,0.023099,0.022967,0.023002,9.080252,0.000000
1751284800,2025-06-30 12:00:00,WETH/USDC,0.023032,0.023077,0.023005,0.023032,9.954902,0.000000
1751288400,2025-06-30 13:00:00,WETH/USDC,0.023034,0.023162,0.023011,0.023034,21.320461,0.000000
1751292000,2025-06-30 14:00:00,WETH/USDC,0.023050,0.023103,0.022826,0.023050,26.776136,0.000000
1751295600,2025-06-30 15:00:00,WETH/USDC,0.022849,0.023252,0.022819,0.022849,38.357715,0.000000
1751299200,2025-06-30 16:00:00,WETH/USDC,0.023176,0.023233,0.023055,0.023176,19.444284,0.000000
1751302800,2025-06-30 17:00:00,WETH/USDC,0.023171,0.023373,0.023043,0.023171,29.620560,0.000000
1751306400,2025-06-30 18:00:00,WETH/USDC,0.023289,0.023386,0.023201,0.023289,21.095681,0.000000
1751310000,2025-06-30 19:00:00,WETH/USDC,0.023255,0.023566,0.023255,0.023255,28.398822,0.000000
1751313600,2025-06-30 20:00:00,WETH/USDC,0.023561,0.023603,0.023429,0.023561,15.212763,0.000000
1751317200,2025-06-30 21:00:00,WETH/USDC,0.023429,0.023454,0.023244,0.023429,15.050845,0.000000
1751320800,2025-06-30 22:00:00,WETH/USDC,0.023280,0.023373,0.023271,0.023280,13.118954,0.000000
1751324400,2025-06-30 23:00:00,WETH/USDC,0.023318,0.023356,0.023267,0.023318,7.239593,0.000000
1751328000,2025-07-01 00:00:00,WETH/USDC,0.023267,0.023374,0.023201,0.023267,19.176999,0.000000
1751331600,2025-07-01 01:00:00,WETH/USDC,0.023347,0.023404,0.023288,0.023347,9.052599,0.000000
1751335200,2025-07-01 02:00:00,WETH/USDC,0.023309,0.023366,0.023244,0.023309,9.089188,0.000000
1751338800,2025-07-01 03:00:00,WETH/USDC,0.023245,0.023292,0.023211,0.023245,6.993339,0.000000
